lat,lng,ele
35.6365335666,-83.4921968485,834.28503418
35.6364853665,-83.4922326485,835.984924316
35.6364659655,-83.4922983485,836.945983887
35.6364338665,-83.4923402486,837.264160156
35.6363923665,-83.4923733486,838.066955566
35.6363474665,-83.4923951486,839.291625977
35.6363013675,-83.4924146486,840.547058105
35.6362373665,-83.4924568486,842.083068848
35.6361925665,-83.4924443486,842.371459961
35.6361745655,-83.4924438486,842.542297363
35.6361463675,-83.4924981486,843.974182129
35.6361364675,-83.4925420486,844.890319824
35.6361535665,-83.4925867486,845.338806152
35.6361346665,-83.4926303486,845.894165039
35.6361051655,-83.4926757486,846.814453125
35.6360697664,-83.4927166486,847.753601074
35.6360237664,-83.4927593487,850.51184082
35.6359951674,-83.4928357487,850.687316895
35.6360127674,-83.4928583487,849.513977051
35.6360300654,-83.4928920487,850.299316406
35.6360843674,-83.4928826487,851.231445312
35.6361383675,-83.4928843487,852.075561523
35.6361730665,-83.4929516487,852.485046387
35.6361802655,-83.4930402487,852.883483887
35.6361500664,-83.4930848488,853.454406738
35.6361153674,-83.4931265488,854.272460938
35.6360977674,-83.4931748488,854.655578613
35.6360862674,-83.4932250488,854.796936035
35.6360754654,-83.4933130488,853.542724609
35.6360292664,-83.4933668488,853.604492188
35.6360278654,-83.4934330489,854.693603516
35.6360812664,-83.4934677489,855.253967285
35.6360888654,-83.4935342489,856.11505127
35.6360696674,-83.4935888489,856.240356445
35.6360503664,-83.4936545489,855.79888916
35.6360746664,-83.4937109489,854.27722168
35.6361020664,-83.493766549,853.575195312
35.6361009674,-83.493821749,854.331420898
35.6361355654,-83.493889049,854.507507324
