lat,lng,ele
35.6973450735,-83.6082720862,1227.80029297
35.6972975745,-83.6083303862,1227.95068359
35.6972523735,-83.6083905862,1228.17810059
35.6972139755,-83.6084474862,1228.77661133
35.6971773745,-83.6085057862,1229.32067871
35.6971404755,-83.6085636862,1229.77868652
35.6970891745,-83.6086392863,1230.36499023
35.6970379735,-83.6087150863,1230.77050781
35.6969885744,-83.6087974863,1231.21191406
35.6969353734,-83.6088774863,1231.89416504
35.6968888744,-83.6089252863,1232.78723145
35.6968431744,-83.6089738864,1233.79431152
35.6968034744,-83.6090376864,1235.31530762
35.6967681754,-83.6091040864,1236.66064453
35.6967212734,-83.6091833864,1238.18432617
35.6966834754,-83.6092670864,1239.51953125
35.6966699744,-83.6093380864,1240.3371582
35.6966622744,-83.6094099865,1241.00219727
35.6966525733,-83.6094813865,1241.55175781
35.6966501743,-83.6095532865,1241.96520996
35.6966668753,-83.6096145865,1242.24462891
35.6966835733,-83.6096758865,1242.51745605
35.6966814743,-83.6097752866,1242.61010742
35.6966716753,-83.6098080866,1242.61071777
