lat,lng,ele
35.6031571497,-83.767038627,617.071350098
35.6031737497,-83.766959827,617.614562988
35.6031825487,-83.766879727,618.314819336
35.6031826487,-83.7667992269,618.959289551
35.6031734497,-83.7667192269,619.823120117
35.6031523497,-83.7666467269,620.614624023
35.6031317487,-83.7665741269,621.504516602
35.6031282487,-83.7664913269,622.556335449
35.6031265477,-83.7664084268,623.09564209
35.6031130497,-83.7663420268,623.626464844
35.6031025477,-83.7662752268,624.165588379
35.6031120487,-83.7662037268,624.599365234
35.6031238487,-83.7661324268,625.430908203
35.6031188477,-83.7660442267,626.465270996
35.6031006477,-83.7659576267,627.701477051
35.6030759497,-83.7658726267,628.52947998
35.6030506487,-83.7657878266,629.055480957
35.6030238487,-83.7657101266,629.116394043
35.6029947487,-83.7656331266,629.174255371
35.6029749487,-83.7655534266,629.650634766
35.6029713487,-83.7654926266,629.846557617
35.6029687487,-83.7654318265,630.242858887
35.6029561497,-83.7653394265,630.919433594
35.6029368487,-83.7652482265,632.068481445
35.6029087487,-83.7651593265,633.283874512
35.6028687487,-83.7650752264,634.022888184
35.6028213477,-83.7650123264,634.200866699
35.6027724477,-83.7649505264,634.159545898
35.6027383487,-83.7648919264,633.978088379
35.6027078497,-83.7648312263,633.733337402
35.6026774497,-83.7647706263,633.541870117
35.6026349497,-83.7646879263,633.277954102
35.6025926487,-83.7646050263,633.406921387
35.6025480497,-83.7645234262,633.866821289
35.6024929487,-83.7644406262,634.800415039
35.6024437487,-83.7643543262,634.954406738
35.6024218477,-83.7642816262,634.345336914
35.6024080497,-83.7642068261,633.914428711
35.6023947487,-83.7641319261,633.363586426
35.6023768487,-83.7640471261,632.541992188
35.6023598477,-83.7639621261,631.782836914
35.6023465487,-83.763876426,631.374206543
35.6023436487,-83.763781926,630.971984863
35.6023328487,-83.763688326,630.321960449
35.6022986487,-83.763609926,630.1328125
35.6023080497,-83.7635215259,629.266479492
35.6023296487,-83.7634344259,628.617797852
35.6023317477,-83.7633424259,627.989379883
35.6023271487,-83.7632504259,627.462097168
35.6023269477,-83.7631584258,626.607543945
35.6023324487,-83.7630979258,626.020996094
35.6023387477,-83.7630374258,625.551696777
35.6023478487,-83.7629716258,625.843566895
35.6023508497,-83.7629053258,626.317016602
35.6023293487,-83.7628315257,626.890136719
35.6023000497,-83.7627601257,627.358032227
35.6022744497,-83.7626784257,627.796142578
35.6022501497,-83.7625964257,628.604492188
35.6022245487,-83.7625147256,629.34387207
35.6022033487,-83.7624509256,629.97644043
35.6021812477,-83.7623874256,630.812011719
35.6021568497,-83.7623248256,631.498168945
35.6021253487,-83.7622611256,632.222900391
35.6020912487,-83.7621987255,632.979187012
35.6020620477,-83.7621339255,633.445373535
35.6020366487,-83.7620690255,634.062988281
35.6020153477,-83.7620027255,634.714233398
35.6020125487,-83.7619336255,635.466064453
35.6020311487,-83.7618823254,635.980834961
35.6020599487,-83.7618359254,636.506958008
35.6021113487,-83.7617908254,637.251647949
35.6021742487,-83.7617636254,638.202026367
35.6022420487,-83.7617539254,639.235534668
35.6023220487,-83.7617788254,639.723327637
35.6023911498,-83.7618275254,640.413452148
35.6024554478,-83.7618826255,641.63671875
35.6025259498,-83.7619512255,642.668334961
35.6025833488,-83.7619642255,643.292663574
35.6026427488,-83.7619663255,643.889892578
35.6027142498,-83.7619811255,644.606079102
35.6027866488,-83.7619823255,645.320068359
35.6028504479,-83.7619514255,646.197692871
35.6028661489,-83.7618977255,647.083435059
35.6028619479,-83.7618414255,647.821472168
35.6028340499,-83.7617999255,648.324829102
