lat,lng,ele
35.6103115496,-83.782759432,580.768127441
35.6103543496,-83.782723832,581.216796875
35.6103944486,-83.782685032,581.951477051
35.6104370496,-83.782633032,582.450622559
35.6104754496,-83.782577832,582.866821289
35.6105153496,-83.782523732,583.311462402
35.6105677496,-83.782462132,583.871276855
35.6106223486,-83.782402532,584.454833984
35.6106788507,-83.7823446319,585.234069824
35.6107370487,-83.7822885319,585.874572754
35.6108066507,-83.7822268319,587.084106445
35.6108790497,-83.7821683319,588.167907715
35.6109533507,-83.7821123319,589.40435791
35.6110286497,-83.7820576319,590.692077637
35.6111041498,-83.7820033319,592.063781738
35.6111601508,-83.7819661319,593.016052246
35.6112165498,-83.7819294319,593.983276367
35.6112691488,-83.7818876318,594.928955078
35.6113332498,-83.7818301318,596.168884277
35.6113802498,-83.7817590318,597.51550293
35.6113912488,-83.7816711318,598.582214355
35.6114375508,-83.7816174318,599.593139648
35.6114838509,-83.7815638318,600.633728027
35.6114949499,-83.7814759317,601.635803223
35.6114426509,-83.7813968317,601.270080566
35.6113776498,-83.7813922317,602.473754883
35.6113156498,-83.7814205317,602.649719238
35.6112522488,-83.7814454317,602.820617676
35.6111984508,-83.7814584317,603.154418945
35.6111436498,-83.7814637317,603.226013184
35.6110835498,-83.7814451317,603.991821289
35.6110276498,-83.7814155317,604.637878418
35.6109811508,-83.7813894317,604.93145752
35.6109388498,-83.7813573317,604.934631348
35.6108863487,-83.7812895316,605.245178223
35.6108521487,-83.7812108316,606.690856934
35.6108437507,-83.7811412316,608.155334473
35.6108480497,-83.7810710316,609.342163086
35.6108569487,-83.7810012316,610.750976562
35.6108713498,-83.7809255315,611.697692871
35.6108926508,-83.7808514315,613.076049805
35.6109180498,-83.7807786315,614.103210449
35.6109448498,-83.7807063315,614.891601562
35.6109771498,-83.7806242315,615.450378418
35.6110117498,-83.7805430314,616.363769531
35.6110455498,-83.7804726314,617.31854248
35.6110820498,-83.7804036314,618.977783203
35.6111165498,-83.7803336314,620.758239746
35.6111445488,-83.7802607314,622.129760742
35.6111664498,-83.7801882313,623.187255859
35.6111851489,-83.7801149313,624.890380859
35.6111968509,-83.7800401313,625.112487793
35.6111964499,-83.7799645313,625.053833008
35.6111797499,-83.7798977313,625.847229004
35.6111634499,-83.7798309312,627.448120117
35.6111689499,-83.7797484312,629.43182373
35.6111925499,-83.7796689312,630.127807617
35.6112230509,-83.7795917312,631.207336426
35.6112519489,-83.7795139312,632.417724609
35.6112812509,-83.7794305311,634.629211426
35.6113139489,-83.7793484311,636.676696777
35.6113474489,-83.7792666311,637.755737305
35.6113788499,-83.7791840311,638.111083984
35.6114056489,-83.779099831,638.437194824
35.6114275499,-83.779008931,638.388427734
35.611446249,-83.778917331,638.031677246
35.611466049,-83.778825931,637.231262207
35.61148815,-83.7787498309,638.140258789
35.61151115,-83.7786740309,639.577636719
35.611525449,-83.7785962309,641.055725098
35.611524549,-83.7785260309,641.405639648
35.61151705,-83.7784561309,641.110839844
35.61151225,-83.7783860308,640.767883301
35.611519651,-83.7782868308,641.338134766
35.611532751,-83.7781882308,642.067810059
35.61153715,-83.7780889308,642.516296387
35.611539249,-83.7779961307,642.76776123
35.611514251,-83.7779115307,642.540405273
35.611469151,-83.7779099307,642.97467041
35.61141655,-83.7779614307,644.332641602
35.611389649,-83.7780326307,645.047119141
35.61136555,-83.7781050307,645.80065918
35.611344851,-83.7781739308,647.201843262
35.611328551,-83.7782441308,647.816833496
35.6113066499,-83.7783127308,648.132263184
35.6112777509,-83.7783735308,648.793640137
35.6112437499,-83.7784317308,649.304992676
35.6112035499,-83.7784857308,650.533813477
35.6111389499,-83.7785497309,652.294555664
35.6110912499,-83.7785803309,653.062805176
35.6110386509,-83.7786014309,653.56262207
35.6109481499,-83.7786027309,655.274902344
35.6108587508,-83.7785842309,656.965759277
35.6107884508,-83.7785691308,657.810424805
35.6107194508,-83.7785490308,659.007751465
35.6106529508,-83.7785219308,660.509216309
35.6105663508,-83.7784778308,662.863464355
35.6104930498,-83.7784170308,665.724365234
35.6105580508,-83.7783768308,667.109619141
35.6106362498,-83.7783550308,667.948730469
35.6107115498,-83.7783252308,669.218383789
35.6107594488,-83.7782966308,670.223144531
35.6108031508,-83.7782622308,671.377746582
35.6108475509,-83.7782071307,672.795715332
35.6108779509,-83.7781433307,673.916137695
35.6108860499,-83.7780667307,674.92956543
35.6108786489,-83.7779899307,675.929382324
35.6108470499,-83.7779215307,677.899108887
35.6107733499,-83.7779530307,680.334350586
35.6107011498,-83.7779937307,681.34197998
35.6106427508,-83.7779996307,682.395141602
35.6105838498,-83.7780007307,683.385192871
35.6104890488,-83.7780096307,684.933166504
35.6103941488,-83.7780162307,686.170043945
35.6103127498,-83.7780190307,686.760009766
35.6102320507,-83.7780106306,687.770446777
35.6101700507,-83.7779799306,689.464294434
35.6101072497,-83.7779511306,691.295959473
35.6100441507,-83.7779539306,691.890808105
35.6099809487,-83.7779578306,692.836425781
35.6099269487,-83.7779404306,694.508239746
35.6098736497,-83.7779210306,696.301269531
35.6098198487,-83.7779127306,697.411865234
35.6097657496,-83.7779062306,698.197814941
35.6096759496,-83.7778871306,699.683776855
35.6095864496,-83.7778669306,701.588317871
35.6095056506,-83.7778528306,703.375915527
35.6094248486,-83.7778392306,705.109069824
35.6093530496,-83.7778257305,706.390197754
35.6092893486,-83.7777831305,706.710388184
35.6092472495,-83.7777227305,706.637023926
35.6093378506,-83.7777038305,706.856811523
35.6093905496,-83.7776889305,707.487976074
35.6094379486,-83.7776631305,708.573425293
35.6094096496,-83.7775985305,710.597961426
35.6093584496,-83.7775437305,711.744873047
35.6093159496,-83.7774823304,712.380493164
35.6092893486,-83.7774003304,713.109863281
35.6092746486,-83.7773153304,713.781860352
35.6092716496,-83.7772435304,714.393432617
35.6092780496,-83.7771719303,715.719116211
35.6092967486,-83.7770915303,717.335998535
35.6093356506,-83.7770194303,719.20135498
35.6094176496,-83.7769781303,721.567810059
35.6094303496,-83.7770598303,724.21887207
35.6094408486,-83.7771444303,724.385437012
35.6094769486,-83.7771829304,725.440002441
35.6095204486,-83.7772134304,726.38293457
35.6095641506,-83.7772385304,727.171936035
35.6096094496,-83.7772606304,727.754333496
35.6096569496,-83.7772877304,728.284912109
35.6097074497,-83.7773082304,728.610168457
35.6097868507,-83.7772993304,729.647644043
35.6098616507,-83.7772694304,731.072692871
35.6099191497,-83.7772427304,731.984130859
35.6099712507,-83.7772069304,733.122009277
35.6100182507,-83.7771648304,733.985778809
35.6100455497,-83.7771102304,735.233276367
35.6100107497,-83.7770538304,738.31463623
35.6099480487,-83.7770406303,739.955322266
35.6098579497,-83.7770375303,739.774536133
35.6098146507,-83.7769587303,739.914245605
35.6098576497,-83.7769302303,741.296264648
35.6099060497,-83.7769067303,742.757446289
35.6099525497,-83.7768421303,744.362792969
35.6099750497,-83.7767926303,745.40234375
35.6099999497,-83.7767444303,746.569274902
35.6100510498,-83.7767023303,747.775268555
35.6101097488,-83.7766709303,748.202514648
35.6101821498,-83.7766474302,748.041564941
35.6102463498,-83.7766094302,748.876831055
35.6102749488,-83.7765442302,751.520385742
35.6102121498,-83.7765310302,752.825195312
35.6101228488,-83.7764948302,753.767944336
35.6100953488,-83.7764287302,753.963012695
35.6100894498,-83.7763562302,754.235961914
35.6100826498,-83.7762837301,755.286987305
35.6100624488,-83.7761951301,755.898376465
35.6100506498,-83.7761060301,756.898681641
35.6100966488,-83.7761535301,758.325256348
35.6101387508,-83.7762094301,759.664123535
35.6101914508,-83.7762543301,760.81060791
35.6102542498,-83.7762675301,762.04699707
35.6103205508,-83.7762568301,763.26184082
35.6103813488,-83.7762278301,764.220092773
35.6104257509,-83.7761940301,764.928283691
35.6104641489,-83.7761534301,765.810424805
35.6105084499,-83.7760865301,767.371398926
35.6105395489,-83.7760125301,768.807617188
35.6105530499,-83.7759527301,770.437927246
35.6105603489,-83.77589183,772.009155273
35.6105586509,-83.77580343,774.231506348
35.6105554509,-83.77571503,776.111999512
35.6105625489,-83.77564503,776.808776855
35.6105741499,-83.77557563,777.562988281
35.6105873499,-83.7755064299,777.806152344
35.6106013499,-83.7754350299,778.103393555
35.6106176499,-83.7753640299,778.424133301
35.6106348499,-83.7752977299,778.683776855
35.6106567509,-83.7752329299,778.863464355
35.610700649,-83.7751555298,779.395690918
35.61075035,-83.7750816298,779.931213379
35.61079315,-83.7750117298,780.974304199
35.61083475,-83.7749411298,782.212219238
35.610867749,-83.7748804298,783.335876465
35.61089925,-83.7748190298,784.499084473
35.610929051,-83.7747567297,785.800415039
35.61095545,-83.7746954297,787.148803711
35.61098015,-83.7746335297,788.304260254
35.611005451,-83.7745717297,789.350769043
35.611028451,-83.7745170297,790.028808594
35.6110530511,-83.7744630297,790.620666504
35.6110901511,-83.7743961296,791.221984863
35.6111316511,-83.7743318296,791.473632812
35.6111746501,-83.7742684296,791.678833008
35.6112164491,-83.7742091296,792.009216309
35.6112585511,-83.7741499296,792.282226562
35.6113047501,-83.7740794296,792.70489502
35.6113519491,-83.7740096295,793.011291504
35.6114123491,-83.7739345295,793.724975586
35.6114725502,-83.7738593295,795.238647461
35.6115214502,-83.7737862295,796.230285645
35.6115664502,-83.7737107295,797.259765625
35.6116090502,-83.7736338295,798.509521484
35.6116507492,-83.7735564294,799.587097168
35.6116759512,-83.7735004294,800.135925293
35.6117073492,-83.7734480294,800.853027344
35.6117560502,-83.7734198294,802.086303711
35.6118076492,-83.7733962294,802.777954102
35.6118671493,-83.7733473294,803.077514648
35.6119182493,-83.7732897294,803.392272949
35.6119588493,-83.7732073293,803.765380859
35.6120031513,-83.7731271293,803.864685059
35.6120655493,-83.7730883293,804.573669434
35.6121310513,-83.7730542293,805.282836914
35.6121783513,-83.7730130293,805.901489258
35.6122231494,-83.7729691293,806.518127441
35.6122772504,-83.7729237293,807.204589844
35.6123305504,-83.7728773293,807.954040527
35.6123708504,-83.7728197293,808.122619629
35.6123864494,-83.7727597292,808.134338379
35.6124006504,-83.7726993292,808.119934082
35.6124314514,-83.7726378292,808.495849609
35.6124707514,-83.7725813292,808.853210449
35.6125127504,-83.7725266292,809.219055176
35.6125746494,-83.7724490292,810.601074219
35.6126424495,-83.7723765291,812.410461426
35.6127090505,-83.7723259291,814.086547852
35.6127821505,-83.7722850291,815.490539551
35.6128542515,-83.7722424291,816.563049316
35.6129171505,-83.7721873291,817.893249512
35.6129592505,-83.7721282291,819.601806641
35.6130010505,-83.7720688291,821.329589844
35.6130418516,-83.7720254291,822.460571289
35.6130841506,-83.7719834291,823.717163086
35.6131399516,-83.771924929,825.242248535
35.6131949496,-83.771865829,826.535827637
35.6132493506,-83.771793429,828.279663086
35.6133019516,-83.771719629,830.008483887
35.6133709506,-83.771662229,832.12097168
35.6134379507,-83.771648329,833.932189941
35.6135065497,-83.771644829,835.266723633
35.6135921517,-83.771642229,836.136474609
35.6136778497,-83.771639629,836.589355469
35.6137456497,-83.771630929,837.255371094
35.6138134507,-83.771622329,838.286621094
35.6139036508,-83.771618929,839.795898438
35.6139938518,-83.771617429,840.731994629
35.6140570508,-83.771615629,841.496337891
35.6141201498,-83.771610829,842.721496582
35.6141980518,-83.771594929,844.567321777
35.6142742508,-83.771571929,845.548828125
35.6143452508,-83.771536029,846.685791016
35.6144199499,-83.771510729,847.936645508
35.6144917519,-83.771524329,847.929382324
35.6145343499,-83.771579529,848.331359863
35.6145563519,-83.771647029,848.467834473
35.6145774519,-83.7717149291,848.911865234
35.6146060509,-83.7717919291,849.740722656
35.6146316509,-83.7718700291,850.380249023
35.6146531519,-83.7719493291,850.896484375
35.6146625509,-83.7720110292,850.871276855
35.6146773509,-83.7720715292,850.961730957
35.6147230509,-83.7721377292,851.919677734
35.6147921519,-83.7721748292,853.300842285
35.6148559509,-83.7721439292,855.849121094
35.6148460509,-83.7720818292,857.369934082
35.6148227509,-83.7720213292,857.939208984
35.6148087509,-83.7719606292,858.466003418
35.6147985519,-83.7718991291,858.932922363
35.6147989499,-83.7718218291,860.034118652
35.6148077509,-83.7717450291,861.617797852
35.6148128509,-83.7716678291,862.997070312
35.6148076509,-83.771584329,863.808166504
35.6147967499,-83.771501429,864.249450684
35.6147845499,-83.771418629,864.636169434
35.6147754509,-83.771335429,865.369018555
35.6147727499,-83.7712448289,867.07043457
35.614774751,-83.7711541289,869.074890137
35.61477725,-83.7710635289,870.466430664
35.614776451,-83.7709728289,871.200012207
35.61476795,-83.7708826288,871.659118652
35.614746651,-83.7707882288,872.097900391
35.614727251,-83.7706935288,872.75604248
35.614715751,-83.7706316288,873.777954102
35.614721051,-83.7705719287,875.377258301
35.61476605,-83.7705734287,877.073608398
35.614835151,-83.7706096288,878.913513184
35.614890151,-83.7706660288,879.693786621
35.614925752,-83.7707222288,880.000793457
35.61495235,-83.7707833288,880.886657715
35.614976151,-83.7708456288,881.723754883
35.615001351,-83.7709348289,882.654907227
35.61502075,-83.7710256289,883.524047852
35.615051052,-83.7711131289,884.538757324
35.61508625,-83.7711859289,885.001159668
35.615126251,-83.771256029,885.660766602
35.615191052,-83.771294529,887.893249512
35.615246151,-83.771252329,890.721496582
35.6152632521,-83.771180429,891.944580078
35.6152541511,-83.7711058289,891.819702148
35.6152422501,-83.7710314289,892.280029297
35.6152296521,-83.7709594289,893.210449219
35.6152185501,-83.7708871289,894.34375
35.6152198501,-83.7707877288,896.190551758
35.6152320511,-83.7706889288,898.357543945
35.6152423511,-83.7706396288,899.340026855
35.6152523521,-83.7705902288,900.36138916
35.6152545511,-83.7705123288,901.5625
35.6152503511,-83.7704345287,902.503845215
35.6152577511,-83.7703586287,903.376831055
35.6152986511,-83.7704204287,904.037780762
35.6153341521,-83.7704886288,905.041564941
35.6153887511,-83.7705397288,906.954223633
35.6154520511,-83.7705309288,909.008666992
35.6154540521,-83.7704427287,909.524291992
35.6154694501,-83.7703814287,910.522399902
35.6154928511,-83.7703226287,911.888122559
35.6155335511,-83.7702515287,912.525024414
35.6155772512,-83.7701820287,913.529724121
35.6156109522,-83.7701116287,914.697998047
35.6156435522,-83.7700408286,915.908081055
35.6156862512,-83.7699596286,917.27911377
35.6157284512,-83.7698782286,919.063781738
35.6157601512,-83.7698013286,920.691772461
35.6157950522,-83.7697259286,921.928466797
35.6158490522,-83.7696549285,923.020935059
35.6159063512,-83.7695863285,923.916687012
35.6159480513,-83.7695213285,924.801086426
35.6159904513,-83.7694567285,926.064086914
35.6160323513,-83.7693965285,927.515197754
35.6160830503,-83.7693495285,929.642578125
35.6160882513,-83.7694044285,930.525085449
35.6160895513,-83.7694601285,931.134155273
35.6161054513,-83.7695280285,932.016906738
35.6161280523,-83.7695940285,932.928466797
35.6161480513,-83.7696608286,933.830383301
35.6161689523,-83.7697488286,935.458984375
35.6161799513,-83.7698385286,937.599609375
35.6161577523,-83.7699273286,938.868041992
35.6161198513,-83.7700113287,939.633544922
