lat,lng,ele
35.6437709635,-83.5826768755,766.442199707
35.6437055645,-83.5826097754,768.906188965
35.6436569644,-83.5825296754,770.709960938
35.6436328654,-83.5824526754,771.626953125
35.6436152654,-83.5823736754,772.118286133
35.6435907634,-83.5822815753,772.353942871
35.6435674644,-83.5821890753,772.087585449
35.6435490644,-83.5820955753,771.352111816
35.6435416644,-83.5820106753,770.496032715
35.6435380644,-83.5819254752,770.376159668
35.6435275644,-83.5818408752,771.100219727
35.6434989654,-83.5817494752,773.042602539
35.6434612654,-83.5816613752,774.738098145
35.6434250644,-83.5815725751,776.881835938
35.6434015634,-83.5815001751,778.666992188
35.6433797654,-83.5814271751,779.490905762
35.6433574634,-83.5813543751,779.585998535
35.6433321654,-83.581282475,779.538391113
35.6433031644,-83.581210875,779.778015137
35.6432720654,-83.581140275,780.394287109
35.6432386644,-83.581070675,780.981323242
35.6432029644,-83.5810022749,782.305725098
35.6431601654,-83.5809295749,783.78704834
35.6431133644,-83.5808592749,785.332214355
35.6430644644,-83.5807903749,786.537658691
35.6430151634,-83.5807218749,787.514343262
35.6429671654,-83.5806523748,788.56628418
35.6429125634,-83.5805801748,789.776428223
35.6428581654,-83.5805078748,790.119262695
35.6428187644,-83.5804267748,787.673278809
35.6428036644,-83.5803440747,786.56439209
35.6427952654,-83.5802603747,787.840026855
35.6427849644,-83.5801643747,790.616760254
35.6427761634,-83.5800681746,793.136901855
35.6427654644,-83.5799722746,793.84576416
35.6427513644,-83.5798802746,793.409729004
35.6427349644,-83.5797886746,792.361877441
35.6427177644,-83.5796972745,791.741271973
35.6427012654,-83.5796056745,792.275512695
35.6426863634,-83.5795136745,792.915344238
35.6426726644,-83.5794215745,793.049133301
35.6426593644,-83.5793293744,793.694580078
35.6426458644,-83.5792372744,793.518859863
35.6426315644,-83.5791451744,794.35949707
35.6426157644,-83.5790533743,795.704345703
35.6425978644,-83.5789619743,796.011047363
35.6425779634,-83.5788676743,797.81628418
35.6425574654,-83.5787734743,798.178283691
35.6425353644,-83.5786795742,798.603210449
35.6425103644,-83.5785864742,799.586120605
35.6424816644,-83.5784944742,801.369873047
35.6424497654,-83.5784158741,803.19921875
35.6424133654,-83.5783393741,804.824279785
35.6423787644,-83.5782619741,806.15826416
35.6423531644,-83.5781811741,806.914306641
35.6423430654,-83.578095074,807.229248047
35.6423459634,-83.578008274,807.526000977
35.6423551654,-83.577921974,806.893127441
35.6423648634,-83.577835674,805.230224609
35.6423699634,-83.5777490739,803.665893555
35.6423642644,-83.5776624739,803.973815918
35.6423464644,-83.5775849739,805.722045898
35.6423315634,-83.5775068739,807.60760498
35.6423267654,-83.5774119738,808.76361084
35.6423445644,-83.5773195738,810.067687988
35.6424247644,-83.5772759738,811.968444824
35.6425171654,-83.5772588738,813.846069336
35.6425835644,-83.5772529738,815.447875977
35.6426502645,-83.5772511738,816.413085938
