lat,lng,ele
35.6755187685,-83.646374596,516.167175293
35.6754776675,-83.646429696,516.339111328
35.6754272685,-83.6464755961,517.691772461
35.6753517675,-83.6465053961,519.134338379
35.6752729684,-83.6465256961,520.888977051
35.6751989694,-83.6465508961,522.861572266
35.6751241694,-83.6465733961,524.044250488
35.6750465674,-83.6465734961,524.061950684
35.6749840684,-83.646549296,525.822937012
35.6749365694,-83.646494296,528.15814209
35.6749034684,-83.646428596,528.352111816
35.6748617694,-83.646368596,528.715026855
35.6748106694,-83.646330296,529.689147949
35.6747551683,-83.646298796,530.524230957
35.6746854673,-83.6462646959,531.198547363
35.6746127683,-83.6462375959,532.38684082
35.6745368673,-83.6462214959,533.880554199
35.6744594673,-83.6462226959,536.145507812
35.6744102673,-83.6462408959,538.221679688
35.6743596683,-83.6462524959,540.065429688
35.6742882683,-83.6462170959,539.387756348
35.6742221682,-83.6462480959,541.876281738
35.6741604682,-83.6462901959,544.577575684
35.6740752692,-83.6463026959,546.509338379
35.6739888682,-83.6463065959,548.178771973
35.6739042682,-83.6463173959,548.752990723
35.6738198682,-83.6463295959,548.882629395
35.6737360681,-83.6463449959,548.424743652
35.6736532681,-83.6463652959,547.838500977
35.6735723671,-83.6463921959,547.601745605
35.6735047681,-83.6464246959,547.572814941
35.6734358671,-83.6464539959,547.454650879
35.6733688681,-83.6464732959,549.280822754
35.673300269,-83.6464715959,552.345092773
35.673229369,-83.6464139959,555.113220215
35.673224068,-83.6463589959,554.629577637
35.673231869,-83.6463036959,553.212768555
35.673252669,-83.6462438959,550.666748047
35.673270569,-83.6461833958,549.035949707
35.673248968,-83.6460946958,550.486022949
35.673202068,-83.6460154958,550.789428711
35.673133368,-83.6459494958,549.189147949
35.673051468,-83.6458999957,546.336242676
35.672971568,-83.6458684957,543.738708496
35.672890569,-83.6458394957,543.046569824
35.672828269,-83.6458093957,545.032043457
35.672768068,-83.6457753957,547.904296875
35.6727125689,-83.6457341957,549.53918457
35.6726513679,-83.6456600956,550.690246582
35.6725896679,-83.6455864956,551.379211426
35.6725240669,-83.6455439956,552.032043457
35.6724562689,-83.6455047956,552.941040039
35.6723897679,-83.6454528956,553.844055176
35.6723232679,-83.6454009956,554.496337891
35.6722425669,-83.6453559955,556.603637695
35.6721573679,-83.6453200955,559.270324707
35.6720724688,-83.6452832955,561.272216797
