lat,lng,ele
35.4661676334,-83.4352745218,601.299926758
35.4662438324,-83.4353163218,603.387756348
35.4663287334,-83.4353344218,604.037231445
35.4664197335,-83.4353053218,604.354431152
35.4665102335,-83.4352738218,602.837280273
35.4665915325,-83.4352899218,602.233886719
35.4666717325,-83.4353117218,605.968688965
35.4667440335,-83.4353238218,607.709899902
35.4668158345,-83.4353161218,609.388671875
35.4668615345,-83.4352844218,611.01361084
35.4668368335,-83.4352320218,611.934082031
35.4668005325,-83.4351834218,612.790100098
35.4667794325,-83.4351346218,613.323059082
35.4667664335,-83.4350832217,612.692504883
35.4667756325,-83.4350228217,612.654602051
35.4667869335,-83.4349626217,611.623168945
35.4667793335,-83.4349007217,610.459899902
35.4667623335,-83.4348407217,609.776733398
35.4667172335,-83.4347619216,609.747436523
35.4666553335,-83.4346949216,608.922851562
35.4665954335,-83.4346263216,607.679748535
35.4665494335,-83.4345604216,606.118774414
35.4665049325,-83.4344934216,604.619262695
35.4664619335,-83.4344255215,603.870849609
35.4664205325,-83.4343566215,604.61529541
