lat,lng,ele
35.5348533484,-83.4184154209,765.418579102
35.5346775473,-83.4186417209,764.599365234
35.5344840483,-83.419063521,762.540649414
35.5343381472,-83.4193814211,761.979064941
35.5341478482,-83.4198829213,762.327880859
35.5340031491,-83.4203528214,760.175537109
35.5338837481,-83.4204595214,759.301330566
35.533702749,-83.4204981214,760.452880859
35.533583849,-83.4205828214,760.149902344
35.533452448,-83.4208435215,758.781799316
35.5332678469,-83.4210585215,757.813720703
35.5331482489,-83.4211762216,757.420043945
35.5330302479,-83.4212168216,757.082458496
35.5326956478,-83.4212729216,757.203979492
35.5325686478,-83.4213132216,757.246826172
35.5324220477,-83.4214301216,756.896606445
35.5322939477,-83.4215255216,756.935852051
35.5320759477,-83.4216071216,756.197021484
35.5319473466,-83.4217246217,755.711730957
35.5317907466,-83.4218963217,754.946350098
35.5316894466,-83.4220035217,753.946044922
35.5315705465,-83.4220882217,754.046875
35.5314531475,-83.4220957217,754.013061523
35.5313277475,-83.4220588217,753.713317871
35.5310754484,-83.4220512217,753.588989258
35.5309408474,-83.4220251217,753.617126465
35.5307878484,-83.4220095217,753.048339844
35.5306502473,-83.4221266217,752.100524902
35.5305137473,-83.4221887217,751.252502441
35.5303063473,-83.4221935217,750.99597168
