lat,lng,ele
35.5016379421,-83.4012027139,737.584655762
35.5016161411,-83.4011244138,738.439025879
35.5015933431,-83.4010464138,738.723876953
35.5015696421,-83.4009687138,739.233276367
35.5015450421,-83.4008913138,739.803771973
35.5015179431,-83.4008175137,741.04486084
35.5014899421,-83.4007441137,741.852539062
35.5014683421,-83.4006685137,742.112182617
35.5014616421,-83.4005749137,742.737060547
35.5014685421,-83.4004810136,743.858154297
35.5014749421,-83.4003872136,744.737854004
35.5014667421,-83.4002937136,745.854309082
35.5014361431,-83.4002103136,746.41607666
35.5013962411,-83.4001307135,746.961608887
35.5013635421,-83.4000480135,747.642211914
35.5013457411,-83.3999718135,748.643981934
35.5013333421,-83.3998945135,749.367431641
35.5013262411,-83.3998165134,750.153076172
35.5013246411,-83.3997382134,750.892028809
35.5013337421,-83.3996537134,751.167907715
35.5013546431,-83.3995713134,752.403564453
35.5013816421,-83.3994907133,752.96472168
35.5014099432,-83.3994105133,753.79675293
35.5014349412,-83.3993292133,754.692138672
35.5014516422,-83.3992459133,755.672119141
35.5014601412,-83.3991609133,756.590942383
35.5014648422,-83.3990756132,756.620605469
35.5014669422,-83.3989901132,756.825744629
35.5014674432,-83.3989047132,757.650817871
35.5014650422,-83.3988274132,758.337768555
35.5014598412,-83.3987502131,758.686035156
35.5014554422,-83.3986730131,759.907104492
35.5014555422,-83.3985957131,760.834716797
35.5014633412,-83.3985045131,762.270935059
35.5014770432,-83.398414013,763.916931152
35.5014953412,-83.398324313,765.06854248
35.5015169422,-83.398235413,766.025939941
35.5015407412,-83.398146913,766.741271973
35.5015654422,-83.3980588129,766.99395752
35.5015932422,-83.3979656129,767.302856445
35.5016237433,-83.3978733129,767.967041016
35.5016566433,-83.3977817129,768.182434082
35.5016913423,-83.3976909128,769.320861816
35.5017277423,-83.3976007128,770.004455566
35.5017677423,-83.3975126128,769.869140625
35.5018121423,-83.3974266128,771.407226562
35.5018583413,-83.3973416127,772.768493652
35.5019038423,-83.3972562127,773.616149902
35.5019457424,-83.3971690127,774.653625488
35.5019815424,-83.3970791127,775.273864746
35.5020062434,-83.3969825126,776.34197998
35.5020215424,-83.3968840126,777.528015137
35.5020359424,-83.3967852126,778.960327148
35.5020579424,-83.3966880126,780.445617676
35.5020992434,-83.3965976125,780.841369629
35.5021542434,-83.3965281125,781.186462402
35.5022184434,-83.3964670125,782.549194336
35.5022915425,-83.3964169125,783.525939941
35.5023739425,-83.3963851125,783.653747559
35.5024494425,-83.3963900125,785.623901367
35.5025231415,-83.3964098125,786.578552246
35.5025986425,-83.3964140125,787.256347656
35.5026792425,-83.3963846125,788.199035645
35.5027534436,-83.3963413125,789.648620605
35.5028351426,-83.3962864125,790.925170898
35.5029002416,-83.3962134125,792.139343262
35.5029272426,-83.3961443125,793.344116211
35.5029391436,-83.3960712124,794.627929688
35.5029309426,-83.3959952124,795.602844238
35.5029036436,-83.3959238124,795.760803223
35.5028621436,-83.3958595124,795.466003418
