lat,lng,ele
35.6232563777,-83.1160160373,843.061889648
35.6232978797,-83.1162158374,843.39666748
35.6233549787,-83.1165596375,843.973693848
35.6233880777,-83.1167261375,844.538879395
35.6233951787,-83.1168367375,846.472412109
35.6234731787,-83.1170154376,853.153503418
35.6234984787,-83.1171154376,856.76550293
35.6234792787,-83.1171811377,858.750183105
35.6234048786,-83.1173117377,863.92401123
35.6233478786,-83.1174759377,871.43536377
35.6233182786,-83.1176186378,876.581542969
35.6233075786,-83.1177177378,879.042053223
