lat,lng,ele
35.6089811671,-83.3332666003,928.735473633
35.6090416681,-83.3334008003,930.348327637
35.6090296671,-83.3335550004,932.660522461
35.6090633681,-83.3336774004,934.978515625
35.6091602661,-83.3337906004,937.291564941
35.6092012671,-83.3340015005,940.271972656
35.6092070671,-83.3341673005,942.388122559
35.6092579681,-83.3343343006,945.168640137
35.6092819681,-83.3344896006,946.494689941
35.6093248662,-83.3346012007,948.797607422
35.6093139661,-83.3347002007,948.21887207
35.6092763671,-83.3347764007,945.131286621
35.6092300671,-83.3348413007,945.84576416
35.6091659681,-83.3348946008,946.897644043
35.6090946681,-83.3348484007,948.373535156
35.6090054671,-83.3348016007,950.15057373
35.6090041671,-83.3348678007,951.913208008
35.6090464661,-83.3350126008,953.787353516
35.6090237681,-83.3352547009,956.331481934
35.6090391661,-83.3353876009,959.942626953
35.6091189681,-83.3354562009,960.651123047
35.6092062661,-83.335602201,962.457519531
35.6092676661,-83.335692301,962.722473145
35.6093197661,-83.335793201,963.221984863
35.6093615681,-83.3359601011,968.00604248
35.6094583681,-83.3360843011,969.416625977
35.6094835671,-83.3361734012,970.989318848
35.6095273681,-83.3362409012,972.401794434
35.6095528671,-83.3363189012,973.869445801
35.6096058671,-83.3363756012,974.763305664
35.6096581661,-83.3364654012,975.987854004
35.6097364662,-83.3366112013,976.134887695
35.6097630672,-83.3366341013,976.474182129
35.6098257672,-83.3366580013,977.925048828
35.6098782682,-83.3367367013,979.311706543
35.6099216672,-83.3368263014,980.854003906
35.6099471672,-83.3369043014,982.739196777
35.6099539672,-83.3370149014,983.848632812
35.6099248672,-83.3371244015,985.062438965
35.6099651672,-83.3373685015,990.578857422
35.6100522672,-83.3375255016,994.709472656
35.6100681682,-83.3376364016,996.399108887
35.6100565672,-83.3377685017,998.615783691
35.6100885682,-83.3379792017,1003.67510986
35.6101217672,-83.3381236018,1006.45111084
35.6102243672,-83.3384136019,1013.55633545
35.6103111672,-83.3385817019,1016.45831299
35.6103963682,-83.338838102,1019.4465332
35.6105368672,-83.3390298021,1024.76586914
35.6106162662,-83.3391204021,1027.64404297
35.6107217663,-83.3392561021,1030.23999023
35.6107835673,-83.3393241022,1031.92285156
35.6108371673,-83.3393477022,1033.43676758
35.6108631673,-83.3394037022,1033.55749512
35.6108882663,-83.3395038022,1034.56628418
35.6108772673,-83.3396028022,1035.36474609
35.6108931673,-83.3397136023,1035.17871094
35.6109373683,-83.3397591023,1037.00402832
35.6109999673,-83.3397830023,1039.45410156
35.6110713663,-83.3398182023,1041.82324219
35.6111602673,-83.3398870023,1043.27099609
35.6113296674,-83.3399802024,1047.26989746
35.6115257684,-83.3400963024,1050.52258301
35.6116239664,-83.3401434024,1050.9185791
35.6116582674,-83.3402327025,1052.19836426
35.6116391684,-83.3402873025,1053.22192383
35.6115572674,-83.3403291025,1052.27978516
35.6114759664,-83.3403377025,1051.4666748
35.6114191674,-83.3404796025,1052.74975586
35.6113270663,-83.3405762026,1052.21923828
35.6112919673,-83.3405311025,1050.24169922
35.6112657673,-83.3404861025,1050.79187012
35.6112198673,-83.3405290025,1052.20507812
35.6112271673,-83.3406175026,1053.67858887
35.6112612673,-83.3407178026,1055.47521973
35.6113118673,-83.3408959026,1058.78491211
35.6113266683,-83.3410619027,1061.57348633
35.6113142663,-83.3412382027,1065.14599609
35.6113485673,-83.3413275028,1065.0168457
35.6114098673,-83.3414176028,1066.52624512
35.6114560683,-83.3413637028,1067.90905762
35.6115600674,-83.3411129027,1072.02441406
35.6115997674,-83.3409264027,1073.85876465
35.6116022674,-83.3407940026,1073.88439941
35.6116666684,-83.3407296026,1075.73535156
35.6117391674,-83.3407097026,1075.66931152
35.6118472684,-83.3407128026,1076.84265137
35.6119645685,-83.3407052026,1076.3371582
35.6120799665,-83.3407969027,1079.32116699
35.6122931665,-83.3409576027,1080.2166748
35.6124958675,-83.3411954028,1085.30529785
35.6125566676,-83.3413186028,1088.31469727
35.6126177686,-83.3414197029,1090.52856445
35.6126878676,-83.3415211029,1092.60620117
35.6128034686,-83.3416017029,1093.87841797
35.6130244676,-83.341828903,1098.45507812
35.6130405686,-83.3419288031,1101.95141602
35.6131475677,-83.3419871031,1102.74353027
35.6132532677,-83.3421117031,1106.30847168
35.6132888687,-83.3421348031,1107.11279297
35.6133695677,-83.3421592031,1106.76867676
35.6135021677,-83.3422956032,1111.23876953
35.6135825687,-83.3423310032,1110.59753418
35.6136351677,-83.3424098032,1112.53271484
35.6136694687,-83.3424991033,1112.04919434
35.6137136667,-83.3425446033,1115.34655762
35.6137668678,-83.3425903033,1115.98217773
35.6137912688,-83.3427235033,1119.13244629
35.6138864688,-83.3429250034,1120.8079834
35.6139733678,-83.3430931034,1123.99694824
35.6140263678,-83.3431498035,1124.52294922
35.6140799678,-83.3431734035,1124.1270752
35.6141436678,-83.3431422035,1124.29504395
35.6141447668,-83.3430870035,1125.40905762
35.6140915678,-83.3430413034,1122.95690918
35.6140939668,-83.3429200034,1125.92651367
35.6140778678,-83.3428201034,1126.47680664
35.6141067668,-83.3427216033,1127.79846191
35.6142346679,-83.3426371033,1130.91479492
35.6142805689,-83.3425942033,1130.82751465
35.6142820679,-83.3425170033,1133.37683105
35.6142303689,-83.3423941033,1133.44006348
35.6142777669,-83.3422740032,1136.80908203
35.6143706689,-83.3421332032,1139.4107666
35.6145263669,-83.3420053032,1142.81506348
35.614663167,-83.3419210031,1145.32397461
