lat,lng,ele
35.7290223865,-83.4483312412,479.115234375
35.7290777875,-83.4482665412,479.241973877
35.7296655886,-83.4481740412,479.393341064
35.7298017886,-83.4481229412,479.216674805
35.7299828877,-83.4480842412,479.34475708
35.7301276877,-83.4480555412,480.228668213
35.7302366887,-83.4480146412,481.260406494
35.7303386888,-83.4478740411,482.901916504
35.7304424888,-83.4476451411,484.796142578
35.7305435868,-83.447548741,486.545166016
35.7306395878,-83.447264241,487.951263428
35.7307998869,-83.4469153409,491.622161865
35.7308390879,-83.4467618408,492.693267822
35.7308236879,-83.4466286408,492.723358154
35.7307552879,-83.4464497407,493.016937256
35.7307392879,-83.4463497407,493.085449219
35.7308268879,-83.4460318406,492.837249756
35.730850087,-83.4457782405,495.272949219
35.730897387,-83.4456691405,496.101409912
35.730907587,-83.4456142405,495.670074463
35.730909388,-83.4455258405,495.500518799
35.730865888,-83.4454471404,495.465667725
35.7306433879,-83.4453076404,496.861938477
35.7305910879,-83.4452176404,497.102142334
35.7305413879,-83.4450060403,498.046417236
35.7304462879,-83.4448040402,498.04083252
35.7303701879,-83.4445585402,498.490112305
35.7303548879,-83.4444254401,497.438232422
35.7303298879,-83.4443251401,497.25567627
35.7302771879,-83.4442572401,497.385162354
35.7301165869,-83.44417494,498.797821045
35.7300368878,-83.44410614,498.797149658
35.7297417868,-83.4435444398,500.103515625
35.7296106888,-83.4433414398,499.716552734
35.7294246888,-83.4431809397,500.233978271
35.7291070867,-83.4428396396,498.066009521
35.7288138877,-83.4426317395,498.106536865
35.7286456876,-83.4424828394,497.674346924
