lat,lng,ele
35.488964524,-83.7667413201,545.588012695
35.4890174251,-83.7667946201,545.873168945
35.4890702261,-83.7668478202,546.229187012
35.4891231251,-83.7669011202,546.234375
35.4891694251,-83.7669761202,546.361938477
35.4892158251,-83.7670512202,546.541748047
35.4892621251,-83.7671262203,546.907775879
35.4893145251,-83.7671978203,547.025756836
35.4893670251,-83.7672694203,547.148925781
35.4894194251,-83.7673410203,547.318115234
35.4894719261,-83.7674089204,547.440307617
35.4895245251,-83.7674769204,547.576965332
35.4895770251,-83.7675448204,547.758666992
35.4896070251,-83.7676147204,547.964477539
35.4896369242,-83.7676846204,547.984191895
35.4896669242,-83.7677545205,548.466247559
35.4896968252,-83.7678244205,548.46307373
35.4897150252,-83.7679159205,548.505249023
35.4897332252,-83.7680075205,548.701538086
35.4897513242,-83.7680990206,548.763671875
35.4897695242,-83.7681906206,548.676208496
35.4897803262,-83.7682703206,548.891357422
35.4897911252,-83.7683500206,548.947692871
35.4898018242,-83.7684298207,549.169433594
35.4898126262,-83.7685095207,549.28326416
35.4898234252,-83.7685892207,549.762145996
35.4898301252,-83.7686886208,549.697387695
35.4898369261,-83.7687880208,549.793640137
35.4898436261,-83.7688874208,550.138061523
35.4898463251,-83.7689647208,550.279907227
35.4898491241,-83.7690419209,550.360717773
35.4898518251,-83.7691191209,550.467102051
35.4898545241,-83.7691964209,550.799865723
35.4898615261,-83.7692848209,550.938781738
35.4898685261,-83.769373221,550.899719238
35.4898755261,-83.769461621,550.981811523
35.4898913241,-83.769557721,551.374450684
35.4899072261,-83.769653721,551.255554199
35.4899230251,-83.7697498211,550.448730469
35.4899801241,-83.7698123211,548.915283203
35.4900372251,-83.7698749211,550.470092773
35.4900445251,-83.7699523211,550.940429688
35.4900517241,-83.7700297212,550.714477539
35.4900869251,-83.7700695212,551.300964355
35.4901220242,-83.7701093212,552.210510254
35.4901294252,-83.7701811212,552.114746094
35.4901367242,-83.7702530212,552.427978516
35.4901982252,-83.7703213212,553.419067383
35.4902513252,-83.7703617213,553.36340332
35.4903045242,-83.7704021213,553.00177002
35.4903856262,-83.7704049213,553.196289062
35.4904667252,-83.7704077213,553.226989746
35.4905468252,-83.7703730213,553.809020996
35.4906269263,-83.7703383213,554.227905273
35.4907070253,-83.7703035213,554.520874023
35.4907871253,-83.7702688213,554.265869141
35.4908672263,-83.7702341213,554.872680664
35.4909426263,-83.7701898213,555.778930664
35.4910180253,-83.7701456212,556.034301758
35.4910933254,-83.7701013212,555.310241699
35.4911687254,-83.7700571212,555.071350098
35.4912364244,-83.7700131212,555.223449707
35.4913041264,-83.7699692212,555.336486816
35.4913719244,-83.7699252212,556.13494873
35.4914396264,-83.7698813212,556.451049805
35.4915073265,-83.7698373212,555.934753418
35.4915669255,-83.7697953212,556.035644531
35.4916264255,-83.7697532212,556.198364258
35.4916906255,-83.7697058212,556.102844238
