lat,lng,ele
35.5978425436,-83.843430649,533.654296875
35.5978389446,-83.843460049,533.85534668
35.5978351456,-83.8434892491,534.145141602
35.5978314446,-83.8435185491,534.442626953
35.5978278436,-83.8435479491,534.75390625
35.5978240436,-83.8435771491,535.078186035
35.5978203446,-83.8436064491,535.360961914
35.5978167445,-83.8436357491,535.652282715
35.5978129445,-83.8436650491,535.893127441
35.5978093435,-83.8436943491,536.108825684
35.5978028455,-83.8437204491,536.22833252
35.5977963445,-83.8437466491,536.378723145
35.5977897455,-83.8437727491,536.484619141
35.5977833455,-83.8437989491,536.6015625
35.5977754435,-83.8438261491,536.699768066
35.5977657445,-83.8438522492,536.727905273
35.5977541445,-83.8438773492,536.765075684
35.5977409435,-83.8439032492,536.82598877
35.5977276445,-83.8439291492,536.911743164
35.5977143455,-83.8439550492,536.991088867
35.5977051435,-83.8439720492,537.035644531
35.5976951455,-83.8439884492,537.067687988
35.5976823445,-83.8440085492,537.085205078
35.5976694445,-83.8440285492,537.085876465
35.5976566445,-83.8440485492,537.094116211
35.5976438445,-83.8440686492,537.115478516
35.5976286445,-83.8440949492,537.138122559
35.5976159455,-83.8441230492,537.202514648
35.5976056445,-83.8441527492,537.270446777
35.5975966445,-83.8441828492,537.297973633
35.5975875435,-83.8442129493,537.285949707
35.5975785455,-83.8442432493,537.220458984
35.5975695455,-83.8442733493,537.082580566
35.5975605445,-83.8443035493,537.009338379
35.5975518445,-83.8443339493,536.862548828
35.5975430455,-83.8443645493,536.70715332
35.5975342445,-83.8443950493,536.608459473
35.5975255435,-83.8444255493,536.413696289
35.5975166445,-83.8444561493,536.230102539
35.5975079435,-83.8444865493,535.935668945
35.5974991444,-83.8445171493,535.611999512
35.5974903454,-83.8445476493,535.251953125
35.5974849434,-83.8445706494,534.952392578
35.5974816444,-83.8445942494,534.683959961
35.5974786444,-83.8446253494,534.356628418
35.5974756454,-83.8446566494,534.02935791
35.5974726444,-83.8446877494,533.72064209
35.5974713444,-83.8447195494,533.403930664
35.5974734434,-83.8447514494,533.075439453
35.5974772454,-83.8447823494,532.731079102
35.5974810454,-83.8448132494,532.427185059
35.5974848444,-83.8448443494,532.169616699
35.5974885444,-83.8448752494,531.913024902
35.5974922454,-83.8449061494,531.638061523
35.5974960454,-83.8449370495,531.393188477
35.5974998444,-83.8449681495,531.119506836
35.5975035444,-83.8449990495,530.83605957
35.5975073434,-83.8450299495,530.590026855
