lat,lng,ele
35.6577088684,-83.5804884757,657.737609863
35.6576442684,-83.5805016757,657.794311523
35.6575819684,-83.5804821757,657.690734863
35.6575503684,-83.5804378756,657.61138916
35.6575207674,-83.5803918756,656.835083008
35.6574496684,-83.5803453756,657.207641602
35.6573960664,-83.5803215756,658.595214844
35.6573880664,-83.5802771756,659.364868164
35.6574157684,-83.5802449756,658.924438477
35.6574795674,-83.5802138756,658.489135742
35.6575162674,-83.5801818756,658.371032715
35.6575361674,-83.5800941755,658.854675293
35.6575444674,-83.5800338755,659.192077637
35.6575477684,-83.5799730755,659.591430664
35.6575437674,-83.5798832755,660.180480957
35.6575245674,-83.5797955754,660.963195801
35.6574987674,-83.5797395754,662.424316406
35.6574913674,-83.5796619754,663.585388184
35.6574925664,-83.5796068754,663.658569336
35.6575032674,-83.5795298754,664.573608398
35.6574960664,-83.5794412753,666.204528809
35.6574697684,-83.5794072753,666.801330566
35.6574617674,-83.5793628753,667.448547363
35.6574986664,-83.5793198753,666.86505127
35.6575176675,-83.5792762753,667.022644043
35.6575195675,-83.5791880753,668.085205078
35.6575479675,-83.5791226753,667.758300781
35.6575937685,-83.5790909752,666.881958008
35.6575956675,-83.5790026752,666.572265625
35.6575762665,-83.5789530752,666.350646973
35.6575617675,-83.5789022752,666.053344727
35.6575809675,-83.5788476752,666.106628418
35.6576351675,-83.5788383752,666.482788086
35.6576799675,-83.5788507752,666.356872559
35.6577162665,-83.5788409752,666.340026855
35.6577439675,-83.5788086752,666.314147949
35.6577776665,-83.5787664752,666.120544434
35.6578089665,-83.5787224752,666.138366699
35.6578387675,-83.5786746751,666.3828125
35.6578652675,-83.5786248751,666.864990234
35.6578841676,-83.5785812751,667.306335449
35.6578851676,-83.5785371751,667.914733887
35.6578590686,-83.5784920751,668.393127441
35.6578059685,-83.5784462751,668.895751953
35.6577985675,-83.578368675,669.209716797
35.6578002685,-83.578291475,669.768066406
35.6578192676,-83.578213375,670.245544434
35.6578485666,-83.578138375,670.514099121
35.6578770676,-83.578072975,670.420471191
35.6578789666,-83.5779846749,671.015075684
35.6578627676,-83.5778958749,671.827636719
35.6578245686,-83.5778132749,673.507324219
35.6577942666,-83.5777279749,674.198181152
35.6577952676,-83.5776838748,674.670593262
35.6578409676,-83.5776521748,675.076965332
35.6579130686,-83.5776544748,674.803466797
