lat,lng,ele
35.6128346715,-83.242979474,1338.94152832
35.6128094715,-83.243040874,1338.73596191
35.6127783715,-83.243099374,1337.9888916
35.6127379705,-83.243154174,1337.17089844
35.6126952715,-83.243207374,1336.22473145
35.6126471724,-83.2432767741,1334.55297852
35.6126024704,-83.2433483741,1332.5012207
35.6125557724,-83.2434353741,1331.0222168
35.6125274714,-83.2435007741,1330.33166504
35.6125352714,-83.2435672741,1327.55859375
35.6125746704,-83.2436217742,1327.3581543
35.6126235704,-83.2436690742,1326.80627441
35.6126557724,-83.2437130742,1326.296875
35.6126849704,-83.2437590742,1325.61010742
35.6127127704,-83.2438140742,1324.63879395
35.6127369724,-83.2438708742,1323.84912109
35.6127619704,-83.2439310743,1322.97814941
35.6127797724,-83.2439935743,1322.26953125
35.6127797724,-83.2440541743,1321.94482422
35.6127774714,-83.2441148743,1321.14855957
35.6127930714,-83.2441865743,1319.66357422
35.6128018724,-83.2442590744,1318.28271484
35.6127825714,-83.2443247744,1318.42321777
35.6127398724,-83.2443667744,1319.28808594
35.6126998724,-83.2444107744,1319.01696777
35.6126981714,-83.2444990744,1316.39233398
35.6127188714,-83.2445721745,1314.8392334
35.6127579714,-83.2446377745,1313.19506836
35.6128013714,-83.2447006745,1311.70849609
35.6128374714,-83.2447678745,1310.35534668
35.6128611714,-83.2448283745,1309.83581543
35.6128801724,-83.2448904746,1308.74475098
35.6128897704,-83.2449732746,1307.55529785
35.6128951724,-83.2450564746,1306.81689453
35.6129060704,-83.2451115746,1306.01330566
35.6129110714,-83.2451673746,1305.52978516
35.6128824704,-83.2452548747,1305.99890137
35.6128363724,-83.2452805747,1306.73254395
35.6127912724,-83.2453074747,1306.5098877
35.6127718704,-83.2453842747,1301.71459961
35.6127087714,-83.2453824747,1303.79956055
35.6126354714,-83.2454466747,1302.33862305
35.6125983703,-83.2455007747,1301.15600586
35.6125971713,-83.2455669747,1300.25622559
35.6126353723,-83.2456418748,1298.5291748
35.6126978714,-83.2457004748,1295.84277344
35.6127466714,-83.2457698748,1293.59436035
35.6127639714,-83.2458355748,1293.40893555
35.6127711724,-83.2459030748,1293.1217041
35.6127603704,-83.2460020749,1292.87072754
35.6127376704,-83.2460669749,1292.80554199
35.6127218713,-83.2461334749,1291.95727539
35.6127471723,-83.2462224749,1290.10168457
35.6128055714,-83.246289575,1288.48059082
35.6128618714,-83.246358175,1286.5489502
35.6128713714,-83.246418875,1286.2611084
35.6128776704,-83.246480075,1286.04882812
35.6129040724,-83.246563875,1285.05566406
35.6129427724,-83.2466429751,1284.26074219
35.6129878724,-83.2467184751,1283.13208008
35.6130340714,-83.2467934751,1281.31884766
35.6130755714,-83.2468540751,1279.83532715
35.6131128704,-83.2469171752,1278.87060547
35.6131368704,-83.2469765752,1277.73181152
35.6131466724,-83.2470394752,1276.60498047
35.6131295714,-83.2470914752,1275.70947266
35.6130997704,-83.2471375752,1275.00561523
35.6130567714,-83.2471676752,1275.55603027
35.6130173714,-83.2472014752,1275.52307129
35.6130067704,-83.2472894753,1268.18615723
35.6130413714,-83.2473677753,1271.96765137
35.6131215714,-83.2474141753,1269.28112793
35.6131770704,-83.2474648753,1268.21044922
35.6132186704,-83.2475272753,1267.14306641
35.6132350714,-83.2475762754,1266.9317627
35.6132438704,-83.2476272754,1266.51660156
