lat,lng,ele
35.4614374174,-83.816304333,555.896118164
35.4614177184,-83.816318633,555.877685547
35.4613950184,-83.816323233,556.014648438
35.4613722174,-83.816327333,556.200012207
35.4613518173,-83.816340033,556.536437988
35.4613367173,-83.816357733,556.969970703
35.4613219163,-83.816376033,557.472290039
35.4613060173,-83.816392533,558.041015625
35.4612872173,-83.816403833,558.665893555
35.4612662173,-83.816408233,559.318115234
35.4612449163,-83.816407733,560.267883301
35.4612242173,-83.816401633,561.246948242
35.4612077173,-83.816389433,561.839660645
35.4611936173,-83.816373233,562.20892334
35.4611802173,-83.816356033,562.724243164
35.4611661173,-83.816334533,563.360839844
35.4611540173,-83.816311333,563.959411621
35.4611420163,-83.816287833,564.616271973
35.4611282183,-83.816266133,565.454956055
35.4611115173,-83.8162459329,566.333435059
35.4610938173,-83.8162271329,567.421936035
35.4610754173,-83.8162092329,568.59387207
35.4610583163,-83.8161930329,569.554382324
35.4610406183,-83.8161776329,570.382141113
35.4610224183,-83.8161632329,571.245422363
35.4610056173,-83.8161491329,571.781860352
35.4609885183,-83.8161356329,572.182373047
35.4609692173,-83.8161283329,572.624511719
35.4609507173,-83.8161312329,573.082641602
35.4609329183,-83.8161381329,573.416870117
35.4609085173,-83.8161503329,573.640197754
35.4608861173,-83.8161671329,573.962890625
35.4608686173,-83.8161909329,574.569519043
35.4608617163,-83.8162178329,575.382568359
35.4608583173,-83.8162457329,576.148864746
35.4608555172,-83.8162730329,576.917907715
35.4608545172,-83.8163005329,577.750732422
35.4608546182,-83.816328133,578.583984375
35.4608550162,-83.816355733,579.330200195
35.4608552172,-83.816383233,579.911437988
35.4608544162,-83.816410833,580.446228027
35.4608539172,-83.816443133,581.109863281
35.4608548172,-83.816475433,581.778381348
35.4608559182,-83.816507833,582.278381348
35.4608562182,-83.816540233,582.670288086
35.4608545172,-83.816572533,582.933166504
35.4608486162,-83.816603933,583.042419434
35.4608335182,-83.816630033,583.159362793
35.4608120172,-83.816644333,583.208374023
35.4607882162,-83.816651333,583.12121582
35.4607636162,-83.816652733,582.933166504
35.4607391172,-83.816650533,582.697875977
35.4607148172,-83.816645633,582.407348633
35.4606909172,-83.816638733,582.063903809
