lat,lng,ele
35.5846188732,-83.0764251234,1452.29309082
35.5846198712,-83.0763615234,1452.26074219
35.5846173712,-83.0762738233,1451.97509766
35.5845976722,-83.0761988233,1451.38671875
35.5845565732,-83.0761366233,1450.71496582
35.5845032712,-83.0760844233,1450.34082031
35.5844485711,-83.0760346233,1450.12451172
35.5843832721,-83.0760705233,1448.52978516
35.5843163721,-83.0761021233,1447.2409668
35.5842637721,-83.0761452233,1446.48535156
35.5842211721,-83.0762015233,1446.11254883
35.5841730731,-83.0762703233,1445.74902344
35.5841149711,-83.0762194233,1444.1673584
35.5840553721,-83.0761699233,1443.08813477
35.583987471,-83.0761387233,1442.16345215
35.583926272,-83.0760956232,1441.48193359
35.583876473,-83.0760401232,1440.6784668
35.583844372,-83.0759518232,1440.27160645
35.583819371,-83.0758611232,1439.91540527
35.583793771,-83.0757706231,1439.55578613
35.583758472,-83.0756837231,1438.93212891
35.583707773,-83.0756177231,1438.15063477
35.583661471,-83.0755486231,1437.76464844
35.583633371,-83.075470423,1437.3894043
35.583575872,-83.075394523,1437.3248291
35.583496871,-83.075344823,1437.77746582
35.583426571,-83.075311323,1437.42224121
35.583359672,-83.075266723,1436.83190918
35.5833083709,-83.075245823,1436.33081055
35.5832573719,-83.075224123,1436.01818848
35.5831651709,-83.0751960229,1435.6607666
35.5830772709,-83.0751557229,1435.70092773
35.5830103719,-83.0751349229,1435.41601562
35.5829432729,-83.0751145229,1435.0657959
35.5828810709,-83.0750951229,1434.83618164
35.5828182718,-83.0750773229,1434.62927246
35.5827467728,-83.0750141229,1434.44165039
35.5826878718,-83.0749386228,1434.53442383
35.5826455718,-83.0748601228,1435.0579834
35.5825994708,-83.0747837228,1435.1854248
35.5825684708,-83.0747370228,1435.04626465
35.5825434728,-83.0746868228,1434.95959473
35.5825350718,-83.0746271227,1435.26501465
35.5825335728,-83.0745665227,1435.44702148
35.5825837728,-83.0744887227,1435.92590332
35.5826249728,-83.0744177227,1436.28637695
35.5826581718,-83.0743422227,1436.35913086
35.5826963709,-83.0742691226,1436.11584473
35.5827119709,-83.0741946226,1435.56530762
35.5827337719,-83.0741216226,1434.77490234
35.5828117719,-83.0740680226,1434.99414062
35.5828778709,-83.0740017226,1434.7611084
35.5829240719,-83.0739452226,1434.50805664
35.5829822729,-83.0738997225,1434.7746582
35.5830195719,-83.0738509225,1434.70861816
35.5830583729,-83.0738034225,1434.63879395
35.583137772,-83.0737585225,1434.08483887
35.583217772,-83.0737146225,1433.8527832
35.583251073,-83.0736748225,1433.6685791
35.583266872,-83.0736262225,1433.74804688
35.583241972,-83.0735464225,1433.9276123
35.583203072,-83.0734722224,1434.27294922
35.583185772,-83.0734064224,1434.92089844
35.583196471,-83.0733389224,1435.71459961
35.583223971,-83.0732542224,1436.10217285
35.583255472,-83.0731709223,1435.64477539
35.583300772,-83.0730947223,1435.78308105
35.583361172,-83.0730406223,1436.39306641
35.5834146731,-83.0729802223,1436.90649414
35.5834311721,-83.0729129223,1436.1373291
35.5834495711,-83.0728461223,1435.71984863
35.5834808731,-83.0727849222,1435.60205078
35.5835160711,-83.0727204222,1435.25292969
35.5835369721,-83.0726492222,1434.52941895
35.5835619721,-83.0725796222,1434.22644043
35.5835968731,-83.0725158222,1433.88903809
35.5836285711,-83.0724504222,1433.72338867
35.5836363721,-83.0724010221,1433.11987305
35.5836190721,-83.0723534221,1433.4708252
35.5835808731,-83.0723004221,1433.56677246
35.5835254721,-83.0722672221,1433.41271973
35.5834473711,-83.0722475221,1433.05249023
35.5833708731,-83.0722216221,1432.69824219
35.5833014721,-83.0722005221,1432.08813477
35.583233173,-83.0721761221,1432.32849121
35.583164171,-83.072153822,1432.35778809
35.583095773,-83.072131522,1432.15820312
35.583029971,-83.072102422,1432.18518066
35.582956672,-83.072069822,1431.87963867
35.582879972,-83.072045822,1431.4744873
35.582801572,-83.072028522,1431.19360352
35.5827159719,-83.071992322,1431.00512695
35.5826394709,-83.0719386219,1430.71081543
35.5825874719,-83.0718925219,1430.57836914
35.5825398719,-83.0718418219,1430.28259277
35.5825031719,-83.0717894219,1430.13891602
35.5824713709,-83.0717337219,1430.06567383
35.5824372719,-83.0716667219,1429.90161133
35.5824127729,-83.0715956218,1430.0078125
35.5824018719,-83.0715111218,1429.86022949
35.5824007719,-83.0714257218,1429.99035645
35.5824186719,-83.0713499218,1430.03625488
35.5824453729,-83.0712763217,1429.75549316
35.5824564719,-83.0712036217,1429.31726074
35.5824522719,-83.0711306217,1429.1105957
35.5824218719,-83.0710455217,1428.78674316
35.5823808729,-83.0709650216,1428.64440918
35.5823235719,-83.0709010216,1428.47424316
35.5822564719,-83.0708468216,1428.26513672
35.5821922729,-83.0707956216,1427.45410156
35.5821335709,-83.0707384216,1426.39648438
35.5820864729,-83.0706705215,1425.26062012
35.5820633719,-83.0705919215,1424.34765625
35.5820514719,-83.0705143215,1423.82312012
35.5820133709,-83.0704461215,1422.9362793
