lat,lng,ele
35.5846188732,-83.0764251234,1452.29309082
35.5845278711,-83.0764603234,1451.40319824
35.5844349721,-83.0764899234,1451.72143555
35.5843830711,-83.0764821234,1451.17834473
35.5843259721,-83.0764766234,1451.1496582
35.5842708731,-83.0764614234,1450.66906738
35.5842218721,-83.0764347234,1449.67248535
35.5841726721,-83.0764082234,1448.63830566
35.5840856721,-83.0763887233,1447.72009277
35.584014372,-83.0763353233,1446.13696289
35.583961972,-83.0763337233,1446.11572266
35.583909771,-83.0763305233,1446.00683594
35.583853571,-83.0763068233,1445.12744141
35.583792972,-83.0763004233,1444.63818359
35.583708972,-83.0762940233,1443.98608398
35.583629171,-83.0762665233,1442.67175293
35.583559572,-83.0762670233,1442.19604492
35.5834910729,-83.0762824233,1442.05883789
35.5834232719,-83.0763006233,1441.52453613
35.5833391719,-83.0763194233,1440.49267578
35.5832550719,-83.0763379233,1439.94311523
35.5832012709,-83.0763471233,1439.89562988
35.5831467719,-83.0763461233,1439.78808594
35.5830954709,-83.0763134233,1440.0612793
35.5830511718,-83.0762698232,1440.08532715
35.5829749728,-83.0762334232,1439.66357422
35.5828928708,-83.0762129232,1440.43615723
35.5828229718,-83.0761987232,1441.25366211
35.5827603718,-83.0761657232,1441.33850098
35.5827181718,-83.0761084232,1440.48522949
35.5826578718,-83.0760459232,1439.94042969
35.5825841708,-83.0759989231,1439.8684082
35.5825097717,-83.0759530231,1439.45349121
35.5824536727,-83.0759128231,1438.93530273
35.5823953717,-83.0758758231,1438.28430176
35.5823077717,-83.0758463231,1437.3001709
35.5822221717,-83.0758125231,1436.83325195
35.5821619707,-83.075753423,1435.44995117
35.5821080717,-83.075688323,1434.62194824
35.5820561727,-83.075664123,1434.97558594
35.5820052717,-83.075638423,1435.13171387
35.5819882717,-83.075566423,1433.67053223
35.5819620717,-83.075497123,1431.98352051
35.5819277706,-83.0754315229,1430.2109375
35.5819109716,-83.0753591229,1428.47216797
35.5819007716,-83.0752851229,1427.25744629
35.5819011727,-83.0751973229,1426.3157959
35.5819081727,-83.0751092228,1425.53881836
35.5819121717,-83.0750269228,1424.60925293
35.5819077717,-83.0749453228,1423.39807129
35.5819014727,-83.0748823228,1422.64013672
35.5818874707,-83.0748221228,1421.71594238
35.5818549717,-83.0747655227,1420.83508301
35.5818608727,-83.0746990227,1419.16210938
35.5818568717,-83.0746391227,1418.00378418
35.5818471707,-83.0745798227,1417.05358887
35.5818060717,-83.0745293227,1416.34997559
35.5817634706,-83.0744798226,1415.6204834
35.5816996716,-83.0744092226,1414.7010498
35.5816637706,-83.0743211226,1413.64233398
35.5816643706,-83.0742266226,1412.10144043
35.5816603716,-83.0741698225,1411.16430664
35.5816326726,-83.0741179225,1410.57397461
35.5815956706,-83.0740671225,1410.23522949
35.5815510716,-83.0740223225,1410.02563477
35.5815174716,-83.0739763225,1409.61657715
35.5814812706,-83.0739323225,1408.88623047
35.5814542716,-83.0738675224,1407.9354248
35.5814692716,-83.0737962224,1408.08190918
35.5814797716,-83.0737285224,1408.55456543
35.5814879706,-83.0736604224,1408.24328613
35.5814786726,-83.0735936224,1407.61352539
35.5814667716,-83.0735216223,1407.05151367
35.5814963716,-83.0734528223,1407.24194336
35.5815117716,-83.0734053223,1407.42431641
35.5815246726,-83.0733569223,1407.55114746
35.5815319716,-83.0732683223,1407.4342041
35.5815229716,-83.0731948223,1406.88244629
35.5815119707,-83.0731214222,1406.38574219
35.5815332727,-83.0730612222,1406.5970459
35.5815690727,-83.0730077222,1407.04589844
35.5815625717,-83.0729375222,1406.64855957
35.5815628717,-83.0728671222,1406.54711914
35.5815783727,-83.0728162221,1407.06262207
35.5816226717,-83.0727861221,1407.92321777
35.5816628717,-83.0727363221,1408.2578125
35.5816833717,-83.0726754221,1408.32678223
35.5817217717,-83.0726322221,1408.77746582
35.5817595727,-83.0725886221,1408.84936523
35.5817948717,-83.0725491221,1408.46362305
35.5818300717,-83.0725096221,1408.05249023
35.5818519707,-83.0724951221,1407.99804688
35.5818855708,-83.0724842221,1408.10437012
35.5819064718,-83.0724889221,1408.56091309
35.5819284718,-83.0725082221,1409.21264648
35.5819569718,-83.0725087221,1409.51477051
35.5819841718,-83.0724863221,1409.28442383
35.5820012708,-83.0724529221,1408.62231445
35.5820060708,-83.0724110221,1407.03503418
35.5819937718,-83.072360822,1408.25366211
35.5819422718,-83.072289522,1408.02783203
35.5819169718,-83.072232522,1408.69628906
35.5819087718,-83.072197822,1409.04382324
35.5819051718,-83.072128922,1409.51123047
35.5819055718,-83.072113722,1409.60070801
35.5819168708,-83.0720174219,1410.1204834
35.5819257728,-83.0719210219,1410.89685059
35.5819345718,-83.0718246219,1411.65380859
35.5819304718,-83.0717692219,1412.10656738
35.5819262718,-83.0717138218,1412.86682129
35.5819296708,-83.0716265218,1414.06066895
35.5819330728,-83.0715393218,1415.37280273
35.5819375728,-83.0714619218,1416.79016113
35.5819419718,-83.0713845217,1418.34643555
35.5819316718,-83.0712990217,1419.51843262
35.5819213708,-83.0712135217,1420.21130371
35.5819252718,-83.0711449217,1420.8067627
35.5819292728,-83.0710763217,1421.25109863
35.5819331708,-83.0710077216,1421.64208984
35.5819352718,-83.0709386216,1421.99279785
35.5819373718,-83.0708696216,1422.22753906
35.5819394728,-83.0708005216,1422.39282227
35.5819493728,-83.0707173216,1422.63183594
35.5819593708,-83.0706340215,1422.74230957
35.5819692708,-83.0705508215,1422.8380127
35.5819912729,-83.0704984215,1423.03405762
35.5820133709,-83.0704461215,1422.9362793
