lat,lng,ele
35.6868001742,-83.5379148649,443.202697754
35.6868145752,-83.5379502649,443.078918457
35.6868457762,-83.538027765,443.807678223
35.6868772752,-83.538105065,443.797088623
35.6869056752,-83.538165665,443.949157715
35.6869287752,-83.538228265,443.91494751
35.6869379752,-83.538299865,443.741577148
35.6869347752,-83.5383720651,443.645477295
35.6869084742,-83.5384493651,443.50567627
35.6868773752,-83.5385249651,443.547241211
35.6868612751,-83.5386071651,443.40512085
35.6868468751,-83.5386896652,443.344299316
35.6868173761,-83.5387656652,443.535583496
35.6867836751,-83.5388399652,443.693084717
35.6867789761,-83.5389195652,443.774200439
35.6868315751,-83.5389875652,444.1456604
35.6868546751,-83.5390667653,444.49395752
35.6868605741,-83.5391496653,444.458404541
35.6868714751,-83.5392318653,444.369262695
35.6869029761,-83.5393206653,444.325561523
35.6869308741,-83.5394104654,444.286743164
35.6869302751,-83.5395062654,444.254058838
35.6869162751,-83.5396014654,444.227874756
35.6869156751,-83.5396972655,444.357513428
35.6869400761,-83.5397883655,444.366119385
35.6869749741,-83.5398759655,444.246704102
35.6870046741,-83.5399549655,444.355773926
35.6870530751,-83.5400220656,444.152923584
35.6870888751,-83.5400342656,444.448730469
35.6871514751,-83.5400582656,445.043457031
