lat,lng,ele
35.6068359494,-83.7448842208,557.333068848
35.6068557494,-83.7448076207,557.235412598
35.6068553514,-83.7447566207,557.663208008
35.6068594504,-83.7447062207,558.020263672
35.6069143504,-83.7446811207,556.877502441
35.6069772504,-83.7446771207,555.643554688
35.6070403504,-83.7446726207,554.932678223
35.6071036514,-83.7446704207,554.250671387
35.6071805504,-83.7446630207,553.426391602
35.6072572505,-83.7446536207,552.745239258
35.6073436515,-83.7446426207,551.934753418
35.6074291505,-83.7446264207,551.496154785
35.6075007505,-83.7445974207,550.908630371
35.6075744515,-83.7445761207,549.493896484
35.6076326495,-83.7445900207,548.636108398
35.6076910515,-83.7446022207,548.459594727
35.6077583506,-83.7445790207,547.69354248
35.6078187506,-83.7445403207,546.718322754
35.6078857496,-83.7444788207,547.505493164
35.6079478506,-83.7444122207,549.128601074
35.6079975516,-83.7443597207,549.316711426
35.6080475506,-83.7443074207,549.020141602
35.6081044506,-83.7442630207,548.576416016
35.6081715507,-83.7442350206,547.90838623
35.6082408497,-83.7442125206,546.768188477
35.6083043517,-83.7441868206,546.264526367
35.6083681507,-83.7441617206,545.817138672
35.6084305517,-83.7441380206,545.172729492
35.6084935517,-83.7441161206,544.481323242
35.6085587517,-83.7441020206,543.483215332
35.6086524498,-83.7441098206,542.377258301
35.6087438498,-83.7441335207,541.330871582
35.6088372508,-83.7441446207,540.336669922
35.6089170498,-83.7441312207,539.774230957
35.6089948508,-83.7441084207,539.259643555
35.6090728509,-83.7440864207,538.677490234
35.6091584509,-83.7440651207,538.080627441
35.6092450509,-83.7440482207,537.171813965
35.6093040499,-83.7440477207,536.673034668
35.6093623509,-83.7440411207,536.28918457
35.6094354499,-83.7439995207,536.052978516
35.6094887519,-83.7439807207,535.513061523
35.609544251,-83.7439701207,534.880737305
