lat,lng,ele
35.5541102634,-83.1639019473,1492.6920166
35.5541827624,-83.1638818473,1490.87902832
35.5542505634,-83.1638257473,1489.00671387
35.5543198624,-83.1637752473,1486.84411621
35.5543447624,-83.1638525473,1484.68994141
35.5543505624,-83.1639370473,1483.63134766
35.5543696624,-83.1640192474,1481.50402832
35.5543958624,-83.1640640474,1480.18273926
35.5543979614,-83.1641358474,1478.78466797
35.5543842614,-83.1642071474,1477.73205566
35.5543749614,-83.1642797474,1476.73962402
35.5543546624,-83.1643497474,1475.73364258
35.5543175624,-83.1643966475,1474.98278809
35.5542719634,-83.1644357475,1474.53747559
35.5541997634,-83.1644789475,1474.80383301
35.5541262634,-83.1645201475,1474.04614258
35.5540621623,-83.1645735475,1473.00598145
35.5540092623,-83.1646358475,1471.39111328
35.5539659623,-83.1647051475,1470.23803711
35.5539322633,-83.1647796475,1468.82397461
35.5539063633,-83.1648659476,1468.00683594
35.5538930613,-83.1649550476,1466.05554199
35.5538966623,-83.1650213476,1463.72412109
35.5538996633,-83.1650876476,1462.56201172
35.5538878633,-83.1651540477,1462.02453613
35.5538702633,-83.1652192477,1461.4855957
35.5538408633,-83.1652944477,1460.25219727
35.5538224623,-83.1653723477,1458.22460938
35.5538506623,-83.1654401477,1456.06115723
35.5538831613,-83.1655063478,1456.01025391
35.5538862633,-83.1655836478,1456.26171875
35.5538893623,-83.1656609478,1456.8248291
35.5539152623,-83.1657223478,1458.38598633
35.5539411623,-83.1657837478,1459.59570312
35.5539428633,-83.1658828479,1459.36877441
35.5539376623,-83.1659821479,1458.72155762
35.5539485633,-83.1660656479,1459.25891113
35.5539678613,-83.166147548,1460.18029785
35.5539935623,-83.166227748,1461.98388672
35.5540237613,-83.166306448,1463.94592285
35.5540568623,-83.166383848,1465.68347168
35.5540912623,-83.1664607481,1466.50268555
35.5541285613,-83.1665399481,1466.06396484
35.5541695623,-83.1666172481,1464.73901367
35.5542191623,-83.1666980481,1463.16113281
35.5542749613,-83.1667745482,1462.03881836
35.5543454623,-83.1668428482,1460.93457031
35.5544234633,-83.1669027482,1460.04284668
35.5544968623,-83.1669680482,1458.17578125
35.5545507614,-83.1670348482,1456.55700684
35.5546009624,-83.1671045483,1455.02270508
35.5546554634,-83.1671708483,1453.61254883
35.5547263624,-83.1672217483,1451.50866699
35.5547795614,-83.1672845483,1449.25061035
