lat,lng,ele
35.7443234878,-83.5183219626,354.596710205
35.7443636879,-83.5183678626,355.082489014
35.7444050889,-83.5184147627,355.540466309
35.7444473879,-83.5184651627,355.87701416
35.7444877879,-83.5185220627,356.127807617
35.7445185869,-83.5185768627,356.09185791
35.7445398889,-83.5186289627,355.66973877
35.7445595879,-83.5186916627,354.384338379
35.7445749879,-83.5187336628,353.315246582
35.7445864879,-83.5187708628,352.753936768
35.7445942889,-83.5188115628,351.96975708
35.7446064869,-83.5189090628,351.204345703
35.7446031889,-83.5189877628,350.249816895
35.7446008879,-83.5190656629,349.163787842
35.7445933869,-83.5191814629,348.868988037
35.7445846889,-83.5192495629,348.90423584
35.7445892879,-83.5193090629,349.344482422
35.7445996889,-83.519418963,350.326507568
35.7446213889,-83.519545463,352.994354248
35.7446257879,-83.519585463,353.623168945
35.7446290889,-83.519654563,354.134429932
35.7446312889,-83.5197070631,354.581451416
35.7446380869,-83.5197712631,355.112792969
35.7446516879,-83.5198500631,355.839752197
35.7446933869,-83.5199760631,358.215484619
35.7447102889,-83.5200350632,359.122406006
35.7447206879,-83.5200839632,359.759277344
35.7447333879,-83.5201288632,360.327728271
35.7447468879,-83.5201748632,361.239532471
35.7447567879,-83.5202278632,362.038238525
35.7447665869,-83.5202855632,362.388580322
35.7447778879,-83.5203361632,362.737243652
35.7447968889,-83.5203888633,363.402618408
35.7448179889,-83.5204281633,364.238189697
35.7448491879,-83.5204834633,365.307037354
35.7448669879,-83.5205220633,365.785644531
35.7448799889,-83.5205663633,365.998168945
35.7448929879,-83.5206282633,366.46862793
35.7449025879,-83.5207174634,366.97555542
35.7449197879,-83.5208045634,368.156280518
35.7449311869,-83.5208757634,368.77835083
35.7449464869,-83.5209651634,369.833496094
35.7449568879,-83.5210307635,370.247711182
35.7449748889,-83.5210901635,370.819885254
35.7449998869,-83.5211464635,370.99786377
35.7450292869,-83.5211999635,370.268096924
35.7450461869,-83.5212550635,368.72833252
35.7450623879,-83.5213257636,366.911254883
35.7450907879,-83.5214038636,365.157226562
35.7451126869,-83.5214512636,363.450714111
35.7451328879,-83.5214683636,362.654205322
35.7451692869,-83.5214806636,361.437957764
35.7452191879,-83.5214921636,360.272094727
35.7452591879,-83.5214957636,359.862457275
35.7453089879,-83.5214867636,358.889923096
35.7453348879,-83.5214781636,358.040496826
35.7453895879,-83.5214443636,356.482727051
35.745421188,-83.5214160636,355.908111572
35.745449688,-83.5213867636,355.250183105
35.745498788,-83.5213301636,354.46194458
35.745534187,-83.5212838636,353.96963501
35.745569289,-83.5212340636,353.071655273
35.745597288,-83.5212024635,352.185882568
35.745640388,-83.5211554635,350.989044189
35.745687488,-83.5211128635,350.147277832
35.745730588,-83.5210653635,349.886077881
35.745777387,-83.5210211635,349.250854492
35.7458261881,-83.5209613635,349.019012451
35.7458669881,-83.5209187635,348.548675537
35.7459061871,-83.5208871635,347.863922119
35.7459497881,-83.5208574635,347.243682861
35.7460200881,-83.5208064635,346.671600342
35.7460703891,-83.5207718635,345.9375
35.7461326891,-83.5207346634,345.071899414
35.7461842881,-83.5207093634,344.533935547
35.7462468872,-83.5206779634,344.0496521
35.7463346892,-83.5206327634,342.354797363
35.7463847882,-83.5206050634,342.234222412
35.7464622872,-83.5205405634,342.775299072
35.7464827882,-83.5205130634,343.075927734
35.7465371882,-83.5204691634,343.255310059
35.7465725882,-83.5204421634,343.299499512
35.7467369883,-83.5203523634,343.607025146
35.7467831883,-83.5203057634,344.046386719
35.7468127893,-83.5202394633,344.941070557
35.7468516883,-83.5201365633,345.226043701
35.7468776893,-83.5201256633,344.72354126
35.7469019893,-83.5201264633,345.277801514
35.7469388883,-83.5201375633,346.477355957
35.7469789893,-83.5201598633,346.508758545
35.7470315883,-83.5201984633,345.49621582
35.7470867883,-83.5202282634,345.66317749
35.7471413874,-83.5202505634,345.21472168
35.7471969874,-83.5202562634,345.071716309
35.7472212874,-83.5202529634,344.946685791
35.7472479884,-83.5202460634,344.87701416
