lat,lng,ele
35.5627506539,-83.4238653241,933.985046387
35.562781354,-83.4239190241,934.403503418
35.562801554,-83.4239774241,934.429077148
35.562810555,-83.4240312242,933.936279297
35.562810754,-83.4240857242,933.449645996
35.5627914529,-83.4241597242,933.37322998
35.5627555539,-83.4242274242,934.249389648
35.5626820539,-83.4242810242,933.305114746
35.5626155539,-83.4243400242,934.308227539
35.5626513539,-83.4244202243,936.537658691
35.5626805529,-83.4245010243,938.935791016
35.5626158539,-83.4245446243,941.51550293
35.5625426539,-83.4245515243,941.588806152
35.5624690529,-83.4245554243,942.073242188
35.5623946538,-83.4245929243,943.115112305
35.5623343538,-83.4246502243,943.788452148
35.5623107548,-83.4247117243,944.989135742
35.5622823528,-83.4247703243,946.467590332
35.5621887528,-83.4247849243,949.102233887
35.5621107528,-83.4247380243,951.349365234
35.5620640548,-83.4246766243,952.586547852
35.5620281538,-83.4246078243,953.251464844
35.5619796548,-83.4245481243,954.082275391
35.5619136537,-83.4245286243,956.022766113
35.5618441547,-83.4245278243,957.488525391
35.5617755527,-83.4245183242,957.750793457
35.5616992537,-83.4244890242,959.076538086
35.5616309537,-83.4244448242,960.333374023
35.5615900537,-83.4243857242,961.02154541
35.5615600547,-83.4243200242,961.116394043
35.5615259527,-83.4242564242,960.736022949
35.5614750547,-83.4241909241,959.944396973
35.5614188527,-83.4241299241,960.462097168
35.5613592536,-83.4240722241,961.836120605
35.5612894526,-83.4240113241,962.415344238
35.5612159526,-83.423955124,963.018676758
35.5611384536,-83.423904224,962.647888184
35.5610573546,-83.423859724,962.540893555
35.5609724526,-83.423822724,961.704345703
35.5609158526,-83.423802024,962.501647949
35.5608576526,-83.423786824,964.827697754
35.5607828545,-83.423787824,968.770080566
35.5607089535,-83.423801324,971.134216309
35.5606342545,-83.423806924,971.473999023
35.5605413535,-83.423795024,971.744689941
35.5604516535,-83.4237685239,973.340148926
35.5603922535,-83.4237409239,976.131225586
35.5603380525,-83.4237043239,978.403015137
35.5602869534,-83.4236337239,980.369934082
35.5602345534,-83.4235643239,980.832763672
35.5601449544,-83.4235349239,983.841369629
35.5600513524,-83.4235172238,987.344177246
35.5599873534,-83.4234892238,989.011657715
35.5599257524,-83.4234561238,990.292663574
35.5598665544,-83.4234190238,992.163696289
35.5597883524,-83.4233598238,994.825439453
35.5597165533,-83.4232931238,997.081298828
35.5596502543,-83.4232208237,1000.44512939
35.5595886523,-83.4231444237,1003.31591797
35.5595313543,-83.4230649237,1004.55859375
35.5594774533,-83.4229829237,1004.73425293
35.5594406523,-83.4229077236,1004.48236084
