lat,lng,ele
35.497511636,-83.5612514605,661.728088379
35.497473135,-83.5611838605,661.380004883
35.497441434,-83.5611128605,660.842041016
35.4974169349,-83.5610390604,660.312194824
35.4974043339,-83.5609507604,659.95892334
35.497400635,-83.5608615604,659.524841309
35.497386535,-83.5607735604,659.246643066
35.4973502349,-83.5606806603,658.811645508
35.4973002349,-83.5605944603,658.481933594
35.4972425349,-83.5605278603,658.147644043
35.4971766349,-83.5604692603,658.110961914
35.4971193349,-83.5604277602,657.883972168
35.4970588359,-83.5603909602,657.506591797
35.4969988339,-83.5603534602,656.973266602
35.4969408349,-83.5603094602,656.553649902
35.4968834339,-83.5602645602,656.341491699
35.4968213359,-83.5602265602,656.048461914
35.4967327348,-83.5601980602,655.655090332
35.4966420348,-83.5601767601,655.171325684
35.4965473348,-83.5601446601,654.481140137
35.4964530348,-83.5601115601,653.639038086
35.4963554358,-83.5600904601,654.007385254
35.4962739357,-83.5600952601,653.409240723
35.4961931337,-83.5601084601,653.474914551
35.4961118347,-83.5601047601,654.184204102
35.4960404347,-83.5600693601,654.87713623
35.4959690357,-83.5600341601,654.422668457
35.4958832347,-83.5600334601,652.604919434
35.4957979347,-83.5600287601,654.673706055
35.4957230336,-83.55997666,655.501342773
35.4956561356,-83.55991396,656.071289062
35.4955990336,-83.55986566,656.03137207
35.4955427356,-83.55981636,655.931884766
35.4954880356,-83.55976536,656.136108398
35.4954368346,-83.5597135599,655.588256836
35.4953871336,-83.5596602599,655.363708496
35.4953381346,-83.5596062599,655.459533691
35.4953038346,-83.5595657599,655.766967773
35.4952677346,-83.5595269599,656.124084473
35.4952055355,-83.5594853599,656.404418945
35.4951354345,-83.5594586598,655.846923828
35.4950628345,-83.5594393598,655.564025879
35.4949906345,-83.5594189598,656.198608398
35.4949121345,-83.5593857598,657.99407959
35.4948294355,-83.5593697598,659.31237793
35.4947667345,-83.5593940598,659.395812988
35.4947109334,-83.5594320598,658.658325195
35.4946551344,-83.5594905598,659.121826172
35.4946002354,-83.5595498598,659.110168457
35.4945301344,-83.5595967599,659.798278809
35.4944541344,-83.5596333599,660.929321289
35.4943864354,-83.5596543599,660.909729004
35.4943181334,-83.5596731599,661.295715332
35.4942363333,-83.5597035599,662.239929199
35.4941424343,-83.5597283599,663.402832031
35.4940462343,-83.5597416599,664.378356934
35.4939740343,-83.5597438599,665.186401367
35.4939021343,-83.5597370599,665.663269043
35.4938425353,-83.5597230598,666.042724609
35.4937857332,-83.5597003598,666.112915039
35.4937328342,-83.5596579598,666.208496094
35.4936868342,-83.5596076598,666.680786133
35.4936354352,-83.5595632598,665.95098877
35.4935595342,-83.5595152598,665.734375
35.4934744332,-83.5595030598,665.229187012
35.4934284332,-83.5595456598,664.788391113
35.4934101352,-83.5596102598,664.983642578
35.4933986352,-83.5596769598,664.729553223
35.4933715332,-83.5597451598,663.707336426
35.4933327341,-83.5598071598,662.571411133
35.4932524341,-83.5598563599,661.061035156
35.4931599351,-83.5598788599,660.704833984
35.4930876341,-83.5598808598,660.322143555
35.4930156341,-83.5598852598,661.004577637
35.4929392341,-83.5599208599,660.203125
35.492869634,-83.5599688599,658.69140625
35.492812535,-83.5600143599,656.896118164
35.492759434,-83.5600645599,656.299926758
35.492709134,-83.5601224599,655.281616211
35.492663635,-83.5601841599,654.66607666
35.492620334,-83.5602474599,654.661499023
35.492585534,-83.5603085599,654.276550293
35.492545733,-83.56036636,653.606933594
35.4924639329,-83.56041216,653.318725586
35.4923729339,-83.56043796,652.799499512
35.4922881329,-83.56045336,653.401428223
35.4922023339,-83.56046176,654.989624023
35.4921195339,-83.56048506,656.689025879
35.4920492339,-83.56052996,657.452148438
35.4919822348,-83.56057986,657.80859375
35.4919350328,-83.56060946,658.187255859
35.4918907338,-83.56064316,658.229003906
35.4918439328,-83.56070506,657.338867188
35.4918101338,-83.56077506,656.578186035
35.4917872338,-83.5608492601,656.283508301
35.4917838328,-83.5609337601,656.173034668
35.4917928328,-83.5610182601,654.816467285
35.4917908348,-83.5611028601,653.962402344
35.4917653328,-83.5611856602,654.287231445
35.4917333348,-83.5612663602,655.758850098
35.4916967337,-83.5613523602,657.251586914
35.4916665347,-83.5614405602,659.109802246
35.4916547327,-83.5615225602,658.963500977
35.4916539337,-83.5616054603,658.313171387
35.4916712337,-83.5616846603,656.235290527
35.4916995327,-83.5617608603,653.865966797
35.4917211347,-83.5618390603,652.31036377
35.4917269347,-83.5619326604,651.079101562
35.4917215327,-83.5620263604,650.17376709
35.4917118337,-83.5621197604,649.95324707
35.4917041337,-83.5622132605,650.511657715
35.4917008337,-83.5622930605,649.358398438
35.4916977337,-83.5623728605,648.302062988
35.4916939337,-83.5624526605,647.663818359
35.4916883327,-83.5625323605,647.029907227
35.4916767347,-83.5626202606,646.714233398
35.4916612337,-83.5627074606,646.574951172
35.4916483327,-83.5627951606,645.866027832
35.4916448327,-83.5628836606,644.874633789
35.4916528327,-83.5629772607,642.858886719
35.4916690347,-83.5630698607,640.735717773
35.4916930347,-83.5631607607,638.458740234
35.4917004327,-83.5632381608,637.185852051
35.4917032347,-83.5633198608,636.830871582
35.4917010347,-83.5634014608,636.646362305
35.4916948337,-83.5634829608,636.486328125
35.4916854327,-83.5635641608,636.389343262
35.4916737337,-83.5636450609,636.364746094
35.4916598326,-83.5637224609,636.832580566
35.4916429326,-83.5637991609,636.42175293
35.4916240346,-83.5638754609,636.159240723
35.4916040336,-83.563951461,635.870056152
35.4915837346,-83.564028661,635.822509766
35.4915621336,-83.564105361,636.008911133
35.4915360336,-83.564180761,636.649353027
35.4915054346,-83.564251361,637.075927734
35.4914706346,-83.5643199611,636.30078125
35.4914325336,-83.5643868611,635.305358887
35.4913790336,-83.5644693611,635.203491211
35.4913209335,-83.5645486611,634.946044922
35.4912777335,-83.5646048611,634.850341797
35.4912325345,-83.5646595611,634.714294434
35.4911823345,-83.5647095612,634.934265137
35.4911109335,-83.5647589612,635.527099609
35.4910332335,-83.5647979612,635.432189941
35.4909543335,-83.5648345612,634.294921875
35.4908853334,-83.5648669612,632.653259277
35.4908153334,-83.5648975612,630.672668457
35.4907450334,-83.5649270612,630.140686035
35.4906667334,-83.5649589612,629.664489746
35.4905880334,-83.5649894612,629.421020508
35.4905087324,-83.5650187612,629.177856445
35.4904315333,-83.5650437612,628.796386719
35.4903534323,-83.5650661612,629.218994141
35.4902759333,-83.5650900612,628.982849121
35.4902001333,-83.5651191612,628.211303711
35.4901151333,-83.5651589612,628.24810791
35.4900325322,-83.5652035612,628.520019531
35.4899538342,-83.5652546612,628.132995605
35.4898797342,-83.5653144613,627.279541016
35.4898103332,-83.5653795613,626.64251709
35.4897423342,-83.5654462613,626.596862793
35.4896874322,-83.5655036613,626.188110352
35.4896335332,-83.5655621613,625.586181641
35.4895764341,-83.5656173613,625.536315918
35.4895137331,-83.5656648613,625.315063477
35.4894480321,-83.5657083613,625.059997559
35.4893842331,-83.5657544614,624.725158691
35.4893285321,-83.5658035614,623.80859375
35.4892746331,-83.5658545614,623.534667969
35.4892188341,-83.5659035614,623.238037109
35.489139133,-83.5659635614,622.721313477
35.489056433,-83.5660191614,622.185119629
35.488971933,-83.5660720614,622.122375488
35.488897334,-83.5661162614,622.106140137
35.488821433,-83.5661582614,621.32598877
35.4887439339,-83.5661970614,620.606933594
35.4886713329,-83.5662281614,620.519042969
35.4885983329,-83.5662585615,619.946411133
35.4885251329,-83.5662921615,619.494873047
35.4884525319,-83.5663270615,619.209838867
35.4883798329,-83.5663617615,618.616210938
35.4883136328,-83.5663939615,618.294921875
35.4882474328,-83.5664260615,617.71697998
35.4881795338,-83.5664545615,616.982421875
35.4880913338,-83.5664835615,616.705566406
35.4880012338,-83.5665063615,616.578186035
35.4879097328,-83.5665223615,616.44317627
35.4878173327,-83.5665312615,616.20880127
35.4877290317,-83.5665316615,615.575439453
35.4876410337,-83.5665248615,615.626281738
35.4875535317,-83.5665129615,615.241333008
35.4874664327,-83.5664980615,614.993652344
35.4873941326,-83.5664836614,614.886413574
35.4873223326,-83.5664666614,614.800415039
35.4872512316,-83.5664470614,614.732910156
35.4871708326,-83.5664208614,614.162414551
35.4870918326,-83.5663907614,613.579650879
35.4870141316,-83.5663574614,613.382202148
35.4869375326,-83.5663216614,613.160095215
35.4868618325,-83.5662839614,612.919799805
35.4867868335,-83.5662449613,612.735656738
35.4867157325,-83.5662060613,612.164001465
35.4866456315,-83.5661651613,612.043701172
35.4865764325,-83.5661228613,611.956298828
35.4865079325,-83.5660794613,611.461547852
35.4864397335,-83.5660355613,611.125061035
35.4863625325,-83.5659859612,611.077209473
35.4862857334,-83.5659357612,610.899169922
35.4862104324,-83.5658834612,610.112243652
35.4861376324,-83.5658275612,609.729187012
35.4860630314,-83.5657634612,609.543579102
35.4859912324,-83.5656961611,608.965209961
35.4859219324,-83.5656261611,608.771484375
35.4858550324,-83.5655540611,608.943603516
35.4858055324,-83.5654956611,609.362121582
35.4857583324,-83.565435461,609.316040039
35.4857110323,-83.565375161,609.087402344
35.4856618323,-83.565316561,608.696350098
35.4856106323,-83.565260861,609.547302246
35.4855579323,-83.565206461,610.242431641
35.4855043333,-83.5651530609,610.145324707
35.4854500333,-83.5651003609,609.094543457
35.4853748323,-83.5650398609,608.894287109
35.4852984323,-83.5649808609,607.795593262
35.4852378333,-83.5649062609,607.459472656
35.4852122333,-83.5648414608,607.581848145
35.4851949323,-83.5647739608,607.545959473
35.4851790313,-83.5647060608,607.222167969
35.4851585333,-83.5646139608,606.878417969
35.4851409333,-83.5645211607,607.319335938
35.4851218313,-83.5644287607,607.301940918
35.4851016333,-83.5643418607,606.824707031
35.4850805333,-83.5642551607,606.825622559
35.4850571323,-83.5641691606,607.120727539
35.4850300333,-83.5640841606,609.054931641
35.4849965332,-83.5640053606,610.432739258
35.4849577322,-83.5639290606,611.147705078
35.4849205312,-83.5638518605,611.155029297
35.4848924312,-83.5637710605,610.70513916
35.4848818312,-83.5637045605,611.044494629
35.4848752322,-83.5636374605,611.304504395
35.4848606322,-83.5635717604,612.431945801
35.4848143332,-83.5634921604,613.00958252
35.4847648332,-83.5634143604,613.228271484
35.4847432322,-83.5633586604,613.568969727
35.4847221322,-83.5633028604,614.067871094
35.4846809322,-83.5632309603,614.039428711
35.4846441322,-83.5631570603,614.061279297
35.4846293332,-83.5630706603,614.625061035
35.4846342322,-83.5629831603,615.405090332
35.4846560322,-83.5628981602,613.533630371
35.4846905322,-83.5628173602,615.538330078
35.4847341332,-83.5627411602,618.526184082
