lat,lng,ele
35.5479057482,-83.4917916431,1742.51940918
35.5478430472,-83.4918420432,1742.55517578
35.5477727471,-83.4918809432,1742.74597168
35.5476949481,-83.4919006432,1743.33154297
35.5476152481,-83.4918929432,1744.18481445
35.5475442471,-83.4918464431,1745.13232422
35.5474729471,-83.4918003431,1746.33251953
35.5473816481,-83.4917957431,1747.18859863
35.547292248,-83.4918168431,1748.40136719
35.547224647,-83.4918640431,1749.44812012
35.547165149,-83.4919220431,1750.6105957
35.547091148,-83.4919539431,1752.51989746
35.547036949,-83.4919263431,1753.7166748
35.546984148,-83.4918954431,1754.34912109
35.546909847,-83.4918966431,1755.44580078
35.546839348,-83.4919231431,1756.9354248
35.5467689469,-83.4919499431,1757.67810059
35.5466945479,-83.4919527431,1758.2043457
35.5466376479,-83.4919208431,1758.96179199
35.5465786479,-83.4918939431,1759.18322754
35.5465198489,-83.4919154431,1759.48535156
35.5464605469,-83.4919344431,1759.71704102
35.5464155479,-83.4919065431,1760.24865723
35.5463716469,-83.4918765431,1760.73669434
35.5462854478,-83.4918946431,1760.96252441
35.5461994468,-83.4919153431,1761.44616699
35.5461412468,-83.4918812431,1762.13464355
35.5460837468,-83.4918455431,1762.65429688
35.5459887488,-83.491846443,1764.36560059
35.5458941488,-83.491861743,1765.14611816
35.5458247477,-83.491865643,1766.28259277
35.5457552477,-83.491866943,1767.00476074
35.5456869477,-83.491855343,1767.40185547
35.5456381487,-83.491830943,1767.83789062
35.5455887477,-83.491808143,1768.29199219
35.5455110467,-83.491815543,1769.21276855
35.5454379477,-83.491845743,1769.73779297
35.5453621466,-83.491867343,1770.77966309
35.5452895466,-83.491873543,1772.45288086
35.5452180476,-83.491862843,1774.12561035
35.5451703466,-83.491820843,1775.08483887
35.5451205476,-83.491782643,1775.64257812
35.5450563476,-83.491829243,1777.21679688
35.5449924476,-83.491877943,1777.73168945
35.5449205476,-83.491864743,1779.04394531
35.5448584465,-83.491834143,1780.3927002
35.5447955475,-83.491805643,1781.73339844
35.5447142485,-83.491814543,1782.88635254
35.5446329475,-83.491822743,1783.83764648
35.5445556475,-83.4917793429,1784.9753418
35.5444816465,-83.4917297429,1785.49658203
35.5444295465,-83.4917061429,1785.89440918
35.5443742484,-83.4916933429,1786.46313477
35.5442920484,-83.4917378429,1786.87145996
35.5442188474,-83.4917988429,1787.43115234
35.5441713464,-83.4918219429,1788.21630859
35.5441276474,-83.4918511429,1788.85192871
35.5440970474,-83.491932043,1788.68774414
35.5440701474,-83.492014843,1788.24572754
35.5440190474,-83.492067043,1788.47265625
35.5439600483,-83.492110643,1788.6373291
35.5439005473,-83.492151343,1788.45141602
35.5438385473,-83.492188243,1788.66125488
35.5437773473,-83.492226343,1789.26098633
35.5437142483,-83.492275743,1789.5567627
35.5436541473,-83.492328943,1789.67810059
35.5435914473,-83.4923790431,1790.01647949
35.5435210472,-83.4924169431,1790.86950684
35.5434528482,-83.4924301431,1791.46569824
35.5433852472,-83.4924458431,1791.87890625
35.5433226472,-83.4924961431,1791.47949219
35.5432570462,-83.4925411431,1791.29736328
35.5431701472,-83.4925122431,1792.60229492
35.5430872482,-83.4924696431,1793.2590332
35.5430069471,-83.492452543,1793.01098633
35.5429253471,-83.492453643,1792.94116211
35.5428684461,-83.492474443,1793.17980957
35.5428161471,-83.4925053431,1793.60876465
35.5427670481,-83.4925446431,1793.96765137
35.5427242461,-83.4925907431,1794.16918945
35.5426769481,-83.4926694431,1794.65734863
35.542639747,-83.4927535431,1794.52661133
35.542607346,-83.4928471431,1793.79455566
35.542581648,-83.4929428432,1793.23168945
35.542552747,-83.4930376432,1792.49206543
35.542519446,-83.4931252432,1791.67871094
35.542483447,-83.4932118432,1790.84716797
35.542444447,-83.4932971433,1790.4152832
35.542401647,-83.4933805433,1790.0723877
35.542354546,-83.4934616433,1789.46655273
35.5423123459,-83.4935235433,1789.22680664
35.5422676469,-83.4935837433,1788.96630859
35.5422245469,-83.4936450434,1788.61169434
35.5421771459,-83.4937099434,1788.29260254
35.5421314459,-83.4937761434,1788.04858398
35.5421031469,-83.4938509434,1787.26501465
35.5421031469,-83.4939061434,1786.24707031
35.5421008469,-83.4939611434,1785.11303711
35.5420440469,-83.4940267435,1784.92468262
35.5419722479,-83.4940785435,1785.24353027
35.5419219468,-83.4941324435,1785.00549316
35.5418708468,-83.4941856435,1784.59741211
35.5418126468,-83.4942351435,1784.27331543
35.5417517478,-83.4942812435,1784.0637207
35.5416992468,-83.4943218435,1784.01318359
35.5416420468,-83.4943550435,1784.0423584
35.5415703468,-83.4943658435,1783.91467285
35.5414976477,-83.4943615435,1783.38928223
35.5414133457,-83.4943497435,1782.6796875
35.5413316467,-83.4943262435,1782.15869141
35.5412558467,-83.4942879435,1781.71557617
35.5411923467,-83.4942325435,1781.01635742
35.5411319467,-83.4941737434,1780.45373535
35.5410725467,-83.4941240434,1779.82128906
35.5410111467,-83.4940767434,1779.09277344
35.5409455466,-83.4940356434,1778.31945801
35.5408701466,-83.4940042434,1777.30371094
35.5407935466,-83.4939757434,1776.21496582
35.5407076476,-83.4939367433,1775.10693359
35.5406239476,-83.4938932433,1774.10522461
35.5405616456,-83.4938508433,1773.55310059
35.5405016466,-83.4938053433,1773.04956055
35.5404373455,-83.4937661433,1772.36206055
35.5403648465,-83.4937441433,1771.3807373
35.5402941455,-83.4937176433,1770.42724609
35.5402457465,-83.4936717432,1770.1361084
35.5401968465,-83.4936263432,1769.9041748
35.5401463465,-83.4936110432,1769.45349121
35.5400984465,-83.4935902432,1769.0958252
35.5400549465,-83.4935117432,1768.91833496
35.5400199455,-83.4934711432,1768.2689209
35.5399752455,-83.4934430432,1767.44567871
35.5399082464,-83.4934749432,1766.01940918
35.5398651464,-83.4935389432,1765.14892578
35.5398115474,-83.4935567432,1764.54516602
35.5397563454,-83.4935686432,1764.05981445
35.5396661474,-83.4935633432,1763.21960449
35.5395761464,-83.4935630432,1762.52929688
35.5395305464,-83.4935833432,1762.01098633
35.5394852474,-83.4936043432,1761.35461426
35.5394090463,-83.4936172432,1760.47424316
35.5393316463,-83.4936216432,1759.99401855
35.5392729463,-83.4936253432,1759.47436523
35.5392142473,-83.4936290432,1758.96984863
35.5391368463,-83.4936332432,1758.60571289
35.5390606463,-83.4936463432,1757.92358398
35.5389981463,-83.4936715432,1757.1081543
35.5389422472,-83.4937088432,1756.41296387
35.5388997472,-83.4937651432,1755.36413574
35.5388687472,-83.4938287432,1754.13830566
35.5388392462,-83.4938931432,1753.17822266
35.5388148452,-83.4939550432,1752.19274902
35.5387826462,-83.4940126433,1751.2442627
35.5387369462,-83.4940329433,1750.50073242
35.5386916462,-83.4940539433,1749.75939941
35.5386662452,-83.4941017433,1749.02575684
35.5386446462,-83.4941517433,1748.29797363
35.5385875471,-83.4942185433,1746.6340332
35.5385247461,-83.4942803433,1744.82165527
35.5384785471,-83.4943341433,1743.12536621
35.5384677451,-83.4944221434,1741.88757324
35.5384396451,-83.4944997434,1740.39233398
35.5384010461,-83.4945731434,1738.7322998
35.5383728451,-83.4946507434,1737.22692871
35.5383625471,-83.4947163434,1736.19458008
35.5383611461,-83.4947827435,1735.11962891
35.5383832461,-83.4948475435,1734.55969238
35.5384173461,-83.4949074435,1734.41870117
35.5384383451,-83.4949725435,1733.37060547
35.5384368461,-83.4950387435,1731.78820801
35.5383812461,-83.4951141436,1728.71179199
35.5383641471,-83.4951897436,1726.80004883
35.5383677451,-83.4952679436,1725.5357666
35.5383716461,-83.4953460436,1724.48669434
35.5383568451,-83.4954222436,1723.31152344
35.538310147,-83.4954979437,1721.38024902
35.538254746,-83.4955167437,1720.25915527
35.538201147,-83.4955387437,1718.953125
35.538172546,-83.4956150437,1717.58959961
35.538175146,-83.4956647437,1716.86315918
35.538179546,-83.4957144437,1716.16992188
35.538161446,-83.4957872437,1714.93481445
35.538131446,-83.4958563438,1713.5892334
35.538094747,-83.4959217438,1712.21887207
35.538056646,-83.4959863438,1710.98693848
35.538020446,-83.4960561438,1709.9720459
35.5379883469,-83.4961278438,1708.99584961
35.5379710469,-83.4962042438,1708.05773926
35.5379758469,-83.4962594439,1707.33874512
35.5379777469,-83.4963147439,1706.50378418
35.5379372449,-83.4963747439,1705.55566406
35.5378941449,-83.4964334439,1704.63781738
35.5378828469,-83.4964879439,1703.61291504
35.5378829449,-83.4965434439,1702.63793945
35.5379356449,-83.496623244,1701.56115723
35.5380060459,-83.496690544,1700.75830078
35.5380486459,-83.496749444,1699.7857666
35.5380892459,-83.496809744,1698.99267578
35.5381285459,-83.4968708441,1698.11218262
35.538164747,-83.4969355441,1697.01855469
35.538199547,-83.4970010441,1695.73632812
35.538241747,-83.4970618441,1694.51269531
35.538303747,-83.4971163441,1693.64611816
35.538374145,-83.4971598442,1693.21582031
35.538446146,-83.4972005442,1693.01196289
35.538524446,-83.4972372442,1692.36523438
35.538597747,-83.4972824442,1691.04418945
35.538632345,-83.4973281442,1689.64453125
35.538667946,-83.4973728442,1688.20166016
35.5387499451,-83.4974063442,1686.88317871
35.5388381451,-83.4974221443,1686.17102051
35.5389096471,-83.4974419443,1686.27661133
35.5389816451,-83.4974597443,1685.75048828
35.5390715461,-83.4974730443,1685.86376953
35.5391613461,-83.4974873443,1685.55688477
35.5392576462,-83.4975111443,1685.11547852
35.5393493462,-83.4975483443,1684.39990234
35.5394146472,-83.4975851443,1683.14550781
35.5394772472,-83.4976261444,1681.78198242
35.5395087462,-83.4976856444,1679.56176758
35.5394540462,-83.4977170444,1678.0447998
35.5394000462,-83.4977222444,1677.51452637
35.5393457462,-83.4977246444,1676.74560547
35.5392665461,-83.4977689444,1674.4161377
35.5391905461,-83.4978192444,1671.92126465
35.5391157461,-83.4978524444,1670.01843262
35.5390362471,-83.4978695444,1668.65246582
