lat,lng,ele
35.7076878856,-83.3832459208,521.846862793
35.7077788857,-83.3832044208,523.830749512
35.7079056847,-83.3831751208,524.747558594
35.7079594857,-83.3831877208,525.252685547
35.7080658857,-83.3832794208,527.936279297
35.7081554867,-83.3833042208,527.839355469
35.7081640857,-83.3833265209,528.260375977
35.7081457857,-83.3833370209,528.536499023
35.7080732857,-83.3833570209,529.356384277
35.7080194847,-83.3833443209,530.025085449
35.7079829847,-83.3833653209,530.732421875
35.7079638857,-83.3834200209,531.809997559
35.7079717867,-83.3834755209,532.902282715
35.7080247867,-83.3835324209,534.293334961
35.7080689847,-83.3835779209,535.612182617
35.7080950867,-83.3836229209,536.409118652
35.7081034847,-83.383656321,536.681396484
35.7081020857,-83.383722521,537.726806641
35.7081007857,-83.383788821,538.755310059
35.7080908857,-83.383832721,539.702880859
35.7080717867,-83.383887421,540.780151367
