lat,lng,ele
35.7578463029,-83.2096289728,660.198120117
35.7576686029,-83.2098391729,661.830078125
35.7575399038,-83.2099793729,663.522216797
35.7573642018,-83.2102178729,665.562133789
35.7572242018,-83.210479373,669.053894043
35.7571030037,-83.2106972731,672.100524902
35.7569820017,-83.2109039731,675.081542969
35.7568518037,-83.2111215732,677.923950195
35.7567671026,-83.2113182732,679.520385742
35.7566635026,-83.2115586733,680.910522461
35.7565603026,-83.2117770734,684.339355469
35.7564569015,-83.2120063734,686.692443848
35.7563989025,-83.2122148735,688.448669434
35.7562687015,-83.2124324735,690.756591797
35.7561934025,-83.2126073736,692.671081543
35.7560896034,-83.2128587736,695.150024414
35.7560049034,-83.2130555737,696.949768066
35.7558857034,-83.2131627737,698.380737305
35.7557041023,-83.2132351737,701.682556152
35.7555583023,-83.2133196737,702.794921875
35.7554025033,-83.2134590738,705.399963379
35.7551943022,-83.2135085738,707.864562988
35.7550127012,-83.2135809738,711.076843262
