lat,lng,ele
35.7055107796,-83.5243075621,406.045532227
35.7054475796,-83.5243434621,406.112548828
35.7053837805,-83.5243782621,406.249603271
35.7053192785,-83.5244119621,406.382537842
35.7052547795,-83.5244416621,406.462646484
35.7051917785,-83.5244742621,406.592468262
35.7051312805,-83.5245209621,406.758087158
35.7050725785,-83.5245699621,406.730529785
35.7050138795,-83.5246133621,406.735198975
35.7049536784,-83.5246546621,406.773834229
35.7048802794,-83.5246979621,407.119842529
35.7048040804,-83.5247359621,407.165863037
35.7047263804,-83.5247709621,407.314697266
35.7046483794,-83.5248052621,407.203399658
35.7045711784,-83.5248414622,406.96685791
35.7044979783,-83.5248771622,407.495788574
35.7044253803,-83.5249142622,408.290435791
35.7043703803,-83.5249452622,409.100158691
35.7043158793,-83.5249770622,409.677124023
35.7042513793,-83.5250145622,410.111907959
35.7041871793,-83.5250525622,410.206390381
35.7041241793,-83.5250925622,410.29598999
35.7040516792,-83.5251464622,409.936126709
35.7039777792,-83.5251984622,409.792694092
35.7039184802,-83.5252288622,410.208770752
35.7038570792,-83.5252548622,410.03527832
35.7037957802,-83.5252811622,410.807769775
35.7037171802,-83.5253149622,411.038848877
35.7036409791,-83.5253536623,411.049957275
35.7035708781,-83.5254109623,410.91418457
35.7035072781,-83.5254756623,410.17401123
35.7034387801,-83.5255350623,410.228729248
35.7033679791,-83.5255771623,411.789581299
35.7032939791,-83.5256132623,411.693847656
35.7032200791,-83.5256497623,412.155395508
35.703132779,-83.5256954623,412.137115479
35.703046879,-83.5257437623,412.284729004
35.702984879,-83.5257845623,412.278656006
35.702924479,-83.5258277623,412.230926514
35.70286388,-83.5258705624,412.731628418
35.70280728,-83.5259112624,412.869384766
35.7027504779,-83.5259516624,412.840789795
35.7026901789,-83.5259866624,413.373077393
35.7026192789,-83.5260169624,413.542449951
35.7025449779,-83.5260373624,413.470489502
35.7024545779,-83.5260433624,413.647766113
35.7023647779,-83.5260316624,414.006317139
35.7023020798,-83.5260078624,413.98059082
35.7022395788,-83.5259834624,413.635284424
35.7021621778,-83.5259705623,412.606262207
35.7020835788,-83.5259688623,413.049224854
35.7020053788,-83.5259760623,413.433166504
35.7019371778,-83.5259900623,413.673217773
35.7018707788,-83.5260107623,413.248565674
35.7018058787,-83.5260360623,413.082489014
35.7017199787,-83.5260785623,412.977508545
35.7016382797,-83.5261286624,413.038818359
35.7015593777,-83.5261830624,413.513397217
35.7015031777,-83.5262239624,413.748535156
35.7014494777,-83.5262679624,414.115631104
35.7013910786,-83.5263241624,414.652954102
35.7013387786,-83.5263859624,414.884643555
35.7013000786,-83.5264487624,414.564758301
35.7012673786,-83.5265150624,413.976654053
35.7012355796,-83.5265816625,413.115783691
35.7012018786,-83.5266546625,412.841217041
35.7011692786,-83.5267282625,412.613677979
35.7011317776,-83.5267993625,412.557983398
35.7010874786,-83.5268656625,412.625427246
35.7010389785,-83.5269290626,412.680389404
35.7009742775,-83.5270043626,412.772918701
35.7009127785,-83.5270397626,412.873626709
35.7008467775,-83.5270666626,413.010498047
35.7007803785,-83.5271020626,413.117614746
35.7007102775,-83.5271286626,413.020782471
35.7006561795,-83.5271305626,413.156066895
35.7006021794,-83.5271252626,413.124328613
35.7005213774,-83.5271116626,413.270019531
35.7004492784,-83.5270888626,413.20098877
35.7003781794,-83.5270628626,413.676391602
35.7002976774,-83.5270377625,413.884490967
35.7002169784,-83.5270135625,413.771575928
35.7001540784,-83.5269955625,413.814422607
35.7000915773,-83.5269764625,414.208312988
35.7000152783,-83.5269473625,414.28805542
35.6999395783,-83.5269164625,414.651000977
35.6998625783,-83.5268826625,414.77822876
35.6997863773,-83.5268468625,414.907592773
35.6997082783,-83.5268155624,415.537597656
35.6996265773,-83.5267960624,415.963409424
35.6995630782,-83.5267850624,416.130310059
35.6995004782,-83.5267920624,416.038513184
35.6994721792,-83.5268531624,413.638305664
35.6994632772,-83.5269216625,412.868408203
35.6994511782,-83.5269894625,412.860168457
35.6994225792,-83.5270828625,413.158569336
35.6993896792,-83.5271748625,415.9375
35.6993463782,-83.5272623626,416.911193848
35.6992954772,-83.5273361626,417.205871582
35.6992351782,-83.5274025626,417.71182251
35.6991863781,-83.5274416626,417.91595459
35.6991344781,-83.5274766626,418.165283203
35.6990560791,-83.5275307626,418.725860596
35.6989702781,-83.5275709626,419.029541016
35.6988892771,-83.5275700626,419.077972412
35.6988081781,-83.5275658626,419.178253174
35.698752479,-83.5275762626,419.304229736
35.698699379,-83.5275955626,419.404907227
35.698635678,-83.5276442626,419.73651123
35.698579977,-83.5277022626,420.204803467
35.698532279,-83.5277547626,420.654266357
35.698487577,-83.5278098627,421.027770996
35.698444178,-83.5278681627,421.661193848
35.698403978,-83.5279287627,422.193878174
35.698361977,-83.5280027627,422.940826416
35.6983247779,-83.5280791627,423.515716553
35.6982909789,-83.5281572628,424.254516602
35.6982656779,-83.5282307628,424.910522461
35.6982451779,-83.5283057628,425.47543335
35.6982235789,-83.5283804628,426.145324707
35.6981945779,-83.5284525628,427.135437012
35.6981693779,-83.5285030628,427.887817383
35.6981384779,-83.5285502629,428.544921875
35.6980868779,-83.5285917629,429.144958496
35.6980287779,-83.5286241629,429.141204834
35.6979504778,-83.5286584629,428.487976074
35.6978739768,-83.5286965629,427.7449646
35.6978005778,-83.5287605629,427.500305176
35.6977425788,-83.5288324629,426.331604004
35.6976804778,-83.5289003629,425.561645508
35.6976202768,-83.5289293629,425.676605225
35.6975550767,-83.5289451629,425.376953125
35.6974898767,-83.5289606629,424.437957764
35.6974398777,-83.5289752629,423.333984375
35.6973900787,-83.5289906629,422.792572021
35.6973278777,-83.5290204629,421.515441895
35.6972628787,-83.529041963,421.073181152
35.6971977767,-83.5290317629,420.689697266
35.6971374777,-83.5290047629,419.948303223
35.6970706776,-83.5289370629,419.416992188
35.6970050766,-83.5288680629,419.296905518
35.6969486776,-83.5288401629,419.321136475
35.6968889786,-83.5288201629,419.362640381
35.6968238766,-83.5288057629,419.460418701
35.6967576766,-83.5287981628,419.68927002
35.6966912776,-83.5287917628,420.000457764
35.6965970776,-83.5287791628,420.10446167
35.6965022785,-83.5287747628,420.437652588
35.6964112765,-83.5287912628,420.785614014
35.6963212775,-83.5288132628,420.807403564
35.6962391775,-83.5288241628,421.015106201
35.6961582775,-83.5288412628,420.986419678
35.6960728774,-83.5288824628,421.322021484
35.6959940774,-83.5289355628,421.552398682
35.6959368774,-83.5289811629,421.706848145
35.6958838784,-83.5290314629,421.834350586
35.6958296774,-83.5290935629,421.873199463
35.6957820774,-83.5291608629,422.082489014
35.6957413784,-83.5292354629,422.122131348
35.6957066773,-83.5293131629,422.130859375
35.6956817773,-83.529377863,422.40802002
35.6956598783,-83.529443663,422.610656738
35.6956394763,-83.529509963,422.657012939
35.6956155773,-83.529605563,422.885650635
35.6955967773,-83.529702363,423.14730835
35.6955770783,-83.5297990631,422.926208496
35.6955502763,-83.5298938631,422.864105225
35.6955193773,-83.5299766631,422.774627686
35.6954837783,-83.5300575631,422.819763184
35.6954383783,-83.5301342632,422.65612793
35.6953876762,-83.5302076632,422.975463867
35.6953437782,-83.5302851632,423.286071777
35.6953129772,-83.5303761632,423.475646973
35.6952909772,-83.5304698633,423.21673584
35.6952756772,-83.5305314633,423.019378662
35.6952561772,-83.5305917633,423.294006348
35.6952280782,-83.5306572633,423.490936279
35.6951993762,-83.5307225633,424.201416016
35.6951740782,-83.5307917633,424.822967529
35.6951502772,-83.5308616634,425.433227539
35.6951228772,-83.5309300634,425.748504639
35.6950894762,-83.5309974634,426.009674072
35.6950522771,-83.5310628634,425.785461426
35.6950105771,-83.5311254634,425.669799805
35.6949616761,-83.5311861634,425.589752197
35.6949089771,-83.5312437635,425.564758301
35.6948529761,-83.5312995635,425.600830078
35.6947943771,-83.5313524635,425.7421875
35.6947343781,-83.5314039635,425.756317139
35.694660477,-83.5314617635,425.829528809
35.694587678,-83.5315208635,425.826568604
35.694520177,-83.5315897635,425.605072021
35.694457077,-83.5316628636,426.284393311
35.694393877,-83.5317357636,426.403076172
35.694342077,-83.5317935636,426.585571289
35.694290176,-83.5318512636,426.563568115
35.6942368769,-83.5319075636,426.714233398
35.6941764769,-83.5319654636,426.496429443
35.6941144769,-83.5320216636,426.612182617
35.6940530759,-83.5320785636,426.65725708
35.6939862759,-83.5321404637,426.39831543
35.6939201769,-83.5322031637,425.733215332
35.6938596778,-83.5322712637,425.746673584
35.6938174778,-83.5323376637,425.522064209
35.6937818768,-83.5324079637,426.772064209
35.6937455778,-83.5324778637,427.223236084
35.6937007768,-83.5325424638,427.684661865
35.6936515778,-83.5325920638,427.419921875
35.6935995758,-83.5326387638,427.348449707
35.6935463768,-83.5326889638,427.09854126
35.6934893768,-83.5327346638,426.865478516
35.6934187767,-83.5327703638,427.113830566
35.6933438777,-83.5327963638,427.578857422
35.6932726757,-83.5328152638,427.637237549
35.6932001767,-83.5328275638,427.912139893
35.6931267767,-83.5328337638,428.142028809
35.6930636757,-83.5328325638,428.20980835
35.6930006756,-83.5328297638,428.367126465
35.6929058766,-83.5328295638,428.488006592
35.6928112766,-83.5328347638,428.600372314
35.6927518766,-83.5328403638,428.667510986
35.6926936766,-83.5328531638,428.70993042
35.6926197756,-83.5328930638,428.873535156
35.6925564756,-83.5329482638,429.075775146
35.6925287765,-83.5329805638,429.228607178
35.6924718765,-83.5330283638,429.279052734
35.6924084755,-83.5330671638,429.363250732
35.6923458755,-83.5331073638,429.534759521
35.6922897765,-83.5331484639,429.669952393
35.6922358775,-83.5331922639,429.934051514
35.6921848765,-83.5332456639,430.042999268
35.6921344765,-83.5332995639,430.163024902
35.6920703754,-83.5333528639,430.400115967
35.6920060774,-83.5334059639,430.640014648
35.6919581754,-83.5334543639,430.829620361
35.6919125764,-83.5335050639,430.896606445
35.6918676774,-83.533556264,431.090759277
35.6918158764,-83.533614564,431.373748779
35.6917660774,-83.533674564,431.397277832
35.6917121763,-83.533748564,431.582946777
35.6916636763,-83.533826164,431.578094482
35.6916216753,-83.533905864,431.972808838
35.6915881763,-83.5339894641,431.89944458
35.6915712763,-83.5340659641,432.219421387
35.6915578763,-83.5341432641,432.297332764
35.6915411753,-83.5342163641,432.307067871
35.6915236763,-83.5342892641,432.195892334
35.6915080763,-83.5343626642,432.136505127
35.6914961763,-83.5344357642,432.205200195
35.6914860763,-83.5345091642,432.063079834
35.6914764763,-83.5345826642,432.081695557
35.6914658763,-83.5346651643,431.916168213
35.6914549763,-83.5347476643,431.954986572
35.6914413772,-83.5348414643,432.085845947
35.6914239762,-83.5349345643,432.136688232
35.6913985772,-83.5350163644,432.195281982
35.6913753762,-83.5350987644,432.215942383
35.6913693762,-83.5351592644,432.350219727
35.6913638762,-83.5352198644,432.557098389
35.6913772762,-83.5352831644,432.662414551
35.6913884762,-83.5353465644,432.603881836
