lat,lng,ele
35.6353445489,-83.9049629693,510.731140137
35.6353655509,-83.9050434693,511.464691162
35.6353816489,-83.9051250693,512.280334473
35.6353926499,-83.9052075693,513.293457031
35.6353983499,-83.9052884694,514.116210938
35.6353993499,-83.9053695694,515.170654297
35.6353958498,-83.9054505694,516.080200195
35.6353880488,-83.9055241694,516.715576172
35.6353764508,-83.9055972695,517.208618164
35.6353634488,-83.9056701695,517.658813477
35.6353474488,-83.9057499695,518.014648438
35.6353290498,-83.9058291695,518.277893066
35.6353101498,-83.9059082695,518.57232666
35.6352926498,-83.9059877696,518.996459961
35.6352759498,-83.9060603696,519.524658203
35.6352598488,-83.9061331696,519.966247559
35.6352512488,-83.9062070696,520.520629883
35.6352557488,-83.9062932697,521.254821777
35.6352704488,-83.9063783697,521.945129395
35.6352901508,-83.9064624697,522.570068359
35.6353090508,-83.9065306697,523.154968262
35.6353314488,-83.9065977698,523.689941406
35.6353574498,-83.9066635698,524.223510742
35.6354003498,-83.9067534698,524.965637207
35.6354317508,-83.9068278698,525.54119873
35.6354689498,-83.9068994698,526.015136719
35.6355178498,-83.9069549699,526.214477539
35.6355745498,-83.9070026699,526.27154541
35.6356328488,-83.9070369699,526.459411621
35.6356900488,-83.9070730699,526.55682373
35.6357324509,-83.9071160699,526.699157715
35.6357689489,-83.9071642699,526.938476562
35.6357999489,-83.90722537,527.132446289
35.6358230499,-83.90728987,527.408996582
35.6358454499,-83.90735477,527.939208984
35.6358673509,-83.90741837,528.575378418
35.6358883499,-83.90748227,529.493896484
35.6359129499,-83.9075448701,530.369140625
35.6359450489,-83.9076063701,531.512451172
35.6359810499,-83.9076657701,532.509765625
35.6360167499,-83.9077252701,533.422424316
35.6360594489,-83.9078043701,534.553833008
35.6361007499,-83.9078842702,536.153869629
35.6361431509,-83.9079635702,537.203674316
35.6361893499,-83.9080406702,537.898498535
35.6362288489,-83.9081041702,538.689453125
35.6362702499,-83.9081665703,540.036376953
35.6363202489,-83.9082220703,541.58807373
35.6363772499,-83.9082583703,542.840759277
35.636435649,-83.9082924703,543.945861816
35.63650635,-83.9083502703,544.473510742
35.636553549,-83.9084155704,544.914123535
35.63659325,-83.9084858704,545.659118652
35.63662915,-83.9085525704,545.961975098
35.636662451,-83.9086206704,545.84576416
35.63669645,-83.9086883704,545.424682617
35.63672745,-83.9087442705,544.954711914
35.63675685,-83.9088009705,544.659423828
35.63678435,-83.9088746705,544.527282715
35.63680675,-83.9089501705,544.668273926
35.636832549,-83.9090244705,544.466491699
35.636860649,-83.9090898706,543.884216309
35.63689145,-83.9091539706,543.867858887
35.636927051,-83.9092155706,543.903198242
35.636983951,-83.9092909706,543.847290039
35.637049249,-83.9093591707,543.851196289
35.63712035,-83.9094213707,543.049804688
35.6371999511,-83.9094743707,541.800964355
35.6372800501,-83.9095264707,541.993225098
35.6373489491,-83.9095900707,542.437927246
35.6374134511,-83.9096582708,542.584350586
35.6374826501,-83.9097215708,543.094665527
35.6375574501,-83.9097651708,543.672668457
35.6376376501,-83.9097982708,544.039245605
35.6377163502,-83.9098345708,545.33380127
35.6377850502,-83.9098870709,546.358032227
35.6378372512,-83.9099607709,547.429748535
35.6378896512,-83.9100343709,549.128234863
35.6379552492,-83.9100938709,550.781860352
35.6380293492,-83.9101423709,553.005310059
35.6381115502,-83.910174971,555.109558105
35.6381922512,-83.910185171,556.820861816
35.6382736503,-83.910180871,558.34564209
35.6383389513,-83.910167371,559.135192871
35.6384023493,-83.910146171,559.68359375
35.6384643493,-83.910121471,560.052062988
35.6385282493,-83.910096371,560.439819336
35.6385905493,-83.910067771,561.065063477
35.6386468503,-83.910028771,561.488708496
35.6386917503,-83.9099746709,561.646606445
35.6387288514,-83.9099148709,561.753662109
35.6387682494,-83.9098564709,561.829711914
35.6388167514,-83.9097953709,562.052734375
35.6388701514,-83.9097387709,561.829589844
35.6389472504,-83.9097000709,561.3828125
35.6390326504,-83.9096839709,561.507324219
35.6391176504,-83.9096659709,561.156921387
35.6391885505,-83.9096178709,560.632202148
35.6392249495,-83.9095371708,560.781494141
35.6392471505,-83.9094510708,560.07598877
35.6392758505,-83.9093670708,559.259521484
35.6393197515,-83.9092933708,558.908752441
35.6393696515,-83.9092234708,558.956665039
35.6394162515,-83.9091513707,558.713439941
35.6394576505,-83.9090770707,558.084777832
35.6394920516,-83.9089994707,557.619873047
35.6395068506,-83.9089206707,557.067077637
35.6395087496,-83.9088403707,556.287475586
35.6395090496,-83.9087600706,555.807556152
35.6395177506,-83.9086802706,555.940856934
35.6395328506,-83.9086078706,556.083740234
35.6395572516,-83.9085381706,556.34375
35.6396108506,-83.9084733706,556.782470703
35.6396772506,-83.9084210705,557.804382324
35.6397458496,-83.9083708705,559.323242188
35.6398234516,-83.9083380705,560.873718262
35.6399101507,-83.9083558705,562.362365723
35.6399934517,-83.9083883706,563.586730957
35.6400823497,-83.9084116706,564.70703125
35.6401727517,-83.9084279706,565.147521973
35.6402644517,-83.9084275706,565.971801758
35.6403551508,-83.9084137706,566.781188965
35.6404447498,-83.9083939706,567.75793457
35.6405345498,-83.9083748706,568.928222656
35.6406100508,-83.9083593706,569.66204834
35.6406853518,-83.9083426706,570.089172363
35.6407610518,-83.9083278706,570.88067627
35.6408579519,-83.9083152706,571.914489746
35.6409552509,-83.9083072706,572.984741211
35.6410526499,-83.9082992706,574.963867188
35.6411495509,-83.9082867706,576.67376709
35.6412219519,-83.9082724706,578.262451172
35.641294452,-83.9082588706,579.156066895
35.64137985,-83.9082450706,580.406799316
35.641466052,-83.9082430706,581.314331055
35.641558452,-83.9082713706,582.579284668
35.641644551,-83.9083157706,584.381774902
35.641709451,-83.9083639706,585.382507324
35.641767351,-83.9084207707,586.44342041
35.6418256501,-83.9084770707,587.303649902
35.6418918501,-83.9085234707,588.196044922
35.6419583511,-83.9085506707,588.958740234
35.6420275511,-83.9085701707,589.506591797
35.6420976501,-83.9085861707,590.405334473
35.6421956511,-83.9086027707,591.80670166
35.6422947521,-83.9086108708,592.761962891
35.6423942502,-83.9086123708,593.921325684
35.6424936512,-83.9086094708,595.960021973
35.6425929522,-83.9086040708,597.975280762
35.6426893512,-83.9085915708,600.133728027
35.6427852513,-83.9085754708,601.830322266
35.6428822503,-83.9085704708,603.210083008
35.6429546513,-83.9085802708,604.41015625
35.6430260503,-83.9085961708,605.304382324
35.6430975523,-83.9086113708,605.995727539
35.6431882513,-83.9086210708,606.63293457
35.6432771524,-83.9086399708,607.151184082
35.6433229504,-83.9086612708,607.405456543
35.6433661514,-83.9086873708,607.61151123
35.6434370504,-83.9087377709,608.428405762
35.6435078514,-83.9087881709,610.170166016
35.6435787514,-83.9088385709,611.747070312
35.6436280524,-83.9088513709,612.20489502
35.6436772524,-83.9088642709,613.026916504
35.6437261524,-83.9088935709,613.830932617
35.6437749514,-83.9089229709,614.885620117
35.6438653515,-83.9089152709,616.039611816
35.6439376515,-83.9089067709,616.67578125
35.6440099525,-83.9088983709,617.195617676
35.6440639525,-83.9089003709,617.881408691
35.6441179525,-83.908902371,618.42767334
35.6441808515,-83.908910171,619.473144531
35.6442437515,-83.908917971,620.419616699
35.6443144516,-83.908975671,621.39074707
35.6443355516,-83.909037171,622.610595703
35.6443565516,-83.909098671,623.641662598
35.6444137516,-83.909155971,624.579956055
35.6444709516,-83.9092132711,625.60736084
35.6445146506,-83.9092700711,626.589111328
35.6445583526,-83.9093268711,627.600036621
35.6446025506,-83.9093615711,628.167541504
35.6446467516,-83.9093962711,628.613037109
35.6447175506,-83.9094540711,629.327697754
35.6447668516,-83.9094668712,629.50402832
35.6448160506,-83.9094797712,629.495605469
35.6448787516,-83.9094930712,629.487609863
35.6449231517,-83.9095222712,629.644104004
35.6449675517,-83.9095514712,630.04284668
35.6450490517,-83.9095323712,629.038757324
35.6451211527,-83.9095349712,628.079772949
35.6451866527,-83.9095594712,627.365112305
35.6452521527,-83.9095838712,626.815612793
35.6453176527,-83.9096083712,626.557678223
35.6453710527,-83.9096378712,626.594970703
35.6454243518,-83.9096674713,626.747314453
35.6455231528,-83.9096820713,626.908081055
35.6456219528,-83.9096966713,627.385192871
