lat,lng,ele
35.4604866278,-83.5474281543,653.214050293
35.4604430288,-83.5474891543,651.422485352
35.4603997278,-83.5475501543,649.395812988
35.4603564288,-83.5476113543,647.601501465
35.4603153278,-83.5476682543,646.233093262
35.4602743267,-83.5477251544,645.002746582
35.4602356287,-83.5477837544,644.18560791
35.4602081287,-83.5478445544,643.445922852
35.4601835287,-83.5479065544,643.129455566
35.4601418277,-83.5479571544,642.286499023
35.4600515287,-83.5479652544,640.205444336
35.4599690277,-83.5479738544,637.449035645
35.4598886267,-83.5479931544,634.68560791
35.4598305276,-83.5480323544,632.53125
35.4597699276,-83.5480665544,630.324890137
35.4596888286,-83.5480639544,628.522094727
35.4596232276,-83.5481217544,626.283935547
35.4595690266,-83.5481924544,624.020141602
35.4595137266,-83.5482457545,621.934020996
35.4594765276,-83.5483028545,620.040283203
35.4594481276,-83.5483648545,618.018615723
35.4594315285,-83.5484298545,615.95916748
35.4594220265,-83.5484963545,614.022216797
35.4594079285,-83.5485619545,612.100830078
35.4593836285,-83.5486098546,610.916137695
35.4593698275,-83.5486598546,610.182861328
35.4594234275,-83.5486835546,609.449157715
35.4594777275,-83.5486743546,608.426818848
35.4595319286,-83.5486649546,607.823242188
35.4596121286,-83.5487115546,607.211303711
35.4596579276,-83.5487829546,606.564941406
35.4596991266,-83.5488575547,604.68572998
35.4597384266,-83.5488978547,604.128112793
35.4597786286,-83.5489371547,603.219360352
35.4598289276,-83.5490021547,601.432189941
35.4598740276,-83.5490708547,599.810180664
35.4599185276,-83.5491399547,597.596252441
35.4599709276,-83.5492186548,594.952880859
35.4600163276,-83.5492463548,594.451721191
35.4600598286,-83.5492765548,593.367858887
35.4600942276,-83.5493547548,590.824829102
35.4600400286,-83.5493640548,590.368225098
35.4599915266,-83.5493129548,591.106506348
35.4599430276,-83.5492618548,592.567993164
35.4598887276,-83.5492711548,591.970581055
35.4598697286,-83.5493146548,590.951049805
35.4598600276,-83.5493473548,590.513183594
35.4598659266,-83.5494083548,589.663574219
35.4598755266,-83.5494690548,589.029418945
35.4598550286,-83.5495343549,589.001403809
35.4598367276,-83.5496000549,590.363220215
35.4598528266,-83.5496705549,590.626464844
35.4598879286,-83.5497339549,590.243469238
35.4599305266,-83.5497705549,589.05078125
35.4599766276,-83.5498028549,587.823364258
35.4600232276,-83.549845955,586.836791992
35.4600648276,-83.549893755,586.191650391
35.4600990276,-83.549947755,585.249023438
35.4601255276,-83.550005855,584.481445312
35.4601402276,-83.550055255,583.945007324
35.4601505276,-83.550105855,583.48034668
35.4601583266,-83.5501611551,583.389892578
35.4601514276,-83.5502274551,583.486999512
35.4601375286,-83.5502927551,583.611999512
35.4601248266,-83.5503732551,582.587585449
35.4601117266,-83.5504536551,581.276000977
35.4600964276,-83.5505337552,580.805053711
35.4600819286,-83.5505998552,580.332336426
35.4600658276,-83.5506655552,579.758178711
35.4600471266,-83.5507305552,579.293823242
35.4600168276,-83.5508188552,578.551879883
35.4599804276,-83.5509047553,578.734741211
35.4599441286,-83.5509703553,579.176086426
35.4599054275,-83.5510345553,579.357177734
35.4598695275,-83.5511003553,578.389160156
35.4598305275,-83.5511643553,577.732910156
35.4597730275,-83.5512308554,577.093505859
35.4597107275,-83.5512928554,576.404174805
35.4596488275,-83.5513568554,575.46105957
35.4595862285,-83.5514200554,574.80255127
35.4595215274,-83.5514810554,574.18359375
35.4594531274,-83.5515380554,573.847412109
35.4593755274,-83.5515909554,572.916748047
35.4592976284,-83.5516433554,572.075439453
35.4592402264,-83.5516939555,571.534423828
35.4591784284,-83.5517387555,570.833129883
35.4590936273,-83.5517545555,570.64831543
35.4590068283,-83.5517553555,570.741333008
35.4589076273,-83.5517586555,571.175415039
35.4588084263,-83.5517600554,572.178527832
35.4587393283,-83.5517613554,572.146240234
35.4586701273,-83.5517626554,571.761901855
35.4586010262,-83.5517645554,571.24230957
35.4585282272,-83.5517615554,569.403381348
35.4584566272,-83.5517709554,569.28515625
35.4583948282,-83.5518214554,570.100524902
35.4583372272,-83.5518773555,570.09979248
35.4582715262,-83.5519188555,569.868347168
35.4582005282,-83.5519501555,569.491455078
35.4581286281,-83.5519617555,569.291564941
35.4580559271,-83.5519676555,568.973632812
35.4579741271,-83.5519797555,568.406005859
35.4578930271,-83.5519955555,568.215393066
35.4578205281,-83.5520152555,567.327941895
35.4577440271,-83.5520272555,567.221496582
35.457666828,-83.5520324555,567.825012207
35.457590027,-83.5520235555,567.056762695
35.457513728,-83.5520276555,566.417785645
35.457440528,-83.5520803555,566.001220703
35.457367527,-83.5521271555,566.013000488
35.457285727,-83.5521526555,565.238525391
35.4572229279,-83.5521396555,564.989318848
35.4571510279,-83.5521162555,564.84161377
35.4570797279,-83.5520910554,564.430725098
35.4570077269,-83.5520730554,564.115966797
35.4569362279,-83.5520534554,564.158874512
35.4568697269,-83.5520226554,563.828125
35.4568023279,-83.5519941554,563.691894531
35.4567260258,-83.5519850554,563.814575195
35.4566494268,-83.5519782554,563.584533691
35.4565597268,-83.5519486554,563.798400879
35.4564704268,-83.5519175554,564.370117188
35.4563888278,-83.5519076554,564.385437012
35.4563087268,-83.5518903553,563.941589355
35.4562638278,-83.5518622553,563.622253418
35.4562198257,-83.5518325553,563.357788086
35.4561460257,-83.5517968553,563.40020752
35.4560678267,-83.5517725553,563.574707031
35.4559959267,-83.5517682553,562.750366211
35.4559237267,-83.5517679553,562.550537109
35.4558653277,-83.5517602553,562.594299316
35.4558069257,-83.5517532553,563.07421875
35.4557257256,-83.5517558553,562.692321777
35.4556445276,-83.5517591553,562.24005127
35.4555726276,-83.5517507553,561.62677002
35.4555006266,-83.5517435552,562.13885498
35.4554191266,-83.5517493552,561.052978516
35.4553380276,-83.5517604552,560.770996094
35.4552749265,-83.5517706552,560.884887695
35.4552114265,-83.5517784552,560.802001953
35.4551524255,-83.5517832552,560.529602051
35.4550943265,-83.5517747552,559.98840332
35.4550322255,-83.5517287552,560.71875
35.4549746275,-83.5516786552,561.145385742
35.4549211265,-83.5516240552,561.214294434
35.4548764265,-83.5515622552,561.637939453
35.4548479265,-83.5514916551,562.746704102
35.4548476265,-83.5514086551,564.125976562
35.4548424255,-83.5513261551,564.544494629
35.4547900255,-83.5512474551,563.990905762
35.4547131265,-83.551205055,564.175048828
35.4546292274,-83.551176255,564.859558105
35.4545747264,-83.551148855,564.805053711
35.4545223264,-83.551117755,563.954040527
35.4544514264,-83.551060455,562.956970215
35.4543932264,-83.551052055,561.13494873
35.4543345274,-83.551045755,559.944824219
35.4542757274,-83.551001555,560.239440918
35.4542193264,-83.5509539549,560.184997559
35.4541623254,-83.5509275549,560.512512207
35.4541031273,-83.5509062549,560.551940918
35.4540243253,-83.5508751549,560.994873047
35.4539419263,-83.5508570549,560.878723145
35.4538874273,-83.5508648549,560.691467285
35.4538334273,-83.5508756549,559.832824707
35.4537613263,-83.5508762549,559.135925293
35.4536893273,-83.5508703549,559.365661621
35.4536171252,-83.5508688549,558.855224609
35.4535449252,-83.5508790549,558.110473633
35.4534725262,-83.5508863549,557.63104248
35.4533957262,-83.5508755549,556.729370117
35.4533198272,-83.5508594549,555.379638672
35.4532250252,-83.5508483549,555.493835449
35.4531311261,-83.5508314548,553.923706055
35.4530578271,-83.5508059548,553.402832031
35.4529882251,-83.5507718548,552.495910645
35.4529196261,-83.5507228548,552.961853027
35.4528551261,-83.5506685548,552.2890625
35.4527809261,-83.5506094548,551.398742676
35.4527136271,-83.5505428547,551.184082031
35.4526710261,-83.5504800547,551.528320312
35.4526365261,-83.5504123547,551.349914551
35.4526097271,-83.5503413547,550.715393066
35.452544025,-83.5503132547,549.882751465
35.452475527,-83.5502930546,548.359069824
35.452421827,-83.5502840546,548.477355957
35.452367626,-83.5502785546,548.642822266
35.452273227,-83.5502711546,548.016235352
35.452178526,-83.5502726546,548.711608887
35.4520926259,-83.5502906546,548.647338867
35.4520092269,-83.5503181546,547.321960449
35.4519246249,-83.5503417546,546.9765625
35.4518296269,-83.5503545546,546.434814453
35.4517348249,-83.5503687546,546.470581055
35.4516667249,-83.5503885546,546.227111816
35.4515987258,-83.5504085546,545.545166016
35.4515496258,-83.5504218546,545.522521973
35.4514992268,-83.5504274546,545.541137695
35.4514424248,-83.5504111546,544.495178223
35.4513920258,-83.5503799546,544.372314453
35.4513567248,-83.5503458546,544.626220703
35.4513306258,-83.5503009546,544.940307617
35.4512781248,-83.5502221546,544.64453125
35.4512355268,-83.5501449545,543.907409668
35.4511970258,-83.5500655545,543.751953125
35.4511569268,-83.5499870545,543.704589844
35.4511171258,-83.5499200545,542.687133789
35.4510786268,-83.5498523544,542.146179199
35.4510482257,-83.5497824544,540.624023438
35.4510215247,-83.5497110544,540.03326416
35.4509930247,-83.5496403544,540.193969727
35.4509632257,-83.5495759543,538.603820801
35.4509318257,-83.5495122543,537.541870117
35.4508979257,-83.5494499543,536.35345459
35.4508589257,-83.5493879543,535.106384277
35.4508194267,-83.5493262543,534.497497559
35.4507781257,-83.5492609542,534.128723145
35.4507383247,-83.5491947542,533.76348877
35.4507064247,-83.5491244542,533.58026123
35.4506853247,-83.5490589542,532.965759277
35.4506732257,-83.5489912542,532.184692383
35.4506786247,-83.5489138541,531.303466797
35.4506945267,-83.5488376541,530.280822754
35.4507082267,-83.5487702541,528.70300293
35.4507333257,-83.5487066541,527.000183105
35.4507768257,-83.5486721541,526.454772949
35.4508248257,-83.5486434541,526.43939209
35.4508890258,-83.5485891541,525.973022461
35.4509444268,-83.548526054,525.325866699
35.4509818268,-83.548475854,525.191467285
35.4510008258,-83.548417754,524.417785645
35.4509837268,-83.548373154,524.096191406
35.4509664268,-83.548339554,525.362854004
35.4508934258,-83.548381254,524.487915039
35.4508132258,-83.548398554,524.175109863
35.4507308257,-83.548398154,524.469726562
35.4506444247,-83.548384454,523.608276367
35.4505603247,-83.548359754,523.192993164
35.4504877267,-83.548332754,523.306091309
35.4504174267,-83.5483001539,523.062805176
35.4503857257,-83.5482419539,524.531005859
35.4503476257,-83.5481877539,524.989318848
35.4502723267,-83.5481249539,525.703369141
35.4501971256,-83.5480618539,525.941345215
35.4501550266,-83.5479963538,527.646240234
35.4501188256,-83.5479272538,528.75012207
35.4500814256,-83.5478558538,529.223937988
35.4500497256,-83.5477818538,530.062255859
35.4500329266,-83.5477055537,530.926269531
35.4500266246,-83.5476276537,531.957458496
35.4500221266,-83.5475495537,533.901123047
35.4500112266,-83.5474721537,535.596069336
35.4499907256,-83.5473818536,537.369995117
35.4499609256,-83.5472943536,538.786132812
35.4499106246,-83.5472279536,539.753967285
35.4498495266,-83.5471706536,539.669799805
35.4498027256,-83.5471020536,539.847839355
35.4497947256,-83.5470252535,540.936035156
35.4498046256,-83.5469481535,542.005310059
35.4498147246,-83.5468710535,543.540771484
35.4498092266,-83.5467938535,544.58026123
35.4497820256,-83.5467329534,544.423400879
35.4497577256,-83.5466710534,545.183532715
35.4497660256,-83.5465924534,546.65447998
35.4497936266,-83.5465177534,547.611328125
35.4498166266,-83.5464415534,548.059020996
35.4498273256,-83.5463648533,547.108459473
35.4497926266,-83.5462976533,549.495910645
35.4497021256,-83.5463167533,550.060058594
35.4496297246,-83.5463062533,550.487792969
35.4495679256,-83.5462684533,551.190124512
35.4495398266,-83.5462041533,552.23626709
35.4495257256,-83.5461349533,553.478271484
35.4495252246,-83.5460465532,555.108703613
35.4495204246,-83.5459585532,556.497436523
35.4494860256,-83.5458938532,556.865600586
35.4494418246,-83.5458349532,557.633666992
35.4493886256,-83.5457746531,558.726501465
