lat,lng,ele
35.6211993616,-83.5374284609,
35.6211174606,-83.5374663609,
35.6210354615,-83.5375042609,
35.6209535615,-83.5375421609,
35.6208896615,-83.5375806609,
35.6208257615,-83.5376190609,
35.6207618615,-83.5376575609,
35.6207038605,-83.5376998609,
35.6206459625,-83.5377421609,
35.6205879614,-83.5377844609,
35.6205013614,-83.5378313609,
35.6204146604,-83.537878361,
35.6203506624,-83.537920461,
35.6202866614,-83.537962661,
35.6202227614,-83.538004761,
35.6201587613,-83.538046961,
35.6200857623,-83.538088761,
35.6200126603,-83.538130661,
35.6199396623,-83.538172461,
35.6198530623,-83.538219361,
35.6197664623,-83.538266361,
35.6197085612,-83.538304961,
35.6196506612,-83.538343661,
35.6195927612,-83.5383822611,
35.6195259612,-83.5384132611,
35.6194592612,-83.5384442611,
35.6193924612,-83.5384752611,
35.6193284612,-83.5385173611,
35.6192645611,-83.5385595611,
35.6192005601,-83.5386016611,
35.6191323611,-83.5386325611,
35.6190640621,-83.5386635611,
35.6189863621,-83.5387162611,
35.6189085611,-83.5387690611,
35.61884006,-83.5388110611,
35.618771561,-83.5388530611,
35.618680562,-83.5388943611,
35.61858956,-83.5389356612,
35.618531761,-83.5389706612,
35.618473961,-83.5390055612,
35.6184161609,-83.5390405612,
35.6183490609,-83.5390862612,
35.6182820599,-83.5391319612,
35.6182149599,-83.5391776612,
35.6181571599,-83.5392126612,
35.6180992599,-83.5392475612,
35.6180414599,-83.5392825612,
35.6179773608,-83.5393301612,
35.6179132598,-83.5393778612,
35.6178399608,-83.5394307613,
35.6177667608,-83.5394836613,
35.6176980608,-83.5395366613,
35.6176293608,-83.5395896613,
35.6175739607,-83.5396541613,
35.6175184607,-83.5397186613,
35.6174723607,-83.5397686613,
35.6174262597,-83.5398187613,
35.6173801617,-83.5398687614,
35.6173381607,-83.5399391614,
35.6172960607,-83.5400096614,
35.6172447597,-83.5400907614,
35.6171934606,-83.5401719614,
35.6171335606,-83.5402307614,
35.6170736616,-83.5402895615,
35.6170303606,-83.5403507615,
35.6169869606,-83.5404119615,
35.6169436596,-83.5404731615,
35.6169002606,-83.5405343615,
35.6168569606,-83.5405954615,
35.6168135615,-83.5406566616,
35.6167581605,-83.5407211616,
35.6167026615,-83.5407856616,
35.6166607615,-83.5408505616,
35.6166188605,-83.5409154616,
35.6165632605,-83.5409854616,
35.6165076605,-83.5410554617,
35.6164552615,-83.5411200617,
35.6164027604,-83.5411845617,
35.6163503604,-83.5412491617,
35.6162889604,-83.5413097617,
35.6162276604,-83.5413703617,
35.6161662604,-83.5414309617,
35.6161110604,-83.5414843618,
35.6160558594,-83.5415378618,
35.6159827603,-83.5415851618,
35.6159096603,-83.5416325618,
35.6158592613,-83.5416695618,
35.6158089603,-83.5417066618,
35.6157542603,-83.5417380618,
35.6156994613,-83.5417694618,
35.6156314593,-83.5417893618,
35.6155633612,-83.5418092618,
35.6154727602,-83.5418339618,
35.6153820602,-83.5418587618,
35.6152878612,-83.5418391618,
35.6151935612,-83.5418196618,
35.6151278602,-83.5417991618,
35.6150622611,-83.5417787618,
35.6149965601,-83.5417582618,
35.6149164601,-83.5417115617,
35.6148363591,-83.5416648617,
35.6147560611,-83.5416236617,
35.6146758611,-83.5415824617,
35.6145952601,-83.5415578617,
35.61451466,-83.5415332617,
35.614451259,-83.5415477617,
35.61438786,-83.5415623617,
35.61432126,-83.5415859617,
35.614254661,-83.5416096617,
35.61418806,-83.5416332617,
35.61412446,-83.5416569617,
35.6140608599,-83.5416807617,
35.6139972599,-83.5417044617,
35.6139198599,-83.5417406617,
35.6138424589,-83.5417768617,
35.6137923599,-83.5418028617,
35.6137422599,-83.5418288617,
35.6136839589,-83.5418822617,
35.6136257588,-83.5419355617,
35.6135674598,-83.5419889618,
35.6135028598,-83.5420641618,
35.6134381588,-83.5421393618,
35.6133921588,-83.5421820618,
35.6133461588,-83.5422247618,
35.6133271598,-83.5422737618,
35.6133080608,-83.5423228618,
35.6132795597,-83.5423936619,
35.6132509597,-83.5424645619,
35.6132627587,-83.5425476619,
35.6132745587,-83.5426308619,
35.6132910597,-83.5427012619,
35.6133076597,-83.542771762,
35.6133241597,-83.542842162,
35.6133556607,-83.542916762,
35.6133870587,-83.542991362,
35.6134185597,-83.5430659621,
35.6134617608,-83.5431555621,
35.6135048598,-83.5432452621,
35.6135399598,-83.5432905621,
35.6135750598,-83.5433358621,
35.6135885598,-83.5434098622,
35.6136019598,-83.5434838622,
35.6136154608,-83.5435578622,
35.6136956598,-83.5436045622,
35.6137191598,-83.5436869623,
35.6137426608,-83.5437693623,
35.6137660588,-83.5438518623,
35.6137895598,-83.5439342623,
35.6138130588,-83.5440166624,
35.6138054598,-83.5440936624,
35.6137977598,-83.5441707624,
35.6137901598,-83.5442477624,
35.6137614598,-83.5443241624,
35.6137328588,-83.5444004625,
35.6137131598,-83.5444826625,
35.6136933597,-83.5445648625,
35.6136589607,-83.5446263625,
35.6136246597,-83.5446877625,
35.6135902607,-83.5447492626,
