lat,lng,ele
35.7041607817,-83.4377566366,757.823852539
35.7041503827,-83.4378226366,758.20904541
35.7041179817,-83.4378658366,758.737243652
35.7040855827,-83.4379090366,759.220031738
35.7040442827,-83.4379464366,759.932861328
35.7040029827,-83.4379839366,760.665344238
35.7039525827,-83.4380210367,761.494812012
35.7039022817,-83.4380582367,762.130249023
35.7038407827,-83.4381263367,762.647033691
35.7037793826,-83.4381944367,763.000244141
35.7037178816,-83.4382625367,763.545349121
35.7036718816,-83.4383108367,764.240356445
35.7036257836,-83.4383592367,765.183349609
35.7035793826,-83.4384241368,765.831604004
35.7035960816,-83.4384909368,766.974365234
35.7036582826,-83.4385343368,767.785217285
35.7037204826,-83.4385776368,768.777893066
35.7037826836,-83.4386209368,769.563598633
35.7038448826,-83.4386643368,769.993225098
35.7038710826,-83.4387093369,770.485229492
35.7038430836,-83.4387527369,771.158691406
35.7037929816,-83.4387788369,771.95123291
35.7037428826,-83.4388049369,773.16204834
35.7036936826,-83.4387868369,773.854309082
35.7036444826,-83.4387687369,774.527770996
35.7035631816,-83.4387773369,775.738220215
35.7034784816,-83.4388079369,777.319152832
35.7033936825,-83.4388384369,778.635437012
35.7033089825,-83.4388690369,780.152832031
35.7032596825,-83.4388564369,780.851135254
35.7032102835,-83.4388439369,781.433288574
35.7031225825,-83.4388744369,783.003417969
35.7030347825,-83.4389048369,784.460388184
35.7029470824,-83.4389353369,785.839294434
35.7028773814,-83.4389627369,786.844238281
35.7028077824,-83.4389900369,787.826782227
35.7027380824,-83.4390174369,788.626342773
35.7026563824,-83.4390426369,789.743652344
35.7025747824,-83.4390677369,790.947570801
35.7025109823,-83.4391026369,792.040283203
35.7024471813,-83.4391374369,792.847473145
35.7023833823,-83.4391723369,793.435668945
35.7023506813,-83.4392321369,793.342285156
35.7023178823,-83.4392919369,793.263183594
35.7022628823,-83.4393344369,793.302429199
35.7022079823,-83.4393770369,792.721740723
35.7021529823,-83.439419537,792.615478516
35.7021197822,-83.439501337,792.689331055
35.7020865822,-83.439583237,792.973937988
35.7020804822,-83.439660437,792.751098633
35.7020743822,-83.439737637,792.985900879
35.7020876812,-83.4398227371,792.539489746
35.7021009822,-83.4399078371,792.045959473
35.7021142822,-83.4399929371,791.452636719
35.7020991812,-83.4400698371,792.006286621
35.7020840832,-83.4401467372,792.078796387
35.7020508832,-83.4402286372,792.453796387
35.7020176812,-83.4403105372,792.900695801
35.7019833822,-83.4403721372,793.977966309
35.7019490822,-83.4404336372,794.477172852
35.7019147812,-83.4404952373,794.811767578
35.7018777822,-83.4405438373,796.203552246
35.7018406811,-83.4405924373,797.422729492
35.7018259811,-83.4406527373,798.514709473
35.7018112811,-83.4407130373,799.725646973
35.7017644831,-83.4408000373,801.541564941
35.7017175811,-83.4408870374,803.253417969
35.7017278821,-83.4409720374,804.638671875
35.7017381821,-83.4410571374,806.787536621
35.7017484821,-83.4411421374,808.560668945
35.7018290831,-83.4411667375,810.90435791
35.7019064811,-83.4411303374,812.515441895
35.7019837832,-83.4410940374,813.827026367
35.7020826822,-83.4411081374,815.209228516
35.7021535822,-83.4411655375,817.249023438
35.7021884822,-83.4412218375,818.499450684
35.7022233822,-83.4412782375,819.086486816
35.7022489832,-83.4413508375,820.16217041
35.7022745832,-83.4414234376,821.265869141
35.7022951822,-83.4415179376,823.245178223
35.7023157832,-83.4416125376,825.363647461
35.7023464832,-83.4416521376,825.643554688
35.7023772822,-83.4416917376,826.16229248
35.7023895832,-83.4417528377,827.577697754
35.7024018822,-83.4418140377,829.347961426
35.7024363812,-83.4418924377,830.847839355
35.7024707832,-83.4419708377,832.189331055
35.7024959822,-83.4420600378,833.726013184
35.7024675832,-83.4421255378,835.27935791
35.7023944812,-83.4421785378,837.196838379
35.7023034822,-83.4422199378,838.735046387
35.7022124822,-83.4422613378,840.58972168
35.7021189811,-83.4422806378,842.476074219
35.7020253811,-83.4422998378,843.949523926
35.7019318821,-83.4423191378,845.512573242
35.7018817831,-83.4423452378,846.67388916
35.7018316811,-83.4423713378,847.644714355
35.7017948831,-83.4424088378,848.275268555
35.7017580821,-83.4424464378,848.65222168
35.7017435821,-83.4424957378,849.270996094
35.701728982,-83.4425449378,850.001037598
35.701741082,-83.4426171379,851.176635742
35.701753081,-83.4426893379,852.626098633
35.7017874821,-83.4427732379,854.232849121
35.7018217811,-83.4428572379,856.062866211
35.7018706811,-83.442891838,856.479675293
35.7019195811,-83.442926538,856.82611084
35.7019359821,-83.443004338,859.309204102
35.7019940811,-83.443028238,859.85144043
35.7020521811,-83.443052138,860.684326172
35.7020967821,-83.443075538,861.380004883
35.7021413811,-83.443099038,862.148071289
35.7022038821,-83.443126738,862.847290039
35.7022664821,-83.4431544381,863.748352051
35.7023289811,-83.4431821381,865.055969238
35.7023726832,-83.4432497381,866.382202148
35.7023740822,-83.4433308381,867.30657959
35.7023753821,-83.4434119381,868.370300293
35.7023767821,-83.4434930382,869.587219238
35.7023571821,-83.4435697382,871.262695312
35.7023738821,-83.4436366382,871.127624512
35.7023904821,-83.4437034382,871.134155273
35.7023616821,-83.4437910383,874.297302246
35.7023810811,-83.4438689383,875.166381836
35.7024005811,-83.4439469383,876.191467285
35.7024199831,-83.4440248383,877.524169922
35.7024727811,-83.4440928383,878.389709473
35.7024982831,-83.4441654384,880.304748535
35.7025238811,-83.4442380384,882.128295898
35.7025683822,-83.4442670384,881.878967285
35.7026127812,-83.4442960384,883.990600586
35.7027026822,-83.4443097384,883.790771484
35.7027925832,-83.4443235384,884.225585938
35.7028550822,-83.4443531384,884.889221191
35.7029175832,-83.4443826385,885.057495117
35.7029882812,-83.4444510385,886.72088623
35.7030589822,-83.4445195385,887.182128906
35.7030841822,-83.4446087385,886.90032959
35.7030560822,-83.4446631386,886.417297363
35.7029738812,-83.4447158386,886.008117676
35.7028915822,-83.4447686386,886.036682129
35.7028226832,-83.4448328386,885.87713623
35.7027537822,-83.4448970386,886.18359375
35.7027027832,-83.4449672386,885.866699219
35.7026517811,-83.4450375386,885.730895996
35.7025921821,-83.4450854386,886.082397461
35.7025325821,-83.4451334387,885.947753906
35.7024779821,-83.4451594387,886.117126465
35.7024233821,-83.4451853387,886.506591797
35.7023767821,-83.4452612387,886.6796875
35.7023801821,-83.4453165387,886.192504883
35.7023835811,-83.4453719387,886.320251465
35.7024138831,-83.4454336387,885.566040039
35.7024441821,-83.4454953388,885.037231445
35.7024847821,-83.4455665388,884.608154297
35.7025253821,-83.4456378388,884.187561035
35.7025659821,-83.4457090388,883.188415527
35.7025739831,-83.4457590388,882.822631836
35.7025819831,-83.4458090389,882.378479004
35.7025629821,-83.4458581389,882.012451172
35.7025438821,-83.4459073389,881.42199707
35.7024886831,-83.4459645389,880.896850586
35.7024333831,-83.4460218389,879.88470459
35.702378181,-83.4460790389,878.933105469
35.702313981,-83.4461323389,877.785644531
35.702249782,-83.4461856389,876.518188477
35.702206682,-83.446239539,875.830871582
35.702163482,-83.446293539,874.995178223
35.702120382,-83.446347439,874.387023926
35.702069882,-83.446395639,873.742492676
35.702019281,-83.446443839,872.774047852
35.7019503819,-83.446508039,871.729492188
35.7018813819,-83.446572239,871.223876953
35.7018037819,-83.4466250391,869.954162598
35.7017260819,-83.4466779391,868.431152344
35.7016578809,-83.4467089391,867.418640137
35.7015895819,-83.4467400391,866.194335938
35.7015287818,-83.4467750391,864.898803711
35.7014679808,-83.4468100391,863.689697266
35.7014071818,-83.4468450391,862.898498535
35.7013393818,-83.4468539391,862.84387207
35.7012715818,-83.4468629391,862.41192627
35.7011817818,-83.4468491391,861.880432129
35.7010918807,-83.4468353391,861.407104492
35.7010100807,-83.4468660391,861.165100098
35.7009727817,-83.4469312391,860.309204102
35.7009353817,-83.4469963391,859.757202148
35.7009128807,-83.4470693391,858.762329102
35.7008902817,-83.4471423391,857.9921875
35.7008677827,-83.4472153392,857.759765625
35.7008593817,-83.4472979392,857.751220703
35.7008509817,-83.4473805392,858.126525879
35.7008424817,-83.4474631392,858.42010498
35.7008340817,-83.4475457393,858.063354492
35.7008278807,-83.4476284393,858.350036621
35.7008216817,-83.4477111393,859.59362793
35.7007838816,-83.4477984393,861.735168457
35.7007243806,-83.4478407393,862.249450684
35.7006648806,-83.4478831394,861.778625488
35.7005874826,-83.4479194394,861.951599121
35.7005101826,-83.4479558394,861.867675781
35.7004108816,-83.4479638394,863.403381348
35.7003114805,-83.4479718394,864.461853027
35.7002436805,-83.4479807394,864.267150879
35.7001758825,-83.4479897394,865.21875
