lat,lng,ele
35.6814110742,-83.5099587564,624.039306641
35.6815075742,-83.5100834564,626.475402832
35.6817032752,-83.5102110565,630.587158203
35.6819531753,-83.5103293565,636.554077148
35.6820242763,-83.5103758566,637.895629883
35.6821212753,-83.5104782566,639.307006836
35.6822607763,-83.5107036567,640.770385742
35.6824356753,-83.5109631568,641.947692871
35.6825860764,-83.5111004568,642.805480957
35.6827091744,-83.5112479569,645.301452637
35.6828326754,-83.5113733569,647.456604004
35.6829578754,-83.5114214569,647.092895508
35.6831107755,-83.5114373569,646.173278809
35.6832001755,-83.511473257,645.522216797
35.6833080745,-83.511487757,646.023925781
35.6833964755,-83.511567857,645.107421875
35.6834396765,-83.511657557,645.039489746
35.6834466765,-83.5117572571,645.04284668
35.6834355745,-83.5118562571,644.48046875
35.6834660755,-83.5121223572,641.604248047
35.6834729745,-83.5122220572,641.764892578
35.6834519755,-83.5123650572,641.859436035
35.6834117755,-83.5125626573,642.290588379
35.6833817755,-83.5127052573,642.526794434
35.6833699764,-83.5128374574,642.676147461
35.6833672754,-83.5129699574,642.611938477
35.6834011754,-83.5130704574,641.208984375
35.6834152754,-83.5132587575,638.600524902
35.6834667754,-83.5133818575,636.588134766
35.6835277755,-83.5134832576,635.965515137
35.6836069755,-83.5135741576,636.190612793
35.6837229755,-83.5136329576,636.74810791
35.6838832765,-83.5137263577,637.320800781
