lat,lng,ele
35.6870045763,-83.5114489572,606.278930664
35.6870592773,-83.5114642572,605.762878418
35.6871119773,-83.5114854572,605.154785156
35.6871830763,-83.5115269572,604.611450195
35.6872476763,-83.5115781572,604.120727539
35.6873070763,-83.5116352573,603.403686523
35.6873566763,-83.5117034573,603.807189941
35.6874002773,-83.5117758573,605.099487305
35.6874560763,-83.5118387573,605.65826416
35.6875468764,-83.5118663573,603.021972656
35.6876350764,-83.5118996573,601.504821777
35.6876702774,-83.5119502574,601.750915527
35.6877050764,-83.5120012574,601.928100586
35.6877658774,-83.5120388574,601.346557617
35.6878297774,-83.5120714574,599.973449707
35.6878800764,-83.5121172574,599.565368652
35.6879264764,-83.5121671574,599.815612793
35.6879801764,-83.5122087575,600.093994141
35.6880478764,-83.5122247575,598.987731934
35.6881179765,-83.5122261575,596.981750488
35.6881868765,-83.5122373575,595.42175293
35.6882706765,-83.5122777575,594.356445312
35.6883471775,-83.5123307575,593.009155273
35.6884078775,-83.5123844575,591.86932373
35.6884619755,-83.5124448576,590.05670166
35.6885029765,-83.5125057576,588.516906738
35.6885404765,-83.5125688576,587.175537109
35.6885785775,-83.5126480576,586.297485352
35.6886143775,-83.5127283576,585.64453125
35.6886709755,-83.5127939577,583.66619873
35.6887470756,-83.5128003577,581.215576172
35.6888241766,-83.5127987577,579.609375
35.6888888776,-83.5128209577,578.114318848
35.6889500766,-83.5128519577,576.496948242
35.6890116756,-83.5128819577,574.907775879
35.6890844776,-83.5129227577,572.867553711
35.6891636776,-83.5129419577,570.379333496
35.6892091757,-83.5129212577,569.098205566
35.6892712767,-83.5129674578,567.215759277
35.6892876777,-83.5130452578,566.813232422
35.6893339767,-83.5130931578,565.524963379
35.6893849767,-83.5131367578,563.769348145
35.6894097777,-83.5131933578,562.651733398
35.6894366757,-83.5132488579,561.834106445
35.6894796767,-83.5132798579,560.557495117
35.6895255757,-83.5133068579,559.173828125
35.6895780767,-83.5133641579,557.825927734
35.6896313767,-83.5134206579,557.134033203
35.6896845767,-83.5134504579,555.862976074
35.6897383757,-83.5134792579,554.581298828
35.6897988768,-83.513542358,553.46472168
35.6898508758,-83.513613058,551.923706055
35.6899145768,-83.513672658,550.187316895
35.6900039758,-83.513708658,549.389343262
35.6900813768,-83.513740558,548.21875
35.6901586758,-83.513772858,547.535827637
35.6902362758,-83.5138042581,546.758056641
35.6903232768,-83.5138350581,547.315673828
35.6904106769,-83.5138647581,547.280944824
35.6904956769,-83.5139008581,545.212158203
35.6905634779,-83.5139449581,543.83605957
35.6906250769,-83.5139975581,542.838012695
35.6906856769,-83.5140513582,542.241821289
35.6907504759,-83.5140999582,541.110473633
35.6908243769,-83.5141321582,539.049255371
35.690921078,-83.5141317582,535.976867676
35.691016477,-83.5141127582,533.389831543
35.691113277,-83.5141080582,530.770080566
35.691197276,-83.5141378582,529.33215332
35.691283478,-83.5141575582,528.585876465
35.6913742781,-83.5141273582,526.860473633
35.6914607771,-83.5140818582,525.274230957
35.6915413781,-83.5140263582,524.129577637
35.6916209781,-83.5139693582,522.453491211
35.6916830761,-83.5139247582,521.484680176
35.6917440761,-83.5138786582,519.683898926
35.6918052772,-83.5138328582,518.063354492
35.6918680762,-83.5137892582,517.066772461
35.6919273772,-83.5137524581,516.844238281
35.6919867772,-83.5137156581,516.520202637
35.6920542772,-83.5136663581,515.954589844
35.6921239782,-83.5136204581,515.61920166
35.6921725782,-83.5135962581,515.085998535
35.6922239773,-83.5135794581,514.346313477
35.6923230783,-83.5135825581,513.461975098
35.6923736763,-83.5135967581,512.753051758
35.6924214773,-83.5136187581,511.606109619
35.6924825783,-83.5136741582,510.333099365
35.6925324763,-83.5137404582,509.530853271
