lat,lng,ele
35.5843080497,-83.6448952901,1287.37231445
35.5842830487,-83.6449620902,1287.67028809
35.5842551507,-83.6450276902,1287.9173584
35.5842226486,-83.6450910902,1287.625
35.5841848506,-83.6451526902,1287.94091797
35.5841422496,-83.6452109902,1289.32507324
35.5840926496,-83.6452633902,1291.47399902
35.5840418496,-83.6453066903,1292.69958496
35.5839829486,-83.6453369903,1291.98144531
35.5839028496,-83.6453261903,1292.22106934
35.5838307506,-83.6452877902,1292.73693848
35.5837734495,-83.6452262902,1294.05163574
35.5837296495,-83.6451539902,1295.73535156
35.5836820495,-83.6450842902,1296.70507812
35.5836187495,-83.6450150901,1297.19445801
35.5835511505,-83.6449499901,1297.1270752
35.5834789485,-83.6448900901,1298.73352051
35.5834196495,-83.6448465901,1299.64660645
35.5833578485,-83.6448067901,1300.8605957
35.5832922505,-83.6447735901,1302.4510498
35.5832356495,-83.64474949,1304.27392578
35.5831758494,-83.64473669,1305.63134766
35.5831149484,-83.64475069,1305.42321777
35.5830578494,-83.64477689,1304.61694336
35.5829760494,-83.64482359,1304.00061035
35.5829022494,-83.6448820901,1305.32800293
35.5828483504,-83.6449430901,1306.13952637
35.5828014484,-83.6450096901,1306.34277344
35.5827538483,-83.6450758901,1307.48864746
35.5827130493,-83.6451316901,1308.47241211
35.5826718493,-83.6451872901,1309.29797363
35.5826240503,-83.6452370901,1310.14526367
35.5825771493,-83.6452743902,1310.52209473
35.5825235493,-83.6452999902,1310.38500977
35.5824648503,-83.6452902902,1311.24597168
35.5824069493,-83.6452740901,1312.20019531
35.5823396482,-83.6452804901,1312.18212891
35.5822741482,-83.6452978901,1312.04992676
35.5822078492,-83.6453116901,1312.95153809
35.5821172482,-83.6453091901,1314.96386719
35.5820274482,-83.6453167901,1316.70446777
35.5819660482,-83.6453499901,1317.2166748
35.5819086492,-83.6453900902,1317.31945801
35.5818505491,-83.6454344902,1317.18969727
35.5817895491,-83.6454743902,1317.60424805
35.5817235491,-83.6454864902,1319.28649902
35.5816559491,-83.6454859902,1320.78430176
35.5815906491,-83.6455009902,1322.11914062
35.5815220491,-83.6455606902,1322.24243164
35.581461649,-83.6456291902,1322.4576416
35.58139845,-83.6456904902,1323.51062012
35.581341649,-83.6457575902,1324.62597656
35.581304349,-83.6458262902,1325.13122559
35.581275448,-83.6458988903,1326.54528809
35.58125815,-83.6459637903,1327.42895508
35.581246249,-83.6460298903,1328.04211426
35.581235049,-83.6460960903,1328.640625
35.581218248,-83.6461760903,1329.83422852
35.581202349,-83.6462562904,1330.86071777
35.581193749,-83.6463374904,1331.69628906
35.581193948,-83.6464155904,1331.95483398
35.581200648,-83.6464932904,1332.57250977
35.58121565,-83.6465698905,1333.34448242
35.581250349,-83.6466610905,1333.91149902
35.581292849,-83.6467489905,1334.57214355
35.581335949,-83.6468386905,1335.66833496
35.581381848,-83.6469249906,1336.70019531
35.581425648,-83.6470123906,1337.05151367
35.581447249,-83.6471071906,1337.56591797
35.58143775,-83.6471904907,1338.40930176
35.581416549,-83.6472716907,1338.3092041
35.581380449,-83.6473570907,1338.48986816
35.581334349,-83.6474378907,1339.8638916
35.5812938489,-83.6475213907,1341.14611816
35.5812713489,-83.6475859908,1342.02600098
35.5812518489,-83.6476515908,1342.8104248
35.5812354499,-83.6477180908,1343.41088867
35.5812253489,-83.6477988908,1343.63696289
35.5812196489,-83.6478800908,1343.9798584
35.5812031499,-83.6479596909,1344.40270996
35.5811862499,-83.6480133909,1344.87280273
35.5811559479,-83.6480574909,1345.37023926
35.5811116489,-83.6480228909,1345.6126709
35.5810725479,-83.6479428908,1345.81054688
35.5810568479,-83.6478541908,1346.99560547
35.5810361489,-83.6477666908,1348.13439941
35.5810022489,-83.6476866908,1349.08032227
35.5809641479,-83.6476084907,1349.76794434
35.5809241499,-83.6475312907,1350.5579834
35.5808825489,-83.6474516907,1350.99267578
35.5808374488,-83.6473739907,1351.84301758
35.5807928478,-83.6473058906,1352.75048828
35.5807442498,-83.6472405906,1353.69140625
35.5806884488,-83.6471814906,1354.14306641
35.5806308478,-83.6471407906,1354.61462402
35.5805730478,-83.6471003906,1355.12670898
35.5805228478,-83.6470508906,1356.05004883
35.5804761478,-83.6469979905,1357.05603027
35.5804174488,-83.6469257905,1357.89245605
35.5803622488,-83.6468507905,1359.2755127
35.5803145488,-83.6467772905,1360.27404785
35.5802662478,-83.6467041904,1360.9005127
35.5802056487,-83.6466297904,1361.57116699
35.5801433487,-83.6465566904,1361.87634277
35.5800877487,-83.6464819904,1362.65466309
35.5800294487,-83.6464094903,1363.73535156
35.5799738487,-83.6463558903,1364.09606934
35.5799144487,-83.6463063903,1364.55554199
