lat,lng,ele
35.5202257271,-83.8531462472,1399.54064941
35.5202270281,-83.8530743472,1399.87194824
35.5202201281,-83.8530027472,1400.1192627
35.5201917291,-83.8529085472,1400.50292969
35.5201473291,-83.8528205471,1401.07495117
35.5201003291,-83.8527338471,1401.8782959
35.5200531271,-83.8526518471,1402.95812988
35.5200035291,-83.8525713471,1403.91003418
35.5199619281,-83.852486447,1405.06604004
35.5199386291,-83.852394047,1406.58239746
35.5199231281,-83.852299947,1408.06347656
35.5198964291,-83.8522085469,1409.40441895
35.5198590291,-83.8521462469,1410.29321289
35.5198148281,-83.8520883469,1411.06884766
35.5197745281,-83.8520278469,1411.83947754
35.519746327,-83.8519577469,1412.77758789
35.519725728,-83.8518849468,1413.67041016
35.519702428,-83.8518129468,1414.55957031
35.519663928,-83.8517482468,1415.50048828
35.519606327,-83.8517076468,1417.0345459
35.519548729,-83.8516670468,1418.31518555
35.519500728,-83.8515867467,1419.60205078
35.519469728,-83.8514979467,1421.21228027
35.519437627,-83.8514095467,1422.61816406
35.519401628,-83.8513356467,1423.68786621
35.519365027,-83.8512619466,1424.5670166
35.519334828,-83.8511854466,1425.42993164
35.519311428,-83.8510944466,1426.28637695
35.519296027,-83.8510017466,1427.31896973
35.519287228,-83.8509081465,1428.41845703
35.519286628,-83.8508310465,1429.35461426
35.519290428,-83.8507539465,1430.44604492
35.519292729,-83.8506768465,1431.36193848
35.519291728,-83.8505847464,1432.4654541
35.519288428,-83.8504926464,1433.73596191
35.519281229,-83.8504007464,1434.94592285
35.519273627,-83.8503337464,1435.67114258
35.519263828,-83.8502670463,1436.05126953
35.519249929,-83.8502011463,1436.45983887
35.519222227,-83.8501167463,1435.86486816
35.519190829,-83.8500336463,1434.6373291
35.519162828,-83.8499638462,1434.20068359
35.519134627,-83.8498940462,1434.62145996
35.519114729,-83.8498215462,1435.08459473
35.519112128,-83.8497334462,1434.48046875
35.519120428,-83.8496453462,1433.36425781
35.519120927,-83.8495571461,1432.66003418
35.519097128,-83.8494717461,1433.45605469
35.519065428,-83.8493887461,1434.3182373
35.519054828,-83.849301246,1434.05639648
35.519070029,-83.849252246,1432.60900879
35.519084228,-83.849203046,1431.70959473
35.519076628,-83.849130446,1431.86010742
35.519060628,-83.849058946,1431.40393066
35.519049927,-83.848964746,1431.07299805
35.519038029,-83.8488707459,1430.7076416
35.519022928,-83.8488000459,1430.3338623
35.519005129,-83.8487300459,1429.69543457
35.518989028,-83.8486595459,1428.81750488
35.518974429,-83.8485741458,1427.55358887
35.518962727,-83.8484883458,1426.27783203
35.518952729,-83.8484022458,1424.43359375
35.518943028,-83.8483161458,1423.05175781
