lat,lng,ele
35.5625929382,-83.8457412476,592.24029541
35.5625588362,-83.8456526476,592.960388184
35.5625270372,-83.8455631475,595.701477051
35.5624975372,-83.8454729475,599.577453613
35.5624709362,-83.8453818475,602.112426758
35.5624491382,-83.8452894475,604.072387695
35.5624368372,-83.8451970474,604.483459473
35.5624317372,-83.8451039474,605.104980469
35.5624292372,-83.8450107474,606.676940918
35.5624251382,-83.8449176474,607.094543457
35.5624150372,-83.8448249473,606.98614502
35.5624054362,-83.8447317473,607.462585449
35.5623993362,-83.8446382473,607.951782227
35.5623906382,-83.8445450472,607.88659668
35.5623704372,-83.8444536472,607.054199219
35.5623081372,-83.8443910472,606.463012695
35.5622175371,-83.8444098472,606.872497559
35.5621459361,-83.8443805472,608.165649414
35.5620747371,-83.8443496472,608.15826416
35.5620201371,-83.8443563472,607.943115234
35.5619661371,-83.8443678472,606.949829102
35.5618759371,-83.8443704472,604.386169434
35.5617857361,-83.8443725472,602.365356445
35.561719037,-83.8443831472,602.545288086
35.561653038,-83.8443973472,601.183410645
35.561586636,-83.8444096472,600.822692871
35.561509538,-83.8444153472,601.050109863
35.561433037,-83.8444262472,600.183837891
35.561373337,-83.8444505472,598.769836426
35.561314636,-83.8444772472,597.746398926
35.5612335369,-83.8445037472,597.114501953
35.5611512369,-83.8445265472,597.140930176
35.5610852359,-83.8445447472,597.445922852
35.5610189369,-83.8445614472,597.59362793
35.5609518369,-83.8445746472,597.80065918
35.5608529369,-83.8445887472,598.276306152
35.5607531358,-83.8445897472,598.712463379
35.5606947368,-83.8445774472,598.874267578
35.5606366368,-83.8445635471,599.00579834
35.5605646358,-83.8445565471,599.317932129
35.5604928368,-83.8445474471,599.773010254
35.5604247368,-83.8445260471,600.116699219
35.5603587378,-83.8444985471,600.527709961
35.5602988367,-83.8444727471,600.811401367
35.5602429367,-83.8444393471,601.139404297
35.5601966367,-83.8443903471,601.331787109
35.5601552357,-83.844336947,601.525878906
35.5601003367,-83.844270747,601.749755859
35.5600503377,-83.844200847,602.061279297
35.5600092367,-83.844118047,602.455505371
35.5599772357,-83.8440313469,603.037658691
35.5599482367,-83.8439435469,603.489318848
35.5599225377,-83.8438601469,604.125305176
35.5598981367,-83.8437763469,604.616271973
35.5598734367,-83.8436944468,605.119140625
35.5598485367,-83.8436126468,604.902709961
35.5598228357,-83.8435310468,604.608032227
35.5597956377,-83.8434572468,604.598815918
35.5597676367,-83.8433836467,604.375854492
35.5597469367,-83.8433077467,604.532592773
35.5597464377,-83.8432399467,604.939819336
35.5597518377,-83.8431721467,605.323730469
35.5597336377,-83.8431087467,604.481262207
35.5596801367,-83.8430847467,603.400817871
35.5596443367,-83.8430724466,603.822753906
35.5596039357,-83.8430201466,604.961730957
35.5595749367,-83.8429597466,605.541625977
35.5595476377,-83.8429154466,606.144836426
35.5595229367,-83.8428696466,606.91229248
35.5594975357,-83.8427752466,608.459228516
35.5594733366,-83.8426804465,609.604492188
35.5594279366,-83.8426082465,610.096069336
35.5593866356,-83.8425339465,610.571228027
35.5593790366,-83.8424675465,611.182434082
