lat,lng,ele
35.5949271411,-83.91590367,536.220336914
35.5951210401,-83.91571207,535.612182617
35.5952519421,-83.91551817,534.739074707
35.5954569412,-83.9152386699,533.919006348
35.5956082412,-83.9149462698,533.592346191
35.5957126413,-83.9147293697,532.094055176
35.5958394403,-83.9147008697,531.502929688
35.5959954413,-83.9149603698,530.649475098
35.5960764413,-83.9149632698,532.199645996
35.5961437414,-83.9147891698,530.199279785
35.5962357404,-83.9147152698,530.913208008
35.5964164414,-83.9146997698,533.019775391
35.5964627414,-83.9146462698,531.534179688
35.5963497424,-83.9144765697,529.461669922
35.5962740404,-83.9142531696,529.313293457
35.5962735414,-83.9138999695,528.997680664
35.5963244414,-83.9136589695,528.937683105
35.5963742415,-83.9134621694,527.09979248
35.5965014415,-83.9134226694,528.135070801
35.5966809415,-83.9134512694,527.672546387
35.5967374405,-83.9133539694,527.121887207
35.5967233425,-83.9131879694,524.181884766
35.5968193416,-83.9129486693,524.546936035
35.5969485416,-83.9128209693,524.851379395
35.5970945416,-83.9127489693,524.320678711
35.5972910417,-83.9128223693,524.875488281
35.5974269417,-83.9127941693,523.112060547
35.5976642408,-83.9126703693,521.018615723
35.5978342408,-83.9127206693,522.902526855
35.5980418418,-83.9127060693,522.137145996
35.5981488419,-83.9127540693,523.359924316
35.5981502429,-83.9126989693,521.135925293
35.5981428419,-83.9126324693,520.72845459
35.5979331418,-83.9123600692,520.510375977
35.5978195408,-83.9122124691,519.702270508
35.5976624418,-83.9119971691,519.530578613
35.5976297408,-83.911863569,519.811706543
35.5976613408,-83.911677069,519.608703613
35.5977545418,-83.9115480689,518.960021973
35.5979169429,-83.9115428689,518.386779785
35.5980871419,-83.911582169,517.450195312
35.5982238409,-83.911520869,517.645263672
35.598327943,-83.9113150689,516.892944336
35.598413542,-83.9111305689,515.594360352
35.598389742,-83.9109972688,514.334594727
35.598312442,-83.9108399688,512.420471191
35.598343742,-83.9106645687,513.987243652
35.598444641,-83.9105909687,513.174987793
35.598667842,-83.9106762687,513.399902344
35.5988029411,-83.9106811688,515.713500977
35.5989226421,-83.9105751687,513.731201172
35.5988829421,-83.9103529687,511.397674561
35.5989058411,-83.9101551686,511.264404297
35.5989715421,-83.9100472686,511.101928711
35.5988952411,-83.9098458685,508.973052979
35.5988449421,-83.9096895685,509.289428711
35.5988955431,-83.9094596684,508.466186523
35.5990169432,-83.9092874684,508.381896973
35.5991465422,-83.9091486683,508.377319336
35.5992355432,-83.9091960683,510.762634277
35.5993552423,-83.9090900683,508.607788086
35.5994905423,-83.9090838683,507.713897705
35.5996868433,-83.9091682684,505.968139648
35.5998364413,-83.9093171684,506.717529297
35.5999492414,-83.9094977685,506.368255615
35.6000625424,-83.9096563685,506.938995361
35.6001354424,-83.9096259685,505.486206055
35.6000970424,-83.9093486684,505.205108643
35.6000038434,-83.9091024684,503.060424805
35.5998786414,-83.9086896682,502.139465332
35.5998381424,-83.9085005682,501.71887207
35.5998773414,-83.9083695681,501.111022949
35.6000304414,-83.9083751682,502.873931885
35.6002836425,-83.9083401682,502.011779785
35.6004658425,-83.9082584681,500.731781006
35.6006677426,-83.9081112681,500.951782227
35.6008261436,-83.9078963681,499.35333252
35.6008290416,-83.907775068,496.95791626
35.6006044426,-83.907744868,494.390838623
35.6003623425,-83.907691968,494.637969971
35.6001936435,-83.9075864679,494.299804688
35.6001169435,-83.9074071679,495.40802002
35.6000406415,-83.9072057678,493.477020264
35.6000647425,-83.9069528677,493.138244629
35.6001320415,-83.9067786677,494.846832275
35.6001914435,-83.9065601676,493.582489014
35.6002343415,-83.9062746675,492.325042725
35.6004032426,-83.9060048675,489.368804932
35.6005605436,-83.9058339674,489.490997314
35.6007200437,-83.9055749674,488.413696289
35.6008958417,-83.9053826673,488.171722412
35.6010272418,-83.9051666673,487.165222168
35.6011502418,-83.9049283672,485.715454102
35.6013194428,-83.9046365671,483.813201904
35.6014140429,-83.9044523671,482.969726562
35.6015891429,-83.9042931671,481.650848389
35.6017464429,-83.904122267,480.189666748
35.601948542,-83.903964067,479.302581787
35.602140844,-83.903838567,477.88973999
35.6023252441,-83.9036686669,477.299530029
35.6024913431,-83.9035091669,475.07522583
35.6027030442,-83.9033291668,473.214416504
35.6029048432,-83.9031819668,470.836639404
35.6030627433,-83.9029890668,469.800201416
35.6031668423,-83.9027831667,469.575378418
35.6032266433,-83.9025424666,466.958251953
35.6032203433,-83.9024319666,466.729370117
35.6032224423,-83.9023436666,466.203216553
35.6032603443,-83.9022678666,465.371490479
35.6033668424,-83.9023378666,464.091522217
35.6034830434,-83.9023751666,462.954223633
35.6036107424,-83.9023135666,462.316619873
35.6036507434,-83.9021494665,462.277679443
35.6036481434,-83.9018845665,460.00100708
35.6036144444,-83.9017840664,459.634399414
35.6036428434,-83.9017298664,458.464019775
35.6036971434,-83.9017207664,458.826873779
35.6038102435,-83.9018904665,457.86807251
35.6040300435,-83.9021190666,456.460571289
35.6041807445,-83.9022238666,455.338592529
35.6043610446,-83.9022193666,453.870666504
35.6044884436,-83.9021687666,452.712219238
35.6045986436,-83.9020844666,451.683013916
35.6047436426,-83.9020565666,449.261291504
35.6048355437,-83.9019826666,447.778320312
35.6049213427,-83.9017870665,444.458526611
35.6049619437,-83.9016009665,442.803100586
35.6049947447,-83.9013593664,438.470458984
35.6050262437,-83.9011728663,436.032073975
35.6050856438,-83.9009542663,433.267974854
35.6051521438,-83.9008132662,431.265289307
35.6052551438,-83.9006514662,429.166717529
35.6053574448,-83.9005226662,427.44430542
