lat,lng,ele
35.6076390434,-83.8982211656,431.732543945
35.6074489444,-83.8982583656,427.579650879
35.6072674443,-83.8983070656,422.410675049
35.6070884443,-83.8982564656,419.074432373
35.6068914452,-83.8982051656,415.387481689
35.6067216442,-83.8981438656,413.476135254
35.6065984452,-83.8980180655,412.597106934
35.6065100442,-83.8979486655,409.882843018
35.6064647442,-83.8979580655,409.572814941
35.6064183442,-83.8980115655,409.189910889
35.6063240441,-83.8981846655,404.109588623
35.6061866441,-83.8982790656,401.476135254
35.6060226441,-83.8983503656,398.422851562
35.605860044,-83.8983665656,397.74041748
35.605687343,-83.8984265656,392.881256104
35.605524444,-83.8984538656,390.78692627
35.6053719429,-83.8984262656,389.742767334
35.6052280449,-83.8984099655,387.491333008
35.6051459449,-83.8984511656,386.659881592
