lat,lng,ele
35.5002347308,-83.6802117955,694.643188477
35.5002351318,-83.6801582955,695.13269043
35.5002255318,-83.6801064955,695.193786621
35.5001733308,-83.6800854955,694.548828125
35.5001182298,-83.6800698954,693.675842285
35.5000846318,-83.6800326954,693.44519043
35.5000568318,-83.6799906954,693.514221191
35.5000214298,-83.6799179954,693.165161133
35.4999944308,-83.6798415954,693.22265625
35.4999627308,-83.6797670953,695.467590332
35.4999176308,-83.6796926953,696.377502441
35.4998670298,-83.6796218953,696.424499512
35.4998142318,-83.6795527953,697.317871094
35.4997613307,-83.6794844953,699.79675293
35.4997070307,-83.6794172952,701.713623047
35.4996501307,-83.6793521952,701.777954102
35.4995894307,-83.6792906952,701.43371582
35.4995238297,-83.6792344952,701.512207031
35.4994624297,-83.6791943951,700.824035645
35.4993984307,-83.6791584951,700.192749023
35.4993371317,-83.6791180951,699.226074219
35.4992681297,-83.6790579951,698.611083984
35.4992041317,-83.6789924951,698.986816406
35.4991431316,-83.6789241951,699.743469238
35.4990923316,-83.678866995,700.095092773
35.4990436306,-83.678807895,700.623168945
35.4990029296,-83.678743195,701.335693359
35.4989750316,-83.678674495,702.267578125
35.4989544306,-83.6786032949,703.023742676
35.4989355306,-83.6785315949,702.969726562
35.4989156296,-83.6784573949,702.387084961
35.4988974296,-83.6783828949,701.752319336
35.4988819306,-83.6783076949,700.83782959
35.4988701306,-83.6782317948,700.7890625
35.4988645296,-83.6781361948,701.211914062
35.4988642296,-83.6780403948,701.582092285
35.4988584296,-83.6779447947,701.889282227
35.4988453296,-83.6778546947,702.591125488
35.4988273306,-83.6777655947,703.360961914
35.4988013306,-83.6776783947,704.177490234
35.4987563306,-83.6775899946,704.200500488
35.4987015296,-83.6775069946,704.305541992
35.4986538316,-83.6774198946,704.131958008
35.4986269306,-83.6773493946,704.577148438
35.4986042306,-83.6772774945,704.669433594
35.4985853306,-83.6772043945,704.846557617
35.4985701316,-83.6771304945,705.107421875
35.4985571306,-83.6770317945,705.114379883
35.4985514306,-83.6769322944,704.620910645
35.4985505306,-83.6768326944,704.63684082
35.4985518306,-83.6767330944,705.135681152
35.4985558296,-83.6766486943,705.284545898
35.4985620306,-83.6765644943,705.461547852
35.4985665306,-83.6764800943,705.303588867
35.4985664306,-83.6763845943,705.100280762
35.4985640316,-83.6762889942,704.936401367
35.4985638296,-83.6761934942,704.892333984
35.4985679296,-83.6761053942,704.707336426
35.4985738306,-83.6760173942,704.812133789
35.4985787316,-83.6759293941,705.148925781
35.4985799306,-83.6758485941,704.379699707
35.4985803317,-83.6757677941,703.481323242
35.4985841307,-83.6756870941,703.504333496
35.4985932297,-83.675613794,703.704223633
35.4986051307,-83.675540794,703.828674316
35.4986160307,-83.675467694,703.942016602
35.4986236307,-83.675387094,703.512451172
35.4986299297,-83.675306394,703.081787109
35.4986395297,-83.6752259939,703.057739258
35.4986555297,-83.6751458939,703.47442627
35.4986757307,-83.6750666939,704.076049805
35.4986977297,-83.6749879939,704.018737793
35.4987186307,-83.6749089939,704.202819824
35.4987417317,-83.6748141938,704.73034668
35.4987646307,-83.6747193938,704.673034668
35.4987880307,-83.6746246938,704.714355469
35.4988116307,-83.6745342937,704.591247559
35.4988363318,-83.6744442937,704.47253418
35.4988618308,-83.6743543937,704.719055176
35.4988876308,-83.6742645937,705.168457031
35.4989132308,-83.6741747936,705.351318359
35.4989382308,-83.6740847936,705.668457031
35.4989620298,-83.6739944936,706.180847168
35.4989843298,-83.6739037936,706.126464844
35.4989985308,-83.6738379936,705.61517334
35.4990142308,-83.6737724935,706.035461426
35.4990459308,-83.6736819935,706.622558594
