lat,lng,ele
35.5632496654,-83.1615624472,1562.71203613
35.5632536644,-83.1614827471,1562.77697754
35.5632605654,-83.1614033471,1563.07080078
35.5632703644,-83.1613241471,1563.27233887
35.5632808644,-83.1612408471,1563.20703125
35.5633003644,-83.161159447,1563.33044434
35.5633353654,-83.161098547,1563.47888184
35.5633745644,-83.161040047,1563.1427002
35.5634135644,-83.160969647,1562.7010498
35.5634491634,-83.160897447,1562.64685059
35.5634776635,-83.1608222469,1562.39074707
35.5634974635,-83.1607428469,1562.81274414
35.5635101655,-83.1606620469,1562.85498047
35.5635181655,-83.1605805469,1562.8170166
35.5635220635,-83.1605034469,1562.82653809
35.5635208645,-83.1604262468,1562.9329834
35.5635131645,-83.1603425468,1563.0526123
35.5634968645,-83.1602600468,1562.95617676
35.5634786645,-83.1602029468,1562.85009766
35.5634537645,-83.1601485467,1562.28918457
35.5634252645,-83.1601073467,1562.08190918
35.5633920645,-83.1600697467,1561.98254395
35.5633259645,-83.1600194467,1562.07263184
35.5632512654,-83.1599822467,1562.37121582
35.5631779644,-83.1599426467,1562.37365723
35.5631022644,-83.1598914467,1561.81066895
35.5630277644,-83.1598384466,1561.60742188
35.5629556654,-83.1597823466,1560.89160156
35.5628867644,-83.1597222466,1560.57763672
35.5628225644,-83.1596572466,1560.52575684
35.5627751634,-83.1595907465,1559.72460938
35.5627312643,-83.1595217465,1558.69897461
35.5626727643,-83.1594656465,1559.45056152
35.5626100643,-83.1594419465,1560.34558105
35.5625377633,-83.1593865465,1560.08105469
35.5624678643,-83.1593278464,1559.81872559
35.5623889643,-83.1592920464,1558.80493164
35.5623048643,-83.1592706464,1558.86291504
35.5622197633,-83.1592536464,1558.99243164
35.5621360642,-83.1592306464,1558.70068359
35.5620678652,-83.1592018464,1558.29052734
35.5620003642,-83.1591712464,1558.03259277
35.5619301652,-83.1591478464,1558.35681152
35.5618492652,-83.1591346464,1557.74841309
35.5617590642,-83.1591376464,1557.61242676
35.5616688641,-83.1591408463,1557.59204102
35.5616009651,-83.1591328463,1557.16564941
35.5615341651,-83.1591182463,1557.10705566
35.5614713641,-83.1590914463,1556.78320312
35.5614193641,-83.1590554463,1556.2623291
35.5613736641,-83.1590116463,1556.13842773
35.5613247641,-83.1589362463,1556.01269531
35.5612863641,-83.1588548462,1555.61804199
35.5612620641,-83.1587922462,1555.33764648
35.5612411631,-83.1587283462,1555.11560059
35.5612175631,-83.1586654462,1555.22644043
35.5611889641,-83.1586030462,1555.484375
35.5611567651,-83.1585424461,1555.65844727
35.5611137641,-83.1584709461,1555.69543457
35.561060064,-83.1584074461,1555.84301758
35.561000964,-83.1583708461,1555.53283691
35.560934864,-83.1583489461,1554.68249512
35.560858164,-83.1583484461,1554.23522949
35.560781464,-83.1583557461,1553.80419922
35.560709164,-83.1583539461,1553.2130127
35.560637064,-83.1583487461,1552.42370605
35.5605653639,-83.158338946,1552.30847168
35.5604703629,-83.158317546,1551.94445801
35.5603769649,-83.158289746,1552.24365234
35.5602936629,-83.158255146,1552.2767334
35.5602135639,-83.158213346,1551.64538574
35.5601322629,-83.158174246,1551.98046875
35.5600459628,-83.158148446,1551.63671875
35.5599514638,-83.158143846,1551.32641602
35.5598567628,-83.1581434459,1550.33752441
35.5597787628,-83.1581343459,1550.17626953
35.5597010648,-83.1581225459,1549.76416016
35.5596228628,-83.1581150459,1549.37023926
35.5595281647,-83.1581212459,1549.93969727
35.5594334637,-83.1581210459,1550.44274902
35.5593738627,-83.1581072459,1550.21337891
35.5593169627,-83.1580848459,1550.02819824
35.5592446647,-83.1580207459,1548.77197266
35.5591868647,-83.1579425458,1548.01904297
35.5591224637,-83.1578699458,1547.98059082
35.5590485626,-83.1578157458,1548.42199707
35.5589710636,-83.1577666458,1548.74951172
35.5589022636,-83.1577239458,1548.14562988
35.5588323636,-83.1576829458,1547.57922363
35.5587602626,-83.1576459457,1548.08520508
35.5586852636,-83.1576155457,1549.69470215
35.5586143636,-83.1575936457,1551.1809082
35.5585417636,-83.1575786457,1551.8503418
35.5584741645,-83.1575771457,1552.32751465
35.5584065635,-83.1575750457,1553.14990234
35.5583322645,-83.1575555457,1553.16711426
35.5582616645,-83.1575249457,1553.69030762
35.5581944635,-83.1574874457,1554.45788574
35.5581294625,-83.1574462456,1555.26794434
35.5580595635,-83.1573914456,1556.04052734
