lat,lng,ele
35.6790754737,-83.5588059706,494.509033203
35.6791320717,-83.5588250706,494.086029053
35.6791910728,-83.5588184706,493.994445801
35.6792645728,-83.5587544706,493.364715576
35.6793341728,-83.5587104706,493.185302734
35.6794085718,-83.5586747706,493.257232666
35.6794833728,-83.5586399706,493.56741333
35.6795487738,-83.5586120706,494.046936035
35.6796108719,-83.5585777706,494.170288086
35.6796660739,-83.5585242705,494.407867432
35.6797187739,-83.5584500705,494.688201904
35.6797602729,-83.5583688705,495.039825439
35.6797972729,-83.5582854705,495.231262207
35.6798214719,-83.5582255705,495.62802124
35.6798449729,-83.5581654704,495.842987061
35.6798681729,-83.5581107704,495.454681396
35.6798923719,-83.5580564704,494.911987305
35.6799159739,-83.5580075704,494.43951416
35.6799394729,-83.5579585704,493.871032715
35.6799584739,-83.5579149704,493.545074463
35.679978072,-83.5578382704,493.355438232
