lat,lng,ele
35.5010369345,-83.6165658769,1508.28015137
35.5009253335,-83.616716577,1511.53430176
35.5008687335,-83.616835977,1513.31994629
35.5007833334,-83.617031577,1515.453125
35.5007086334,-83.6171504771,1517.28723145
35.5006062324,-83.6173013771,1520.53564453
35.5005573324,-83.6174761772,1520.86645508
35.5004362323,-83.6176596772,1525.41418457
35.5004053333,-83.6178349772,1526.12695312
35.5003214343,-83.6179645773,1528.21508789
35.5002272323,-83.6181488773,1529.36608887
35.5001793333,-83.6182795774,1530.43835449
35.5001584343,-83.6184111774,1531.16967773
35.5001371322,-83.6185647774,1532.1809082
35.5000979332,-83.6187067775,1534.36218262
35.5000228332,-83.6188476775,1536.7689209
35.5000116332,-83.6189464776,1537.61010742
35.4999730332,-83.6190664776,1539.28845215
35.4999177332,-83.6191197776,1541.36181641
35.4999341322,-83.6191974776,1540.65527344
35.4998696322,-83.6192615776,1543.18200684
35.4999018342,-83.6194389777,1544.30554199
35.4998982331,-83.6196041777,1547.01928711
35.4998765341,-83.6197687778,1550.22888184
35.4998736331,-83.6199009778,1551.85876465
35.4998549321,-83.6199334778,1552.78686523
35.4997845341,-83.6198539778,1553.79467773
35.4997144331,-83.6197635778,1554.89135742
35.4996603331,-83.6197617778,1555.78808594
35.4996321321,-83.6198159778,1557.3380127
35.4996484321,-83.6198936778,1558.70117188
35.4996105331,-83.6199805778,1561.6595459
35.4995562331,-83.6199898778,1563.24401855
35.4995192331,-83.6200327778,1564.37182617
35.4996074331,-83.6201237779,1567.12097168
35.4995860341,-83.6202773779,1571.18688965
35.4996384331,-83.6203562779,1572.41943359
35.4996630331,-83.620467278,1573.91479492
35.4996786331,-83.620577978,1574.72961426
35.4997021321,-83.6207440781,1575.92785645
35.4997084341,-83.6208655781,1577.70507812
35.4997070331,-83.6209316781,1578.46398926
35.499677832,-83.6210298781,1579.23132324
