lat,lng,ele
35.6087872701,-83.281335885,1473.92736816
35.6088125681,-83.281424885,1474.78186035
35.6088836692,-83.2814820851,1476.16992188
35.6089364702,-83.2815497851,1476.30883789
35.6090525682,-83.2816082851,1477.92724609
35.6091325692,-83.2816657851,1479.39367676
35.6091581692,-83.2817437852,1480.39990234
35.6091740692,-83.2818545852,1481.86523438
35.6091518702,-83.2820747853,1483.71130371
35.6091409692,-83.2821737853,1484.41003418
35.6091755702,-83.2822520853,1485.4083252
35.6093441692,-83.2823892854,1483.88647461
35.6094242682,-83.2824467854,1483.35778809
35.6094497702,-83.2825247854,1482.08093262
35.6094480692,-83.2826129854,1483.96984863
35.6093786692,-83.2829421855,1485.01367188
35.6093370692,-83.2832390856,1486.57861328
35.6093259692,-83.2833490856,1486.88635254
35.6092867702,-83.2835135857,1486.33105469
35.6093866692,-83.2839468858,1487.47277832
35.6094193702,-83.2841245859,1487.53588867
35.6094985692,-83.2842261859,1487.70605469
35.6095595692,-83.2843382859,1487.5300293
35.6096016692,-83.284493986,1488.89562988
35.6096071692,-83.284681786,1488.44567871
35.6095779682,-83.2847913861,1488.55895996
35.6095034701,-83.2849216861,1489.09692383
35.6094744691,-83.2850201861,1489.23303223
35.6094990681,-83.2851533862,1490.41491699
35.6095415681,-83.2852870862,1490.38427734
35.6096477692,-83.2853893863,1489.99938965
35.6097445692,-83.2855135863,1489.47460938
35.6099279692,-83.2858278864,1488.22021484
35.6100435682,-83.2859084864,1488.52124023
35.6101422702,-83.2859333864,1489.24023438
35.6102044693,-83.2859792865,1489.79736328
35.6102924703,-83.2860921865,1491.0982666
35.6103534693,-83.2862042865,1492.27966309
35.6103869693,-83.2863376866,1492.79956055
35.6104123683,-83.2864266866,1492.98742676
35.6104915703,-83.2865282866,1494.22033691
35.6106163693,-83.2865980867,1496.05297852
35.6106962693,-83.2866665867,1496.7565918
35.6107483693,-83.2867674867,1497.80505371
35.6107550693,-83.2868890868,1499.53833008
35.6107249683,-83.2870537868,1501.52355957
35.6106832693,-83.2873507869,1505.32739258
35.6105593683,-83.287700487,1509.22290039
35.6105718682,-83.2879877871,1513.95751953
35.6105247692,-83.2880968871,1514.7779541
35.6104599702,-83.2881832871,1516.66137695
35.6103319692,-83.2882789871,1518.91308594
35.6101767702,-83.2883849872,1521.96044922
35.6101304701,-83.2884498872,1523.01049805
35.6101199681,-83.2885268872,1524.12414551
35.6101266681,-83.2886484872,1525.40515137
35.6101519681,-83.2887374873,1526.44030762
35.6102129681,-83.2888495873,1527.84326172
35.6102927702,-83.2889180873,1528.77758789
35.6104358692,-83.2889773874,1531.77868652
35.6105601692,-83.2890802874,1533.43615723
35.6106502692,-83.2890828874,1533.96264648
35.6107859683,-83.2890535874,1536.17773438
35.6108494693,-83.2890333874,1537.98498535
35.6108943693,-83.2890456874,1538.20227051
35.6109299693,-83.2890687874,1538.84887695
35.6109728703,-83.2891803874,1539.74914551
35.6110602693,-83.2893263875,1541.9967041
35.6111671703,-83.2893955875,1545.0579834
35.6112196683,-83.2894743875,1546.32641602
35.6112534703,-83.2895967876,1548.02697754
35.6112685683,-83.2897517876,1549.73815918
35.6112559693,-83.2899390877,1551.21252441
35.6112810693,-83.2900390877,1553.18579102
35.6113761703,-83.2902515878,1556.71386719
35.6114369683,-83.2903746878,1559.22521973
35.6114882693,-83.2905196879,1561.31115723
35.6115041693,-83.2906304879,1561.64782715
35.6115467693,-83.2907641879,1561.83032227
35.6115523683,-83.290941088,1560.19458008
35.6115502693,-83.291051388,1559.13171387
35.6116108693,-83.2911855881,1557.26879883
35.6116908694,-83.2912430881,1556.27380371
35.6118676704,-83.2914247882,1551.51013184
35.6124279685,-83.2918270883,1539.38671875
35.6125697695,-83.2919525884,1535.67211914
35.6127124695,-83.2920338884,1532.39123535
35.6128815696,-83.2921490884,1529.01379395
35.6130866686,-83.2922653885,1528.24536133
35.6133369697,-83.2923718885,1526.9309082
35.6133897697,-83.2924395885,1526.50415039
35.6134618687,-83.2924416886,1526.11157227
35.6135232697,-83.2925316886,1526.89416504
35.6135752687,-83.2926435886,1529.49707031
35.6135909687,-83.2927654887,1531.4576416
35.6136610697,-83.2928667887,1533.90026855
35.6137675697,-83.2929581887,1536.23132324
35.6138643697,-83.2930823888,1538.44506836
35.6142651708,-83.2933367889,1542.47692871
35.6145701689,-83.2934116889,1547.19726562
35.6146975709,-83.2933490889,1549.7689209
35.6148241709,-83.2933306889,1552.06933594
35.615013971,-83.2933029889,1556.04492188
35.61511327,-83.2932947889,1557.87231445
35.615184671,-83.2933298889,1558.90966797
35.61524647,-83.2933978889,1560.09057617
35.61536887,-83.293600089,1559.69714355
35.615475471,-83.293680489,1560.58166504
35.6155448691,-83.2938258891,1559.14758301
35.6155772701,-83.2940144891,1558.66796875
35.61559067,-83.2942577892,1559.11779785
35.61558817,-83.2943901892,1558.20080566
35.61555847,-83.2945327893,1555.96325684
35.61558207,-83.2947100893,1552.90686035
35.615551871,-83.2948748894,1550.26135254
35.61554847,-83.2950513894,1547.25463867
35.615537771,-83.2951393895,1545.83618164
35.615544471,-83.2952609895,1543.32739258
35.61555007,-83.2954377896,1540.5402832
35.615555071,-83.2956476896,1537.82470703
35.61555967,-83.2958796897,1534.2857666
35.615598869,-83.2961898898,1531.42626953
35.61564827,-83.2964340899,1529.91601562
35.61562647,-83.2966322899,1527.57836914
35.6156132689,-83.29685269,1525.06408691
35.6155830699,-83.29701749,1523.38098145
35.6154514709,-83.2973006901,1518.08789062
35.6154047699,-83.2973876901,1516.16845703
35.6153751689,-83.2975192902,1514.55541992
35.6154095699,-83.2976085902,1513.49279785
35.6155065689,-83.2977217902,1511.43981934
35.6157024689,-83.2978487903,1508.33691406
35.615961969,-83.2979445903,1505.89941406
35.616122669,-83.2980263903,1503.4251709
35.616255969,-83.2981295904,1501.9095459
35.6164503701,-83.2983338905,1498.05029297
35.6167331701,-83.2986289906,1492.89306641
35.6168209691,-83.2987528906,1491.27380371
35.6169164711,-83.2989432907,1487.64550781
35.6171134702,-83.2990151907,1486.04150391
35.6174272702,-83.2991014907,1481.61083984
35.6175705703,-83.2991496908,1479.6550293
35.6177048713,-83.2991976908,1477.2142334
35.6177404703,-83.2992207908,1476.48840332
35.6177844713,-83.2992772908,1475.26611328
35.6178267703,-83.2994219909,1474.39611816
35.6178145693,-83.2995873909,1475.63977051
35.6178393703,-83.2997094909,1477.51672363
35.6178901703,-83.299876591,1478.98852539
35.6179769703,-83.3000556911,1481.23388672
35.6180188703,-83.3002224911,1482.07617188
35.6180072693,-83.3003545911,1481.75952148
35.6180319703,-83.3004767912,1483.54284668
35.6180929703,-83.3005888912,1484.1895752
35.6182795693,-83.3007266913,1487.34155273
35.6186127714,-83.3012109914,1491.63183594
35.6187629714,-83.3013697915,1494.22106934
35.6188321704,-83.3015263915,1495.55322266
35.6188568704,-83.3016484916,1497.06884766
35.6188716714,-83.3018144916,1497.78771973
35.6188695704,-83.3019248917,1497.78894043
35.6188400694,-83.3020564917,1497.38769531
35.6188561704,-83.3021562917,1498.26635742
35.6188823704,-83.3022011917,1498.34570312
35.6189543704,-83.3022032917,1498.50891113
35.6190451715,-83.3021727917,1499.38037109
35.6192443695,-83.3021232917,1501.20654297
35.6193887715,-83.3021163917,1502.39538574
35.6195687696,-83.3021325918,1504.31872559
35.6197386716,-83.3022036918,1504.83105469
35.6200258707,-83.3022670918,1508.11791992
35.6204046717,-83.3022559918,1512.81066895
35.6205576708,-83.3022714919,1513.86889648
35.6209427708,-83.3024038919,1514.49047852
35.6210148699,-83.3024059919,1515.86779785
35.6211420699,-83.3023543919,1519.42590332
35.6212323709,-83.3023459919,1520.32287598
35.6213125709,-83.3023924919,1520.67028809
35.6214271709,-83.302528192,1520.49279785
35.6215159699,-83.302596992,1520.40966797
35.62156967,-83.302620592,1519.84460449
35.62165847,-83.302689392,1518.45031738
35.621712271,-83.3027019921,1518.09094238
35.621866271,-83.302662292,1514.11865234
35.622008972,-83.3027435921,1512.50463867
35.6221872711,-83.3028480921,1510.33178711
35.6223047711,-83.3028293921,1509.30773926
35.6223938701,-83.3028871921,1509.96459961
35.6224283701,-83.3029653922,1511.46643066
35.6224790721,-83.3031434922,1514.6998291
35.6224863711,-83.3032320923,1514.80786133
35.6225385721,-83.3033328923,1515.0234375
35.6226095701,-83.3033900923,1516.19689941
35.6227088722,-83.3033819923,1518.15930176
35.6231352703,-83.3032395923,1523.9831543
35.6232077723,-83.3032195923,1525.48205566
35.6233780723,-83.3032686923,1526.8359375
35.6237621714,-83.3034562924,1528.22595215
35.6240568724,-83.3035972925,1526.98388672
35.6242179725,-83.3036570925,1525.17883301
35.6244587715,-83.3037964925,1525.07250977
35.6246017725,-83.3038557926,1523.50927734
35.6246904716,-83.3039355926,1523.08728027
35.6248251726,-83.3039616926,1522.32446289
35.6250574726,-83.3040676927,1521.14160156
35.6253164717,-83.3041965927,1518.97119141
35.6255730707,-83.3044468928,1517.6072998
35.6259109718,-83.3046883929,1520.21520996
35.6261679718,-83.304916593,1523.88305664
35.6263456719,-83.305054193,1522.49804688
35.6265599719,-83.3051596931,1521.50183105
35.6268530719,-83.3053888931,1522.99230957
35.627175073,-83.3055195932,1525.04455566
35.6277025721,-83.3057445933,1529.27453613
35.6278179721,-83.3058361933,1531.74133301
35.6278812721,-83.3058269933,1533.50549316
35.6280809722,-83.3057553933,1536.88806152
35.6281813732,-83.3056920933,1537.43640137
35.6282733722,-83.3055953933,1538.59448242
35.6283732723,-83.3055540933,1540.50646973
35.6285450733,-83.3055258933,1542.90673828
35.6287087713,-83.3054532933,1545.11230469
35.6290464724,-83.3052310932,1547.44494629
35.6292941735,-83.3050063932,1547.92016602
35.6294131715,-83.3049103932,1547.54797363
35.6295583725,-83.3048593931,1546.6640625
35.6297211736,-83.3048309932,1545.63989258
