lat,lng,ele
35.6632073697,-83.5263986601,573.407043457
35.6631952707,-83.5264794602,573.69317627
35.6631914707,-83.5265610602,576.308837891
35.6632052707,-83.5266412602,576.965637207
35.6632369717,-83.5266994602,577.466064453
35.6632750697,-83.5267538602,578.657165527
35.6633194717,-83.5268137603,579.870727539
35.6633658697,-83.5268722603,579.772766113
35.6634064698,-83.5269347603,578.606750488
35.6634437718,-83.5270173603,578.432189941
35.6634749708,-83.5271025604,579.08404541
35.6635014708,-83.5271680604,579.768249512
35.6635172718,-83.5272364604,580.449707031
35.6635034708,-83.5273035604,580.55090332
35.6634784708,-83.5273677604,579.425476074
35.6634495697,-83.5274404605,577.56427002
35.6634123707,-83.5275092605,577.284057617
35.6633476707,-83.5275845605,579.415222168
35.6633141707,-83.5276247605,580.163696289
35.6632917707,-83.5276711605,580.734802246
35.6633259707,-83.5277605605,580.452209473
35.6632909717,-83.5278228606,581.312133789
35.6632335697,-83.5278681606,581.655700684
35.6631599717,-83.5278799606,583.169433594
35.6630843706,-83.5278699606,584.993835449
35.6630166706,-83.5278944606,585.57220459
35.6629964706,-83.5279476606,586.621459961
35.6629873716,-83.5280039606,587.838256836
35.6630025706,-83.5280858606,588.589904785
35.6630390706,-83.5281615606,589.288452148
35.6630725706,-83.5282385607,589.932800293
35.6630916696,-83.5283170607,590.738220215
35.6631143696,-83.5283945607,592.370788574
35.6631619696,-83.5284642607,593.228942871
35.6632202707,-83.5285257608,593.098022461
35.6632633707,-83.5285980608,593.317932129
35.6632745707,-83.5286748608,594.278991699
35.6632729707,-83.5287525608,595.562255859
35.6632674706,-83.5288301609,596.826904297
35.6632623706,-83.5289042609,597.287475586
35.6632535716,-83.5289780609,597.609375
35.6632357696,-83.5290500609,598.091918945
35.6632040716,-83.5291201609,598.858764648
35.6631625696,-83.529184861,599.657348633
35.6631145716,-83.529245061,599.97265625
35.6630500696,-83.529305161,600.481384277
35.6629776706,-83.529355661,601.284790039
35.6629038706,-83.529404061,602.178894043
35.6628280705,-83.529447561,603.67364502
35.6627576695,-83.529498861,605.547058105
35.6627072705,-83.529575861,607.097290039
35.6626726695,-83.5296613611,608.436401367
35.6626442705,-83.5297492611,609.443847656
35.6626272695,-83.5298297611,609.776672363
35.6626154695,-83.5299113611,609.666564941
35.6625940695,-83.5299907612,610.706298828
35.6625570705,-83.5300642612,612.397583008
35.6625099694,-83.5301316612,613.249145508
35.6624406694,-83.5301949612,613.935791016
35.6623633704,-83.5302484612,615.014648438
35.6623038694,-83.5302813612,615.962158203
35.6622428694,-83.5303113612,617.060058594
35.6621897694,-83.5303534612,617.844299316
35.6621528704,-83.5304188613,618.15447998
35.6621149693,-83.5304836613,618.569152832
35.6620300703,-83.5305277613,621.026489258
35.6619419703,-83.5305665613,621.79675293
35.6619034693,-83.5306024613,622.688171387
35.6618682693,-83.5306415613,624.539916992
35.6618229703,-83.5306994613,625.960205078
35.6617827703,-83.5307610613,626.651489258
35.6617471693,-83.5308254614,627.066101074
35.6617092702,-83.5309053614,627.734924316
35.6616806692,-83.5309890614,629.672302246
35.6616665712,-83.5310654614,631.333679199
35.6616613702,-83.5311430614,631.804321289
35.6616667702,-83.5312205615,631.566467285
35.6616840702,-83.5312905615,631.823791504
35.6617107702,-83.5313575615,633.640075684
35.6617436692,-83.5314217615,635.824401855
35.6617917702,-83.5314837615,637.218200684
35.6618470702,-83.5315397616,637.765869141
35.6618930703,-83.5316032616,638.104675293
35.6619183713,-83.5316682616,638.741394043
35.6619361703,-83.5317358616,639.433898926
35.6619519713,-83.5318038616,640.351196289
35.6619679693,-83.5318965617,641.291381836
35.6619799703,-83.5319897617,642.647766113
35.6620001713,-83.5320815617,643.479614258
35.6620251693,-83.5321564618,643.805603027
35.6620602713,-83.5322270618,644.705993652
35.6620968703,-83.5322699618,645.760803223
35.6621396703,-83.5323068618,646.908630371
35.6622225703,-83.5323469618,648.302612305
35.6623094703,-83.5323784618,649.665771484
35.6624009713,-83.5324144619,650.995056152
35.6624786693,-83.5324721619,652.207397461
35.6625080693,-83.5325365619,652.895812988
35.6625209703,-83.5326060619,653.473388672
35.6625112693,-83.5326729619,654.380004883
35.6624911693,-83.532737662,655.480651855
35.6624557703,-83.532825862,656.899658203
35.6624153713,-83.532911962,658.264160156
35.6623879703,-83.532977862,659.274414062
35.6623585703,-83.533042862,660.11315918
35.6623247703,-83.5331027621,660.835571289
35.6622869693,-83.5331602621,661.780212402
35.6622467703,-83.5332160621,662.739624023
35.6621803702,-83.5332809621,664.196838379
35.6621095692,-83.5333413621,665.775085449
35.6620621712,-83.5334200621,667.317077637
35.6620644712,-83.5335084622,667.914978027
35.6620674702,-83.5335969622,668.607055664
35.6620356712,-83.5336812622,670.15447998
35.6619918712,-83.5337602622,671.308532715
35.6619512712,-83.5338251622,672.059814453
35.6619075692,-83.5338881623,673.041625977
35.6618706702,-83.5339551623,674.063598633
35.6618471691,-83.5340319623,674.838195801
35.6618223701,-83.5341082623,675.771911621
35.6617677701,-83.5341880623,677.388793945
35.6616982691,-83.5342557624,679.272705078
35.6616284701,-83.5343230624,681.020690918
35.6615641701,-83.5343931624,682.447021484
35.6614992701,-83.5344625624,683.920837402
35.66144047,-83.5345341624,685.142150879
35.661384769,-83.5346081624,686.43572998
35.66132227,-83.5346764625,687.378417969
35.66124147,-83.5347194625,688.940307617
35.66118297,-83.5347191625,689.978210449
35.66112447,-83.5347157625,691.151489258
35.661051769,-83.5347285625,692.464599609
35.6609795699,-83.5347443625,693.804260254
35.6608984699,-83.5347547625,694.849060059
35.6608169699,-83.5347612624,695.797729492
35.6607378709,-83.5347585624,696.896057129
35.6606592709,-83.5347486624,698.160461426
35.6605802709,-83.5347424624,699.54486084
35.6605017688,-83.5347513624,700.579650879
35.6604172698,-83.5347815624,701.721862793
35.6603379698,-83.5348234624,703.410095215
35.6602797698,-83.5348655624,704.76550293
35.6602257698,-83.5349131625,705.622436523
35.6601727698,-83.5349618625,706.825622559
35.6601121687,-83.5350054625,708.04510498
35.6600513707,-83.5350487625,709.160522461
35.6600164697,-83.5351114625,710.335021973
35.6600468697,-83.5351701625,711.348510742
35.6600861697,-83.5352241625,712.09576416
35.6601170697,-83.5352668626,712.562744141
35.6601383687,-83.5353141626,712.743225098
35.6601179687,-83.5353669626,713.229125977
35.6600821687,-83.5354117626,713.735900879
35.6600297697,-83.5354520626,714.979919434
35.6599724707,-83.5354856626,716.344055176
35.6598917697,-83.5355337626,717.991516113
35.6598124697,-83.5355840626,719.532592773
35.6597525706,-83.5356553626,720.313476562
35.6597280686,-83.5357251627,720.99810791
35.6597135706,-83.5357977627,722.143981934
35.6597169696,-83.5358867627,723.193481445
35.6597316696,-83.5359748627,723.955078125
35.6597259696,-83.5360631628,724.931518555
35.6596825706,-83.5361335628,726.075195312
35.6596240696,-83.5361924628,726.891296387
35.6595519686,-83.5362445628,727.652038574
35.6594690696,-83.5362759628,728.779052734
35.6593871695,-83.5362705628,729.846313477
35.6593074685,-83.5362487628,730.901367188
35.6592407695,-83.5362232628,732.135009766
35.6591732685,-83.5362003628,733.666687012
35.6591101695,-83.5361899628,734.831787109
35.6590471695,-83.5361963628,736.068664551
35.6589738695,-83.5362492628,737.682922363
35.6589381695,-83.5362934628,738.174377441
35.6588999704,-83.5363352628,738.690917969
35.6588495694,-83.5363490628,739.909484863
35.6588001694,-83.5363652628,740.849243164
35.6587660684,-83.5364104628,741.080627441
35.6587439704,-83.5364628628,741.714660645
35.6587378694,-83.5365508628,742.496826172
35.6587402694,-83.5366394629,742.864990234
35.6587336694,-83.5367115629,743.456787109
35.6587192694,-83.5367823629,744.156677246
35.6586869694,-83.5368503629,745.083312988
35.6586443684,-83.5369125629,745.653991699
