lat,lng,ele
35.6128346715,-83.242979474,1338.94152832
35.6128927715,-83.243042374,1339.49645996
35.6129679715,-83.243082574,1340.5645752
35.6130670725,-83.243085374,1342.08862305
35.6131514726,-83.243036674,1344.01574707
35.6132313726,-83.242979574,1345.9786377
35.6133219716,-83.242954274,1347.73510742
35.6134125726,-83.242929374,1349.3145752
35.6134922716,-83.242885574,1350.66015625
35.6135675727,-83.242834374,1351.6529541
35.6136377717,-83.242785174,1352.32788086
35.6137061717,-83.242733374,1353.16308594
35.6137695727,-83.242675774,1353.61694336
35.6138241727,-83.2426097739,1353.99926758
35.6138596727,-83.2425412739,1354.2767334
35.6138890727,-83.2424698739,1354.55773926
35.6139271707,-83.2424028739,1355.03039551
35.6139744708,-83.2423513739,1355.79443359
35.6140281708,-83.2423063739,1356.92785645
35.6140937718,-83.2422646739,1358.39025879
35.6141647718,-83.2422328738,1359.8782959
35.6142391718,-83.2422180738,1361.52490234
35.6143151708,-83.2422147739,1364.12438965
35.6143906718,-83.2422060739,1366.61218262
35.6144731719,-83.2421837739,1369.21630859
35.6145538709,-83.2421554738,1371.33996582
35.6146265719,-83.2421243738,1372.84851074
35.6147255719,-83.2421235739,1374.03125
35.6148247729,-83.2421298739,1375.43188477
35.614915273,-83.2421102739,1377.13110352
35.614973672,-83.2421199739,1378.28149414
35.615032173,-83.2421246739,1379.32495117
35.615085873,-83.2420924739,1380.74743652
35.615132672,-83.2420501739,1381.33435059
35.615178573,-83.2420072738,1382.10705566
35.615244872,-83.2419901738,1383.7565918
35.615314171,-83.2419889738,1386.5032959
35.6153731731,-83.2419880738,1388.55541992
35.6154314711,-83.2419811738,1390.36010742
35.6154972711,-83.2419419738,1391.9465332
35.6155592711,-83.2418964738,1393.27636719
35.6156185721,-83.2418659738,1394.96081543
35.6156795721,-83.2418390738,1396.90869141
35.6157410731,-83.2418132738,1398.08862305
35.6158324732,-83.2417784738,1399.98571777
35.6159226722,-83.2417410738,1400.94140625
35.6159836712,-83.2417110738,1401.12988281
35.6160427712,-83.2416775738,1401.35107422
35.6160959722,-83.2416354738,1402.28112793
35.6161512722,-83.2415707738,1403.1171875
35.6162261733,-83.2415446738,1402.86914062
35.6163051713,-83.2415309738,1404.83166504
35.6163956723,-83.2414971738,1407.34130859
35.6164780713,-83.2414474738,1408.38964844
35.6165351733,-83.2413730737,1409.41394043
35.6165890723,-83.2412959737,1409.5958252
35.6166485724,-83.2412449737,1409.11621094
35.6167154734,-83.2412037737,1408.8704834
35.6167828734,-83.2411635737,1407.95568848
35.6168447724,-83.2411154737,1406.58544922
35.6169058724,-83.2410457737,1405.3248291
35.6169614724,-83.2409714736,1405.08154297
35.6170200714,-83.2408995736,1405.32714844
35.6170730735,-83.2408437736,1405.71032715
35.6171281725,-83.2407900736,1406.58032227
35.6171853725,-83.2407385736,1407.26574707
35.6172500735,-83.2406799736,1408.04748535
35.6173225725,-83.2406319736,1408.28051758
35.6173855735,-83.2406213736,1408.4753418
35.6174490725,-83.2406134736,1408.65771484
35.6175259716,-83.2405847736,1409.50036621
35.6175946716,-83.2405402736,1410.30969238
35.6176378726,-83.2404875735,1410.93249512
35.6176777716,-83.2404321735,1411.10424805
35.6177268726,-83.2403769735,1411.58630371
35.6177789726,-83.2403245735,1411.74572754
35.6178522716,-83.2402603735,1412.34326172
35.6179425727,-83.2402518735,1413.3392334
35.6180055737,-83.2402448735,1413.87512207
35.6180688737,-83.2402443735,1413.88659668
35.6181585727,-83.2402689735,1415.04138184
35.6182298727,-83.2403150735,1416.09338379
35.6182858737,-83.2403744735,1416.66394043
35.6183356727,-83.2404394736,1416.64343262
35.6183709717,-83.2404846736,1416.9642334
35.6184021737,-83.2405550736,1417.28540039
35.6184222727,-83.2406295736,1417.79602051
35.6184331737,-83.2407140737,1417.97473145
35.6184354717,-83.2407993737,1418.10522461
35.6184446737,-83.2408840737,1417.95019531
35.6184579727,-83.2409591737,1417.17419434
35.6184869717,-83.2410287738,1416.04382324
35.6185764718,-83.2410644738,1414.10449219
35.6186300738,-83.2410526738,1412.10510254
35.6186763738,-83.2410230738,1410.49304199
35.6187079728,-83.2409821738,1409.58081055
35.6187320718,-83.2409362737,1409.26159668
35.6187534718,-83.2408824737,1409.16137695
35.6187701728,-83.2408269737,1408.41442871
35.6187869738,-83.2407615737,1407.36669922
35.6187996728,-83.2406952737,1406.63562012
35.6188044728,-83.2406254737,1405.55078125
35.6188049718,-83.2405553736,1404.27832031
35.6188125738,-83.2404858736,1403.24169922
35.6188370728,-83.2404079736,1402.03857422
35.6188695729,-83.2403329736,1401.24987793
35.6189057729,-83.2402748736,1400.28222656
35.6189348729,-83.2402133735,1399.03344727
35.6189364729,-83.2401250735,1397.61889648
35.6189110719,-83.2400766735,1397.33691406
35.6188750729,-83.2400350735,1396.86816406
35.6188289729,-83.2399969735,1396.01123047
35.6187863719,-83.2399552735,1394.94445801
35.6187642738,-83.2398955734,1393.59118652
35.6187526728,-83.2398328734,1392.66027832
35.6187462729,-83.2397667734,1392.12280273
35.6187460739,-83.2397002734,1390.95251465
35.6187510729,-83.2396335734,1390.0012207
35.6187613739,-83.2395674733,1389.18273926
35.6187768729,-83.2395023733,1388.3659668
35.6188048739,-83.2394183733,1387.41564941
35.6188430729,-83.2393386733,1387.0892334
35.6188810729,-83.2392818733,1387.0435791
35.6189261729,-83.2392305732,1387.5369873
35.6189926729,-83.2391913732,1388.95690918
35.6190539729,-83.2391457732,1390.08764648
35.6190730719,-83.2390911732,1390.26306152
35.619092073,-83.2390364732,1389.93859863
35.619164374,-83.2389866732,1390.35473633
35.619246874,-83.2389524732,1391.27185059
35.619315473,-83.2389050732,1391.75439453
35.619381573,-83.2388539732,1392.37524414
35.619447972,-83.2388034732,1393.59851074
35.619503273,-83.2387652731,1394.60510254
35.6195588721,-83.2387273731,1394.69812012
35.6196123731,-83.2386866731,1395.08605957
35.6196758731,-83.2386280731,1395.63244629
35.6197345721,-83.2385646731,1395.67346191
35.6197900731,-83.2384984731,1395.34802246
35.6198439731,-83.2384309731,1394.93029785
35.6198977731,-83.2383633731,1394.98132324
35.6199526732,-83.238293073,1394.69372559
35.6200057732,-83.238221373,1394.3605957
35.6200575732,-83.238148773,1394.36950684
35.6201087742,-83.238075773,1394.38439941
35.6201601732,-83.238002873,1394.39196777
35.6202123722,-83.2379305729,1394.82678223
35.6202651732,-83.2378594729,1394.85864258
35.6203185733,-83.2377887729,1395.00476074
35.6203721723,-83.2377182729,1394.83068848
35.6204256733,-83.2376477729,1394.79406738
35.6204786733,-83.2375768729,1395.7911377
35.6205309723,-83.2375053728,1396.97009277
35.6205821723,-83.2374330728,1398.03649902
35.6206310733,-83.2373660728,1398.60888672
35.6206793733,-83.2372986728,1398.62744141
35.6207211724,-83.2372271728,1398.60961914
35.6207551734,-83.2371400727,1399.36181641
35.6207875744,-83.2370523727,1400.15637207
35.6208284744,-83.2369704727,1400.79345703
35.6208748724,-83.2368915727,1401.00402832
35.6209241734,-83.2368143727,1401.80603027
35.6209736734,-83.2367373726,1402.28076172
35.6210187734,-83.2366636726,1402.6776123
35.6210633745,-83.2365896726,1403.26855469
35.6211095735,-83.2365166726,1404.2109375
35.6211593735,-83.2364460726,1404.90380859
35.6212146735,-83.2363797725,1405.46813965
35.6212789735,-83.2363153725,1406.29333496
35.6213514735,-83.2362952725,1407.12634277
