lat,lng,ele
35.4835760375,-83.3969838116,1054.49487305
35.4836275375,-83.3969268115,1054.61743164
35.4836829386,-83.3968737115,1054.64379883
35.4837423386,-83.3968249115,1054.71765137
35.4838054396,-83.3967812115,1055.04150391
35.4838700376,-83.3967458115,1055.30163574
35.4839374396,-83.3967161115,1055.68554688
35.4840056386,-83.3966880115,1055.92272949
35.4840788387,-83.3966620115,1056.21496582
35.4841527387,-83.3966379115,1056.20288086
35.4842236387,-83.3966063115,1056.59350586
35.4842898387,-83.3965584115,1057.0291748
35.4843493397,-83.3965021115,1056.97973633
35.4844078397,-83.3964449115,1056.75598145
35.4844712387,-83.3963932114,1056.75292969
35.4845530378,-83.3963422114,1056.67089844
35.4846383378,-83.3962971114,1055.63671875
35.4847263388,-83.3962575114,1055.05334473
35.4848020388,-83.3962306114,1053.41186523
35.4848794388,-83.3962092114,1052.55200195
35.4849573389,-83.3961895114,1052.20495605
35.4850346379,-83.3961675114,1051.29833984
35.4851036379,-83.3961419114,1050.40075684
35.4851723379,-83.3961154114,1049.27526855
35.4852433379,-83.3960965114,1047.9251709
35.4853199399,-83.3960924114,1046.85778809
35.4853967379,-83.3960901114,1045.74414062
35.485469639,-83.3960761114,1046.50146484
35.48554144,-83.3960572114,1046.36669922
35.485614038,-83.3960414114,1045.97338867
35.485694939,-83.3960279114,1045.64343262
35.48577664,-83.3960242114,1045.85351562
35.485859339,-83.3960417114,1045.85693359
35.4859379391,-83.3960731114,1045.69006348
35.4860010381,-83.3961095114,1045.60095215
35.4860595381,-83.3961530115,1045.27746582
35.4861156391,-83.3961996115,1044.70349121
35.4861731391,-83.3962548115,1043.80981445
35.4862273391,-83.3963133115,1042.64355469
35.4862835381,-83.3963699115,1041.55810547
35.4863342391,-83.3964186116,1040.56066895
35.4863899381,-83.3964612116,1038.92822266
35.4864558382,-83.3964843116,1038.08691406
35.4865244402,-83.3964983116,1037.60766602
35.4866080392,-83.3965136116,1035.81774902
35.4866922402,-83.3965249116,1035.1529541
35.4867760382,-83.3965388116,1033.64990234
35.4868569392,-83.3965592116,1032.46191406
35.4869371393,-83.3965819116,1031.61901855
35.4870182383,-83.3966011117,1031.50036621
35.4871020393,-83.3966124117,1030.93078613
35.4871862393,-83.3966198117,1029.89953613
35.4872700403,-83.3966306117,1028.47351074
35.4873547403,-83.3966524117,1027.12634277
35.4874405394,-83.3966688117,1026.23925781
35.4875366384,-83.3966635117,1025.26342773
35.4876303394,-83.3966414117,1024.02392578
35.4877067394,-83.3966032117,1023.24121094
35.4877753384,-83.3965520117,1022.19036865
35.4878422394,-83.3964985117,1021.17596436
35.4879136405,-83.3964514117,1019.58343506
35.4879725385,-83.3964199117,1018.36779785
35.4880326385,-83.3963908116,1017.03973389
35.4880955405,-83.3963686116,1016.15161133
35.4881677405,-83.3963594116,1015.14727783
35.4882401395,-83.3963509116,1014.015625
35.4883071385,-83.3963240116,1013.06103516
35.4883713406,-83.3962904116,1012.35388184
35.4884400406,-83.3962686116,1011.28387451
35.4885171386,-83.3962698116,1010.53308105
35.4885929396,-83.3962842117,1010.47271729
35.4886731396,-83.3963230117,1010.40197754
35.4887437396,-83.3963782117,1009.73303223
35.4888146386,-83.3964329117,1008.84942627
35.4888957407,-83.3964695117,1007.97039795
35.4889767397,-83.3964732117,1007.40856934
35.4890579397,-83.3964744117,1006.71917725
35.4891447387,-83.3965046117,1005.78735352
35.4892277397,-83.3965448118,1004.42004395
35.4893176387,-83.3965592118,1003.77264404
35.4893899398,-83.3965369118,1002.81738281
35.4894541388,-83.3964971118,1001.77044678
35.4895063398,-83.3964366117,1000.81634521
35.4895469398,-83.3963676117,999.760559082
35.4895749388,-83.3962878117,998.516296387
35.4895872398,-83.3962039117,997.837158203
35.4895924408,-83.3961193117,997.047729492
35.4895976388,-83.3960347116,996.402954102
35.4896092398,-83.3959507116,995.97088623
35.4896334388,-83.3958598116,995.497192383
35.4896599388,-83.3957695116,995.203491211
35.4896778389,-83.3956772115,995.112976074
35.4896811399,-83.3955963115,994.796875
35.4896781389,-83.3955154115,994.529785156
35.4896736389,-83.3954346115,993.656860352
35.4896658399,-83.3953683114,993.426269531
35.4896568399,-83.3953022114,993.660827637
35.4896595409,-83.3952358114,991.40246582
35.4896934409,-83.3951469114,993.59765625
35.4897529389,-83.3950732114,993.519714355
35.4898369409,-83.3950543114,993.407714844
35.4899245389,-83.3950563114,993.439208984
35.49001984,-83.3950427114,993.196044922
35.49011474,-83.3950266114,992.090759277
35.49021064,-83.3950218114,989.859191895
35.49030334,-83.3950455114,987.635192871
35.49034974,-83.3950715114,986.549377441
35.490392341,-83.3951032114,985.647705078
35.49044174,-83.3951683114,984.61920166
35.49047534,-83.3952432115,983.530456543
35.49050474,-83.3953199115,982.765686035
35.490539739,-83.3953942115,982.046020508
35.4905757401,-83.3954611115,981.490722656
35.4906133401,-83.3955272115,980.999145508
35.4906621391,-83.3955852116,980.263916016
35.4907333411,-83.3956314116,979.311584473
35.4908063401,-83.3955894116,978.145324707
35.4908670401,-83.3955350116,976.568908691
35.4909211401,-83.3954738115,975.06262207
35.4909809401,-83.3954183115,973.628967285
35.4910583412,-83.3953764115,972.978027344
35.4911358402,-83.3953347115,972.180786133
35.4911837402,-83.3952999115,971.433776855
35.4912275402,-83.3952603115,970.631652832
35.4912690392,-83.3952071115,969.589172363
35.4913030402,-83.3951488115,968.524902344
35.4913301402,-83.3950870115,967.566589355
35.4913446402,-83.3950139114,967.238830566
35.4913512402,-83.3949394114,967.128295898
35.4913706392,-83.3948677114,963.422546387
35.4914202403,-83.3948037114,965.730895996
35.4914811413,-83.3947498114,964.833679199
35.4915449403,-83.3947064114,963.862915039
35.4916137403,-83.3946711114,962.378356934
35.4916817403,-83.3946345113,960.500976562
35.4917462403,-83.3945931113,958.977294922
35.4918098403,-83.3945504113,956.882751465
35.4918735404,-83.3945079113,954.866271973
35.4919472404,-83.3944547113,953.216796875
35.4920210394,-83.3944015113,952.192199707
35.4921018394,-83.3943604113,950.967956543
35.4921910394,-83.3943385113,949.549438477
35.4922826415,-83.3943327113,947.615356445
35.4923739405,-83.3943554113,946.655883789
35.4924604395,-83.3943936113,945.465942383
35.4925513405,-83.3944178113,944.286071777
35.4926377415,-83.3944152113,944.549865723
35.4927229405,-83.3944009113,944.297058105
