lat,lng,ele
35.4729815364,-83.421011418,607.596435547
35.4729926354,-83.420922718,607.83605957
35.4730093364,-83.4208350179,607.999755859
35.4730318354,-83.4207485179,608.090759277
35.4730615354,-83.4206631179,608.214111328
35.4730972364,-83.4205799179,608.393737793
35.4731360354,-83.4204982178,607.961975098
35.4731767354,-83.4204116178,607.756896973
35.4732205365,-83.4203265178,607.968383789
35.4732762345,-83.4202489178,607.821228027
35.4733526345,-83.4201888178,606.271484375
35.4734318365,-83.4201324177,608.02557373
35.4734846345,-83.4200756177,607.989135742
35.4735337365,-83.4200156177,607.886047363
35.4735885356,-83.4199608177,608.306884766
35.4736689366,-83.4199185177,608.756530762
35.4737571366,-83.4198951177,608.69909668
35.4738451356,-83.4198712177,609.737487793
35.4739248356,-83.4198276177,610.070251465
35.4739871356,-83.4197656177,610.046691895
35.4740445347,-83.4196990177,610.753479004
35.4740946367,-83.4196383176,611.306396484
35.4741426347,-83.4195758176,611.509460449
35.4741900357,-83.4195130176,611.526062012
35.4742388347,-83.4194512176,611.577148438
35.4743044357,-83.4193768176,611.897644043
35.4743711347,-83.4193034176,612.696838379
35.4744326358,-83.4192256175,613.754272461
35.4744732358,-83.4191571175,613.715087891
35.4745104348,-83.4190866175,613.319458008
35.4745539348,-83.4190199175,613.585693359
35.4746039358,-83.4189647175,614.314025879
35.4746592358,-83.4189148175,614.480651855
35.4747192358,-83.4188706175,614.38470459
35.4748077358,-83.4188327174,614.091186523
35.4748921359,-83.4187876174,614.023010254
35.4749389369,-83.4187318174,614.133361816
35.4749756359,-83.4186689174,614.553894043
35.4749971369,-83.4185886174,615.45880127
35.4750015359,-83.4185052174,616.319458008
35.4750041369,-83.4184217173,616.36706543
35.4750183359,-83.4183396173,616.651245117
35.4750421359,-83.4182760173,616.317138672
35.4750709369,-83.4182146173,616.168762207
35.4751031359,-83.4181548173,616.12109375
35.4751425369,-83.4180910173,615.936767578
35.475186236,-83.4180299172,615.82244873
35.475233035,-83.4179713172,615.870300293
35.475279836,-83.4179191172,615.825378418
35.475329336,-83.4178695172,615.934936523
35.475380335,-83.4178215172,616.059997559
35.475446336,-83.4177595172,615.559936523
35.475517936,-83.4177044172,615.34588623
35.4755941351,-83.4176713172,615.901672363
35.4756723361,-83.4176429172,614.989685059
35.4757366371,-83.4176128171,613.233642578
35.4757998361,-83.4175806171,615.356628418
