lat,lng,ele
35.6232222515,-83.800461038,976.337280273
35.6232411515,-83.800368738,976.913452148
35.6232642515,-83.8002775379,977.690002441
35.6232917526,-83.8001874379,978.09588623
35.6233270516,-83.8000956379,978.928344727
35.6233671516,-83.8000057379,979.46875
35.6234061526,-83.7999154378,980.330078125
35.6234340506,-83.7998387378,980.817016602
35.6234598526,-83.7997613378,981.540649414
35.6234875516,-83.7996846378,982.088500977
35.6235214516,-83.7996104378,982.638305664
35.6235606506,-83.7995484377,983.37298584
35.6236038516,-83.7994890377,984.245483398
35.6236429517,-83.7994269377,984.755554199
35.6236791507,-83.7993365377,984.833068848
35.6237084517,-83.7992434377,984.685302734
35.6237484527,-83.7991547376,984.833129883
35.6238030517,-83.7990844376,985.229858398
35.6238668517,-83.7990221376,985.69921875
35.6239331527,-83.7989624376,986.036437988
35.6239883518,-83.7989165376,986.509643555
35.6240451518,-83.7988725376,987.428710938
35.6240986518,-83.7988247376,988.081176758
35.6241443518,-83.7987730376,988.620727539
35.6241868518,-83.7987186375,989.413269043
35.6242285508,-83.7986636375,990.233337402
35.6242801518,-83.7985969375,991.402099609
35.6243306518,-83.7985293375,992.652160645
35.6243774509,-83.7984591375,993.86315918
35.6244145509,-83.7983863375,995.039489746
35.6244482519,-83.7983119374,995.935058594
35.6244906519,-83.7982422374,996.25
35.6245621529,-83.7981763374,996.260009766
35.6246378529,-83.7981149374,996.059692383
35.6246911519,-83.7980638374,995.422302246
35.6247394529,-83.7980080374,994.998657227
35.624777452,-83.7979511374,994.883422852
35.624805353,-83.7978889373,994.923278809
35.624813852,-83.7978010373,994.476318359
35.624809453,-83.7977124373,994.139038086
35.624805252,-83.7976291373,994.237182617
35.624795252,-83.7975464372,994.971496582
35.624774552,-83.7974684372,995.458129883
35.624753853,-83.7973904372,996.103393555
35.624743752,-83.7973021372,997.260070801
35.624739952,-83.7972133371,998.828796387
35.624737452,-83.7971249371,1000.21099854
35.624744051,-83.7970368371,1000.96862793
35.624766252,-83.7969652371,1001.20916748
35.624792352,-83.796894937,1001.53857422
35.624817652,-83.796802137,1001.34222412
35.624841753,-83.796709037,1000.91766357
35.624866653,-83.796633137,1000.95666504
35.624892351,-83.796557437,1001.22259521
35.624910251,-83.7964796369,1001.62774658
35.624913252,-83.7963986369,1001.63977051
35.624908452,-83.7963176369,1001.86883545
35.624906953,-83.7962365369,1002.8583374
35.6249095511,-83.7961626368,1004.1328125
35.6249147521,-83.7960888368,1005.38635254
35.6249300511,-83.7960165368,1006.59417725
35.6249645511,-83.7959363368,1007.42144775
35.6250146531,-83.7958649368,1007.73339844
35.6250659521,-83.7958228367,1008.40942383
35.6251245531,-83.7957915367,1009.33184814
35.6251822521,-83.7957717367,1010.20343018
35.6252424521,-83.7957625367,1011.18328857
35.6253011521,-83.7957676367,1011.92993164
35.6253592512,-83.7957776368,1012.27270508
35.6254249532,-83.7957893368,1012.47119141
35.6254908532,-83.7958003368,1012.71844482
35.6255570512,-83.7957955368,1012.72503662
35.6256308512,-83.7957623368,1012.53662109
35.6256942522,-83.7957120368,1012.16418457
35.6257334512,-83.7956595367,1011.75775146
35.6257688533,-83.7956042367,1011.34277344
35.6258218523,-83.7955355367,1012.00457764
35.6258712523,-83.7954642367,1012.53094482
35.6259077523,-83.7953895367,1012.66607666
35.6259378523,-83.7953120367,1012.56933594
35.6259647533,-83.7952252366,1012.82592773
35.6259869523,-83.7951371366,1013.38439941
35.6260021533,-83.7950658366,1014.03674316
35.6260173523,-83.7949946366,1014.68029785
