lat,lng,ele
35.6434033644,-83.5834269757,
35.6433611643,-83.5834945757,
35.6433206653,-83.5835632757,
35.6432817643,-83.5836328757,
35.6432450643,-83.5837094757,
35.6432101633,-83.5837869758,
35.6431686643,-83.5838610758,
35.6431121643,-83.5839339758,
35.6430485643,-83.5840007758,
35.6429872642,-83.5840523758,
35.6429207642,-83.5840971758,
35.6428519642,-83.5841384758,
35.6427832642,-83.5841798759,
35.6427092652,-83.5842289759,
35.6426345632,-83.5842768759,
35.6425549631,-83.5843160759,
35.6424604641,-83.5843415759,
35.6423631651,-83.5843537759,
35.6422654631,-83.5843619759,
35.6421792641,-83.5843686759,
35.6420928631,-83.5843723759,
35.642006364,-83.5843728759,
35.641919864,-83.5843701759,
35.641833663,-83.5843642759,
35.641747665,-83.5843550758,
35.641662063,-83.5843425758,
35.6415691639,-83.5843220758,
35.6414770629,-83.5842978758,
35.6413839649,-83.5842783758,
35.6412852629,-83.5842679758,
35.6411860639,-83.5842629758,
35.6410869638,-83.5842577758,
35.6409999638,-83.5842506758,
35.6409130638,-83.5842434758,
35.6408259648,-83.5842383758,
35.6407268638,-83.5842383757,
35.6406276638,-83.5842411757,
35.6405285637,-83.5842397757,
35.6404451637,-83.5842298757,
35.6403625647,-83.5842147757,
35.6402797637,-83.5842010757,
35.6401959637,-83.5841959757,
35.6401079626,-83.5842028757,
35.6400207636,-83.5842165757,
35.6399337626,-83.5842316757,
35.6398494636,-83.5842480757,
35.6397653626,-83.5842658757,
35.6396804636,-83.5842786757,
35.6396023625,-83.5842849757,
35.6395240625,-83.5842869757,
35.6394459635,-83.5842821757,
35.6393552645,-83.5842614757,
35.6392669635,-83.5842316757,
35.6391771635,-83.5842072756,
35.6390895634,-83.5841984756,
35.6390014644,-83.5841978756,
35.6389134634,-83.5841964756,
35.6388261634,-83.5841849756,
35.6387357634,-83.5841553756,
35.6386478633,-83.5841186756,
35.6385578643,-83.5840879756,
35.6384673633,-83.5840722756,
35.6383756633,-83.5840669756,
35.6382838633,-83.5840679756,
35.6381920623,-83.5840714755,
35.6381001632,-83.5840734755,
35.6380083632,-83.5840702755,
35.6379183632,-83.5840507755,
35.6378284632,-83.5840534755,
35.6377704642,-83.5841296755,
35.6377258632,-83.5842157756,
35.6376891631,-83.5842737756,
35.6376521631,-83.5843316756,
35.6376139621,-83.5843887756,
35.6375620641,-83.5844616756,
35.6375082631,-83.5845331756,
35.6374516631,-83.5846024757,
35.6373915631,-83.5846686757,
35.637324362,-83.5847345757,
35.637253563,-83.5847967757,
