lat,lng,ele
35.5050149301,-83.7229579083,903.039794922
35.5050671301,-83.7228777083,901.999816895
35.5051263311,-83.7228026082,901.521362305
35.5051913302,-83.7227324082,899.956176758
35.5052509302,-83.7226811082,899.367553711
35.5053142312,-83.7226343082,898.571228027
35.5053749302,-83.7225843082,897.886413574
35.5054364292,-83.7225138082,896.534606934
35.5054878292,-83.7224354082,895.202575684
35.5055340302,-83.7223539081,894.175415039
35.5055793303,-83.7222718081,893.201538086
35.5056281293,-83.7221918081,891.929443359
35.5056853293,-83.7221177081,891.123413086
35.5057564303,-83.7220571081,889.68951416
35.5058189293,-83.7220321081,889.268310547
35.5058836303,-83.7220129081,888.975158691
35.5059385303,-83.721975008,888.352783203
35.5059761314,-83.721908008,887.025024414
35.5059958304,-83.721833708,886.094238281
35.5059948304,-83.721766608,885.227661133
35.5059807304,-83.721700908,883.825927734
35.5059502314,-83.7216409079,883.528625488
35.5059067314,-83.7215893079,882.815673828
35.5058581303,-83.7215424079,882.304992676
35.5057852303,-83.7214927079,881.235900879
35.5057029293,-83.7214602079,879.564758301
35.5056186303,-83.7214332079,878.275817871
35.5055369303,-83.7213993079,877.327636719
35.5054566303,-83.7213500078,876.105285645
35.5053796303,-83.7212956078,875.015686035
35.5053011312,-83.7212432078,873.783325195
35.5052169302,-83.7212011078,872.860534668
35.5051512312,-83.7211838078,871.645690918
35.5050843302,-83.7211713078,870.830932617
35.5050197302,-83.7211504078,870.204833984
35.5049470312,-83.7211033077,869.196289062
35.5048814302,-83.7210463077,868.340454102
35.5048160312,-83.7209892077,867.474304199
35.5047385301,-83.7209267077,866.41784668
35.5046612301,-83.7208641076,865.294799805
35.5045842301,-83.7208012076,864.341064453
35.5045074301,-83.7207379076,863.042419434
35.5044308301,-83.7206743076,862.20123291
35.5043547301,-83.7206103076,860.865905762
35.5042789301,-83.7205458075,860.151550293
35.50420353,-83.7204808075,859.382263184
35.50412873,-83.7204152075,859.417419434
35.50405433,-83.7203491075,858.151428223
35.50398053,-83.7202823074,857.626586914
35.503907431,-83.7202149074,856.712463379
35.503834931,-83.7201467074,856.665405273
35.50376313,-83.7200778074,856.235351562
35.503692129,-83.7200081073,855.514404297
35.5036219299,-83.7199376073,854.850524902
35.5035525299,-83.7198663073,854.035522461
35.5034842299,-83.7197949073,853.440490723
35.5034163289,-83.7197230072,853.510559082
35.5033491309,-83.7196504072,853.056213379
35.5032830289,-83.7195769072,852.501342773
35.5032182299,-83.7195023072,851.77935791
35.5031603289,-83.7194334071,851.641540527
35.5031032299,-83.7193638071,851.290039062
35.5030471309,-83.7192935071,850.824951172
35.5029919288,-83.7192224071,850.505981445
35.5029377298,-83.719150507,850.270202637
35.5028847298,-83.719077807,850.057250977
35.5028328298,-83.719004307,850.067810059
35.5027836298,-83.718932807,849.833618164
35.5027351298,-83.7188609069,849.718322754
35.5026876308,-83.7187883069,849.289306641
35.5026415298,-83.7187149069,848.426696777
35.5025969288,-83.7186405069,848.204650879
35.5025543308,-83.7185649068,847.880004883
35.5025082298,-83.7184799068,846.741333008
35.5024632308,-83.7183942068,846.236938477
35.5024207308,-83.7183073068,845.789489746
35.5023818288,-83.7182187067,844.828491211
35.5023478298,-83.7181281067,843.287658691
35.5023197298,-83.7180363067,841.586669922
35.5022956298,-83.7179433067,841.347900391
35.5022730298,-83.7178500066,841.589355469
35.5022528298,-83.7177563066,841.13671875
35.5022368298,-83.7176618066,840.177246094
35.5022239288,-83.7175668065,839.488952637
35.5022132298,-83.7174716065,838.686218262
35.5022036298,-83.7173762065,838.055480957
35.5021942288,-83.7172808065,837.284240723
35.5021841298,-83.7171855064,836.721740723
35.5021722288,-83.7170904064,836.09185791
35.5021576298,-83.7169957064,835.000854492
35.5021393298,-83.7169016063,833.877929688
35.5021162308,-83.7168086063,829.95098877
35.5020894288,-83.7167309063,829.92578125
35.5020587288,-83.7166546063,830.944458008
35.5020312288,-83.7165771062,830.652954102
35.5020151298,-83.7164966062,830.672058105
35.5020156288,-83.7164046062,830.696594238
35.5020267308,-83.7163131062,830.486694336
35.5020394298,-83.7162218061,830.272766113
35.5020521298,-83.7161301061,829.836486816
35.5020685298,-83.7160389061,828.864013672
35.5020881288,-83.7159484061,828.258056641
35.5021102288,-83.715858506,827.719543457
35.5021342298,-83.715769006,827.277038574
35.5021594288,-83.715679906,827.085754395
35.5021852308,-83.715591006,827.158691406
35.5022110298,-83.7155020059,826.541870117
35.5022362298,-83.7154129059,825.999389648
35.5022601298,-83.7153234059,825.495178223
35.5022822299,-83.7152335059,825.332275391
35.5023017299,-83.7151429058,824.455871582
35.5023181299,-83.7150518058,823.59375
35.5023305299,-83.7149789058,823.204162598
35.5023423299,-83.7149060058,822.961425781
35.5023501309,-83.7148325057,822.834228516
35.5023492289,-83.7147367057,822.58001709
35.5023417299,-83.7146412057,821.728759766
35.5023385299,-83.7145455057,820.419677734
35.5023464299,-83.7144476056,820.053771973
35.5023632309,-83.7143507056,819.114379883
35.5023861299,-83.7142552056,818.817443848
35.5024128289,-83.7141605056,818.190063477
35.5024407299,-83.7140663055,817.606201172
35.5024676299,-83.7139718055,816.325500488
35.50249123,-83.7138763055,815.666687012
35.502509029,-83.7137797054,814.471313477
35.50252263,-83.7136848054,813.253112793
35.502534531,-83.7135897054,813.370544434
35.50254243,-83.7134942054,812.008911133
35.502543229,-83.7134000053,811.494506836
35.502537431,-83.7133059053,809.842468262
35.502527831,-83.7132121053,808.13684082
35.50251683,-83.7131185053,806.485778809
35.502507129,-83.7130248052,805.582580566
35.50250113,-83.7129307052,805.504760742
35.50250013,-83.7128333052,805.607727051
35.50250243,-83.7127360051,805.294128418
35.50250603,-83.7126386051,804.791809082
35.502509029,-83.7125413051,803.913452148
35.50250943,-83.7124439051,803.058959961
35.50250533,-83.712346605,802.029785156
35.502495531,-83.712251205,800.766479492
35.502480831,-83.712156505,799.425537109
35.502462729,-83.7120624049,799.81652832
35.502442529,-83.7119686049,799.060241699
35.50242183,-83.7118750049,798.544067383
35.50240173,-83.7117813049,797.919006348
35.50238363,-83.7116871048,797.395751953
35.502369029,-83.7115924048,796.69152832
35.502356629,-83.7114947048,796.132446289
35.50234523,-83.7113969047,795.340332031
35.502334829,-83.7112990047,794.588256836
35.502325831,-83.7112010047,794.15423584
35.50231813,-83.7111028047,793.716796875
35.502312131,-83.7110045046,793.018737793
35.50230783,-83.7109061046,792.370483398
35.50230553,-83.7108077046,791.902587891
35.50230623,-83.7107104045,791.269897461
35.502309929,-83.7106131045,790.757263184
35.5023151301,-83.7105159045,790.33795166
35.5023207311,-83.7104187045,789.803649902
