lat,lng,ele
35.6066485483,-83.7946743353,554.367004395
35.6066786493,-83.7945892353,554.356201172
35.6067222484,-83.7945105353,554.848327637
35.6067737484,-83.7944785353,555.465148926
35.6068316484,-83.7944591353,555.906005859
35.6069026494,-83.7944370353,556.672180176
35.6069764494,-83.7944311353,557.594055176
35.6070364484,-83.7944500353,558.14050293
35.6070925474,-83.7944792353,558.635131836
35.6071556484,-83.7945238353,558.765441895
35.6072117475,-83.7945773353,558.895812988
35.6072655485,-83.7946330353,558.838684082
35.6073220475,-83.7946859354,559.021911621
35.6073781485,-83.7947339354,559.108764648
35.6074370475,-83.7947782354,559.538696289
35.6075178495,-83.7948130354,559.899536133
35.6075976485,-83.7948500354,559.89453125
35.6076423485,-83.7948895354,559.527832031
35.6076859495,-83.7949303354,559.265197754
35.6077405485,-83.7949755355,559.145507812
35.6078012486,-83.7950116355,559.149169922
35.6078501486,-83.7950220355,559.219726562
35.6079000496,-83.7950261355,559.27331543
35.6079544476,-83.7950239355,559.342834473
35.6080080486,-83.7950298355,559.411804199
35.6080788486,-83.7950875355,559.830078125
35.6081588486,-83.7951344355,560.321166992
35.6082322486,-83.7951492355,560.684753418
35.6083073487,-83.7951427355,561.101745605
35.6083815487,-83.7951297355,561.532775879
35.6084565477,-83.7951227355,561.978637695
35.6085375487,-83.7951270356,562.412536621
35.6086186487,-83.7951283356,562.817626953
35.6086944487,-83.7951128356,563.133972168
35.6087685488,-83.7950904356,563.521484375
35.6088451478,-83.7950810356,563.926696777
35.6089207488,-83.7951036356,564.352844238
35.6089974488,-83.7951195356,565.041259766
35.6090487478,-83.7951024356,565.315979004
35.6090975498,-83.7950788356,565.641418457
35.6091520488,-83.7950526356,566.154907227
35.6092069478,-83.7950274356,566.670898438
35.6092695479,-83.7950043356,567.362243652
35.6093340499,-83.7949877356,567.968688965
35.6094331479,-83.7949870356,568.573303223
35.6095322479,-83.7949946356,569.146606445
35.6096241489,-83.7949783356,569.604858398
35.609712549,-83.7949898356,570.34564209
35.609743848,-83.7950532356,570.596496582
35.609754549,-83.7951237356,570.63684082
35.6097115479,-83.7951749356,570.481201172
35.6096621489,-83.7952199356,570.026062012
35.6096095499,-83.7952550357,569.642028809
35.6095525489,-83.7952823357,569.178833008
35.6094854489,-83.7953001357,568.666931152
35.6094166489,-83.7953106357,568.274353027
35.6093357489,-83.7953235357,567.764465332
35.6092540488,-83.7953271357,567.109069824
35.6091643498,-83.7953025356,566.643554688
35.6090749478,-83.7952767356,566.067504883
35.6089938488,-83.7952739356,565.497314453
35.6089216488,-83.7952753356,564.98034668
35.6088495498,-83.7952799356,564.509033203
35.6087831477,-83.7952879356,564.054504395
35.6087170487,-83.7952982356,563.597839355
35.6086506487,-83.7953061356,563.172485352
35.6085513497,-83.7953065356,562.529541016
35.6084522487,-83.7953102356,561.90637207
35.6083888487,-83.7953249356,561.574523926
35.6083253487,-83.7953389356,561.26965332
35.6082262486,-83.7953383356,560.727050781
35.6081272486,-83.7953320356,560.275756836
35.6080506476,-83.7953388356,559.947937012
35.6079739476,-83.7953377356,559.69519043
35.6079154476,-83.7953148356,559.53894043
35.6078578496,-83.7952895356,559.309143066
35.6077777475,-83.7952757356,558.803283691
35.6076963485,-83.7952733355,558.213684082
35.6076149485,-83.7952700355,557.600585938
35.6075384485,-83.7952624355,557.22064209
35.6074621485,-83.7952536355,556.83392334
35.6073713485,-83.7952450355,556.188293457
35.6072825484,-83.7952253355,555.766845703
35.6072112484,-83.7951897355,555.524536133
35.6071396484,-83.7951791355,555.244445801
35.6070673474,-83.7951737355,554.614074707
35.6069728484,-83.7951449355,553.938110352
35.6068795484,-83.7951120355,553.33190918
35.6068434484,-83.7950573354,552.916442871
35.6068177474,-83.7949925354,552.724975586
35.6067872484,-83.7949365354,552.631774902
35.6067603483,-83.7948784354,552.567016602
35.6067334483,-83.7948073354,552.540344238
35.6066907493,-83.7947410353,553.834289551
35.6066485483,-83.7946743353,554.367004395
