lat,lng,ele
35.5127350373,-83.5579097604,733.651794434
35.5127614383,-83.5579576604,733.08013916
35.5127962383,-83.5579998605,732.424865723
35.5128405383,-83.5580343605,731.964904785
35.5128938373,-83.5580691605,732.553527832
35.5129664373,-83.5580493605,733.165283203
35.5130380383,-83.5580736605,734.004333496
35.5131017383,-83.5580426605,734.312866211
35.5131561393,-83.5579715605,734.504577637
35.5132128384,-83.5579028605,734.745666504
35.5132764384,-83.5578828605,735.203674316
35.5133438374,-83.5578743605,735.50793457
35.5134117384,-83.5578760605,735.954345703
35.5134740384,-83.5578930605,736.463134766
35.5135373384,-83.5579021605,737.072631836
35.5135905374,-83.5578756605,737.550964355
35.5136378374,-83.5578391605,737.773925781
35.5137113375,-83.5577753605,738.098205566
35.5137737385,-83.5577636605,739.113220215
35.5138376385,-83.5577683605,740.443847656
35.5138959385,-83.5577816605,741.136901855
35.5139543385,-83.5577940605,741.746887207
35.5140389375,-83.5577782605,742.836547852
35.5141182386,-83.5577434605,743.875976562
35.5141994386,-83.5577136605,745.133239746
35.5142847386,-83.5576962605,746.65423584
35.5143712396,-83.5576860605,747.869567871
35.5144464386,-83.5576881605,748.488830566
35.5145212386,-83.5576969605,749.56237793
35.5145962377,-83.5577042605,750.333129883
35.5146884387,-83.5577101605,750.889465332
35.5147806377,-83.5577161605,751.251647949
35.5148730377,-83.5577186605,751.782409668
35.5149652387,-83.5577135605,754.024597168
35.5150560397,-83.5576967605,754.43170166
35.5151327398,-83.5576683605,755.399658203
35.5152070388,-83.5576338605,756.0078125
35.5152834388,-83.5576047605,754.919128418
35.5153530378,-83.5575928605,753.669921875
35.5154234388,-83.5575854605,752.723876953
35.5154915388,-83.5575672605,753.108947754
35.5155506389,-83.5575349605,753.491760254
35.5156052389,-83.5574953605,753.88067627
35.5156562399,-83.5574512605,754.089172363
35.5157082389,-83.5573889605,754.074951172
35.5157513389,-83.5573200604,754.162414551
35.5157955389,-83.5572518604,753.453186035
35.5158510389,-83.5571928604,753.140991211
35.5159150389,-83.5571507604,752.449890137
35.515986539,-83.5571406604,752.250793457
35.516059338,-83.5571442604,752.950195312
35.516140539,-83.5571477604,753.834106445
35.516221539,-83.5571561604,753.782104492
35.51630274,-83.5571612604,754.382019043
35.51638364,-83.5571545604,755.216491699
35.5164387391,-83.5571422604,755.741271973
35.5164924391,-83.5571249604,755.737976074
35.5165683401,-83.5570882604,756.114562988
35.5166384391,-83.5570413604,756.276184082
35.5167018391,-83.5569783604,757.173828125
35.5167548391,-83.5569061604,757.692810059
35.5168052381,-83.5568321604,758.302246094
35.5168607402,-83.5567618603,759.082885742
35.5169307402,-83.5566932603,759.420593262
35.5169988402,-83.5566228603,760.174621582
35.5170561392,-83.5565429603,761.184692383
35.5171104382,-83.5564610603,761.870727539
35.5171607392,-83.5563859602,762.212219238
35.5172103392,-83.5563103602,762.668395996
35.5172632393,-83.5562370602,763.334533691
35.5173239383,-83.5561701602,763.862365723
35.5173988393,-83.5561079602,764.901367188
35.5174796393,-83.5560537602,765.341674805
35.5175422393,-83.5560125602,765.929992676
35.5176072393,-83.5559753602,766.007873535
35.5176799384,-83.5559609602,765.788330078
35.5177605394,-83.5559855602,764.922790527
35.5178189384,-83.5559934602,765.28338623
35.5178776404,-83.5559892602,766.216796875
35.5179274394,-83.5559626602,766.82220459
35.5179778394,-83.5559372602,767.853515625
35.5180325394,-83.5559383602,768.917480469
35.5180857404,-83.5559517602,769.700317383
35.5181640405,-83.5559943602,770.346313477
35.5182316395,-83.5560532602,771.613586426
35.5182986385,-83.5561128602,772.432556152
35.5183613395,-83.5561703603,773.29510498
35.5184189395,-83.5562330603,773.633789062
35.5184755395,-83.5562966603,775.098999023
35.5185350405,-83.5563574603,775.936035156
35.5186017395,-83.5564101603,777.263061523
35.5186791405,-83.5564446604,777.624938965
35.5187371396,-83.5564561604,777.074279785
35.5187960396,-83.5564593604,777.542114258
35.5188851396,-83.5564448604,777.565124512
35.5189683396,-83.5564097604,776.15423584
35.5190426386,-83.5563516603,776.647766113
35.5191063396,-83.5562818603,779.434692383
35.5191591397,-83.5562062603,783.372375488
35.5192036407,-83.5561253603,786.72845459
35.5192466397,-83.5560436603,789.153503418
35.5192860407,-83.5559540602,791.180847168
35.5193231407,-83.5558634602,791.96295166
35.5193783397,-83.5557832602,791.599609375
35.5194297397,-83.5557533602,789.727539062
35.5194788387,-83.5557203602,788.443786621
35.5195176398,-83.5556423602,789.129089355
35.5195363388,-83.5555567601,790.228149414
35.5195382408,-83.5554961601,791.167419434
35.5195389388,-83.5554355601,792.461425781
35.5195504388,-83.5553636601,794.591674805
35.5195690398,-83.5552931601,796.416748047
35.5195992408,-83.55520796,798.873168945
35.5196445398,-83.55513016,800.74798584
35.5197007398,-83.55508826,801.001220703
35.5197669398,-83.55506396,800.522399902
35.5198356398,-83.55504806,799.975463867
35.5199256389,-83.55503606,799.810180664
35.5200159399,-83.55504276,799.638671875
35.5201040399,-83.55507696,797.66394043
35.5201855399,-83.5551252601,794.961242676
35.5202531409,-83.5551834601,793.977416992
35.5203154409,-83.5552476601,795.755371094
35.5203891399,-83.5552971601,796.676513672
35.52048764,-83.5553109601,797.890258789
35.52058734,-83.5553034601,800.502319336
35.52067104,-83.5552885601,803.324707031
