lat,lng,ele
35.4644958331,-83.4341443213,555.235229492
35.4644978331,-83.4341447213,555.24041748
35.4645829341,-83.4341657213,555.63684082
35.4646661331,-83.4341935214,556.526977539
35.4647432331,-83.4342262214,557.518554688
35.4648179332,-83.4342642214,558.26361084
35.4648959332,-83.4342980214,558.957763672
35.4649717332,-83.4343362214,559.790283203
35.4650224332,-83.4344026214,560.908935547
35.4650308332,-83.4344359214,561.597167969
35.4650121322,-83.4344684215,562.438659668
35.4649561342,-83.4345099215,564.580749512
35.4648934332,-83.4345419215,565.889648438
35.4648356332,-83.4345858215,567.526794434
35.4647816331,-83.4346342215,568.906188965
35.4647372341,-83.4346914215,569.555725098
35.4647090331,-83.4347457215,570.017578125
35.4647017331,-83.4347951215,570.82623291
35.4647070331,-83.4348448215,572.107543945
