lat,lng,ele
35.5878894626,-83.3635642079,867.314819336
35.5880800616,-83.3636031079,866.610107422
35.5881698616,-83.3636168079,863.895996094
35.5882061626,-83.3636068079,862.821166992
35.5882432626,-83.3635527079,861.620849609
35.5882709616,-83.3635204079,860.73840332
35.5883249616,-83.3635220079,859.611206055
35.5883968617,-83.3635352079,859.766540527
35.5884601617,-83.3635260079,859.97644043
35.5885040607,-83.363582508,859.804016113
35.5885111617,-83.363682008,860.260986328
35.5885091627,-83.363781308,860.512695312
35.5885434617,-83.363870608,860.16229248
35.5885782607,-83.3639378081,860.976257324
35.5885945607,-83.3640265081,861.356506348
35.5885833607,-83.3641366081,861.881347656
35.5885906607,-83.3642252081,862.844604492
35.5886249617,-83.3643145082,862.85333252
35.5886778627,-83.3643712082,862.060668945
35.5887126617,-83.3644384082,862.520629883
35.5887111607,-83.3645156082,863.918212891
35.5886823627,-83.3646031083,864.514465332
35.5887430627,-83.3647263083,865.844238281
35.5887676627,-83.3648484083,866.588378906
35.5887753627,-83.3649148084,866.846130371
35.5888013617,-83.3649707084,867.165405273
35.5888639607,-83.3649947084,867.819519043
35.5888986617,-83.3650619084,868.304748535
35.5888877617,-83.3651609084,867.733825684
35.5889046617,-83.3652166085,867.894348145
35.5889938617,-83.3652633085,868.691955566
35.5890464617,-83.3653421085,869.466552734
35.5890633607,-83.3653978085,869.424255371
35.5890442617,-83.3654524085,869.648681641
35.5889891627,-83.3655060085,869.699951172
35.5889966617,-83.3655834086,869.832275391
35.5890673617,-83.3656517086,868.214416504
