lat,lng,ele
35.5879177615,-83.363858108,869.295410156
35.5878462615,-83.363900108,869.240600586
35.5877672615,-83.363925008,870.97857666
35.5876996625,-83.363926108,872.037719727
35.5876320615,-83.363921008,873.100097656
35.5875463615,-83.363921208,874.445617676
35.5874605624,-83.363923408,875.910705566
35.5873749624,-83.363927408,877.355712891
35.5872893604,-83.363933008,878.717224121
35.5871986614,-83.363938408,879.719848633
35.5871086614,-83.363949708,880.867614746
35.5870385614,-83.363963308,881.919616699
35.5869726603,-83.363989908,882.84942627
35.5869272603,-83.364028908,883.912597656
35.5868898603,-83.364075708,884.68548584
35.5868627613,-83.364143208,885.597412109
35.5868468613,-83.364214608,886.86529541
35.5868227603,-83.3642834081,887.502929688
35.5867628613,-83.3643578081,887.891967773
35.5866881623,-83.3644179081,888.672607422
35.5866116613,-83.3644758081,890.68963623
35.5865583612,-83.3645205081,892.661437988
35.5865041602,-83.3645640081,893.721374512
35.5864468622,-83.3646034081,893.700866699
35.5863976622,-83.3646312081,892.978027344
35.5863466612,-83.3646556081,892.623291016
35.5862875612,-83.3646756081,894.14666748
35.5862286602,-83.3646963081,895.181640625
35.5861827612,-83.3647219081,896.408569336
35.5861375601,-83.3647488082,897.761291504
35.5860732621,-83.3647791082,899.647399902
35.5860100601,-83.3648113082,901.523986816
35.5859559621,-83.3648511082,902.81036377
35.5859053611,-83.3648954082,903.55480957
35.5858543621,-83.3649391082,904.596435547
35.5857832611,-83.3649893082,905.478515625
35.585717061,-83.3650454082,906.148742676
35.585674961,-83.3650962082,906.927246094
35.58564286,-83.3651536082,908.104980469
35.585629861,-83.3652079083,909.111816406
35.585622662,-83.3652633083,910.648376465
35.58561316,-83.3653512083,912.629760742
35.585610161,-83.3654396083,913.432678223
35.585619361,-83.3655325084,914.810791016
35.585636661,-83.3656243084,916.415344238
35.585649761,-83.3657167084,918.002075195
35.585654161,-83.3657939084,918.894348145
35.585655761,-83.3658713085,919.372680664
35.58564896,-83.3659522085,920.66583252
35.585638962,-83.3660328085,921.906066895
35.585641862,-83.3661137085,923.020507812
35.58566846,-83.3661739085,925.442626953
35.585684561,-83.3662363086,926.787109375
35.585647461,-83.3662904086,925.360168457
35.585612061,-83.3662563086,925.148620605
35.585537261,-83.3662238086,927.396362305
35.5854599619,-83.3661966085,928.663879395
35.5854139619,-83.3661643085,928.266174316
35.5853711619,-83.3661278085,928.567199707
35.5853277599,-83.3660739085,929.506896973
35.5852891609,-83.3660164085,930.44329834
35.5852390609,-83.3659694085,931.663513184
35.5851494599,-83.3659447084,933.804138184
35.5850633619,-83.3659769085,935.240539551
35.5849855609,-83.3660282085,935.348449707
35.5849383608,-83.3660517085,934.635925293
35.5848943618,-83.3660807085,934.419799805
35.5848556618,-83.3661379085,935.847106934
35.5848294618,-83.3662023085,937.263244629
35.5848006608,-83.3662655085,937.219909668
35.5847540618,-83.3663414085,937.081176758
35.5847437608,-83.3664073086,939.95715332
35.5847180608,-83.3664628086,941.055480957
35.5846875618,-83.3665160086,941.036804199
35.5846541608,-83.3665850086,941.010864258
35.5846306618,-83.3666577086,942.682067871
35.5846245608,-83.3667074086,944.767944336
35.5846286607,-83.3667570087,946.771972656
35.5846724608,-83.3668245087,950.533203125
35.5846709618,-83.3669017087,950.85144043
35.5845984597,-83.3669216087,950.103515625
35.5845087607,-83.3668969087,948.007507324
35.5844362607,-83.3669168087,948.252685547
35.5843786607,-83.3669816087,950.840637207
35.5843343607,-83.3670573087,953.846557617
35.5843064607,-83.3671006087,955.314697266
35.5842785597,-83.3671439087,956.45513916
35.5842283616,-83.3672062088,958.307678223
35.5841858616,-83.3672736088,958.789794922
35.5841692596,-83.3673386088,958.944152832
35.5841642606,-83.3674055088,959.369018555
35.5841729606,-83.3674719088,960.34552002
35.5841958606,-83.3675162089,962.208007812
35.5842162596,-83.3675614089,963.936584473
35.5842184596,-83.3676120089,965.026062012
35.5842053596,-83.3676604089,965.08380127
35.5841325596,-83.3676914089,965.818786621
35.5840703606,-83.3676454089,966.2421875
35.5840165606,-83.3676328089,967.336669922
35.5839665616,-83.3676056089,967.400695801
35.5839185606,-83.3675747089,966.814697266
35.5838471596,-83.3675395088,967.274353027
35.5837926605,-83.3675600088,968.145263672
35.5837545605,-83.3676377089,968.872131348
35.5837353605,-83.3677238089,971.56640625
35.5837197605,-83.3677727089,972.68560791
35.5837063605,-83.3678223089,973.138977051
35.5836950605,-83.3678989089,974.178649902
35.5836922605,-83.367976309,975.210632324
35.5836948605,-83.368053709,975.980834961
35.5837002605,-83.368131009,977.652587891
35.5837110605,-83.368219809,979.251281738
35.5837238605,-83.3683083091,980.508605957
35.5837267605,-83.3683793091,980.645385742
35.5837284605,-83.3684504091,981.448059082
35.5837467595,-83.3685186091,983.056762695
35.5837891605,-83.3685565091,985.804931641
35.5838263595,-83.3685982091,988.374755859
35.5838248605,-83.3686493092,987.406982422
35.5838063605,-83.3686969092,986.193481445
35.5837246615,-83.3687276092,985.810852051
35.5836851605,-83.3687891092,988.372741699
35.5836600605,-83.3688589092,990.690734863
35.5836128595,-83.3689119092,991.099975586
35.5835767594,-83.3689109092,989.839904785
35.5835145604,-83.3688649092,990.224487305
35.5834802594,-83.3688028092,990.888061523
35.5834449604,-83.3687415092,992.410339355
35.5833984594,-83.3687127092,994.3125
35.5833466594,-83.3686944091,996.057800293
35.5832928604,-83.3686818091,997.157348633
35.5832126614,-83.3686353091,996.98638916
35.5831635594,-83.3686218091,997.621337891
35.5831139614,-83.3686103091,998.309753418
35.5830185603,-83.3685810091,999.950195312
35.5829353593,-83.3685278091,1003.16363525
35.5829086603,-83.3684688091,1002.52484131
35.5828744603,-83.368415709,1002.11907959
35.5828293603,-83.368414409,1002.68048096
35.5827843603,-83.368472109,1004.69116211
35.5827637593,-83.3685448091,1006.59039307
35.5827578603,-83.3686108091,1006.99127197
35.5827610603,-83.3686772091,1007.26702881
35.5827712603,-83.3687324091,1008.36419678
35.5827768593,-83.3687880091,1009.59490967
35.5827432613,-83.3688577092,1009.75543213
35.5826931593,-83.3689179092,1010.92138672
35.5826358612,-83.3689752092,1012.31555176
35.5825826602,-83.3690360092,1014.03216553
35.5825596602,-83.3691019092,1017.63366699
35.5825350602,-83.3691671092,1019.97564697
35.5824780592,-83.3692241093,1020.10906982
35.5824069602,-83.3692626093,1020.10089111
35.5823254602,-83.3692823093,1019.93280029
35.5822651612,-83.3692520092,1020.34863281
35.5822188592,-83.3692019092,1021.8001709
35.5821932611,-83.3691403092,1022.00689697
35.5821671601,-83.3690790092,1022.1784668
35.5821052601,-83.3690220092,1024.3918457
35.5820340611,-83.3689757092,1025.56713867
35.5819707601,-83.3689849092,1025.68054199
35.5819243601,-83.3690498092,1028.14611816
35.5818606601,-83.3690810092,1027.78039551
