lat,lng,ele
35.5857515603,-83.3583371063,832.427001953
35.5858260613,-83.3583235063,832.188476562
35.5859007603,-83.3583110063,831.148132324
35.5859755604,-83.3582995063,829.707702637
35.5860428614,-83.3582838063,830.438720703
35.5861111614,-83.3582814063,832.905700684
35.5861913614,-83.3583279063,833.683288574
35.5862258614,-83.3584062063,833.862121582
35.5862361614,-83.3584557063,834.105529785
35.5862419614,-83.3585060063,834.251098633
35.5862425614,-83.3585671063,834.420227051
35.5862486614,-83.3586276064,834.588806152
35.5862833614,-83.3586819064,834.948669434
35.5863277604,-83.3587292064,835.332946777
35.5863945604,-83.3587969064,835.83392334
35.5864602624,-83.3588655064,836.238098145
35.5865015604,-83.3589206065,836.635681152
35.5865392625,-83.3589782065,836.756713867
35.5865788625,-83.3590453065,836.70703125
35.5866176615,-83.3591129065,836.87677002
35.5866575605,-83.3591891066,837.3203125
35.5866940615,-83.3592670066,837.951904297
35.5867295615,-83.3593454066,838.440795898
35.5867661625,-83.3594233066,838.972839355
35.5868061605,-83.3594995067,839.308532715
35.5868520625,-83.3595722067,839.137512207
35.5869042605,-83.3596372067,839.753417969
35.5869619615,-83.3596975067,840.249450684
35.5870217625,-83.3597557067,840.690429688
35.5870803605,-83.3598150068,841.09552002
35.5871345615,-83.3598784068,841.551879883
35.5871834615,-83.3599512068,841.786865234
35.5872277616,-83.3600269068,842.305725098
35.5872734616,-83.3601017069,842.680664062
35.5873271616,-83.3601710069,843.026733398
35.5873767616,-83.3602208069,843.351135254
35.5874298616,-83.3602668069,843.788818359
35.5874866616,-83.3603081069,844.092651367
35.5875539606,-83.3603421069,844.905578613
35.5876244616,-83.360369107,846.121032715
35.5876921616,-83.360402407,846.496765137
35.5877616626,-83.360450407,847.26763916
35.5878253617,-83.360505707,848.039489746
35.5878742617,-83.360562007,848.471496582
35.5879173607,-83.360623007,849.128662109
35.5879570617,-83.3606862071,849.657287598
35.5879924607,-83.3607547071,850.365356445
35.5880224607,-83.3608258071,851.061523438
35.5880521627,-83.3608970071,851.65814209
35.5880867617,-83.3609659072,852.138000488
35.5881374627,-83.3610403072,852.706848145
35.5881956607,-83.3611090072,853.306640625
35.5882564617,-83.3611754072,853.873901367
35.5883156617,-83.3612433073,854.465332031
35.5883683617,-83.3613163073,855.123535156
35.5884085607,-83.3613846073,855.960754395
35.5884456618,-83.3614545073,856.893615723
35.5884811618,-83.3615254073,857.852111816
35.5885160618,-83.3615965074,858.338989258
35.5885453618,-83.3616649074,858.977966309
35.5885738618,-83.3617337074,859.118835449
35.5886112618,-83.3617979074,858.968017578
35.5886484628,-83.3618403074,858.898986816
35.5886908618,-83.3618775075,858.884094238
35.5887464618,-83.3619115075,859.000793457
35.5888068618,-83.3619361075,859.191223145
35.5888870618,-83.3619505075,859.672790527
35.5889686628,-83.3619492075,860.129272461
35.5890501629,-83.3619432075,860.638916016
35.5891315619,-83.3619268075,861.143615723
35.5892118629,-83.3619055075,861.718688965
35.5892942619,-83.3619063075,862.339538574
35.5893436609,-83.3619291075,862.762512207
35.5893924629,-83.3619533075,863.168151855
35.5894552619,-83.3619665075,863.79107666
35.589518162,-83.3619791075,864.344055176
35.589600662,-83.3620156076,864.902832031
35.589678762,-83.3620610076,865.258544922
35.589748662,-83.3621027076,865.71484375
35.589812161,-83.3621532076,866.164916992
35.589855962,-83.3622066076,866.555053711
35.589891162,-83.3622659076,866.909179688
35.589915963,-83.3623316077,867.496154785
35.589933561,-83.3623996077,867.738342285
35.589949861,-83.3624883077,866.729064941
35.589958262,-83.3625490077,865.948181152
35.589956462,-83.3626099078,867.512390137
35.589928161,-83.3626753078,870.115356445
35.589936562,-83.3627087078,871.191772461
35.589962462,-83.3627646078,872.195007324
35.589943562,-83.3628082078,872.036010742
35.589960562,-83.3628639078,872.23223877
35.590023162,-83.3628878078,872.706542969
35.590111863,-83.3629120079,873.340515137
35.5902026611,-83.3629262079,874.078735352
35.5902718621,-83.3629260079,874.888122559
35.5903408621,-83.3629201079,875.52545166
35.5904100611,-83.3629212079,875.838012695
35.5904798621,-83.3629379079,876.409423828
35.5905475621,-83.3629616079,876.971923828
35.5906162621,-83.3629825079,877.663635254
35.5906989612,-83.3629964079,878.24041748
