lat,lng,ele
35.4807133229,-83.7778746229,511.379974365
35.4807825239,-83.7778276229,512.882263184
35.4808420219,-83.7777688229,514.794189453
35.4808766229,-83.7777217229,515.94708252
35.4809073229,-83.7776719228,516.990966797
35.480940024,-83.7776075228,518.105163574
35.480969023,-83.7775412228,519.250244141
35.481001923,-83.7774768228,520.519836426
35.481036823,-83.7774213228,521.680358887
35.481076524,-83.7773692228,522.741210938
35.481134523,-83.7773197228,523.93560791
35.481195923,-83.7772741227,525.219360352
35.481237123,-83.7772368227,526.170471191
35.481278723,-83.7771998227,527.100158691
35.4813397231,-83.7771494227,528.251647949
35.4814024231,-83.7771012227,528.999572754
35.4814698231,-83.7770599227,529.479675293
35.4815439231,-83.7770327227,530.117614746
35.4816073241,-83.7770238227,529.303405762
35.4816428241,-83.7770471227,528.849060059
35.4816891241,-83.7771182227,528.854675293
35.4817295221,-83.7771933228,530.106811523
35.4817751241,-83.7772421228,530.150085449
35.4818265231,-83.7772848228,530.001037598
35.4818859232,-83.7773191228,529.057006836
35.4819496242,-83.7773446228,527.075744629
35.4820140232,-83.7773684228,525.500488281
35.4820978232,-83.7773963228,523.325500488
35.4821825232,-83.7774213229,522.39465332
35.4822644242,-83.7774542229,522.144042969
35.4823318242,-83.7774938229,522.058288574
35.4823977223,-83.7775359229,524.240661621
35.4824542243,-83.7775733229,525.938354492
35.4825133243,-83.7776060229,527.232666016
35.4825666233,-83.7776207229,527.068603516
35.4826208223,-83.7776317229,526.462585449
35.4826925233,-83.7776507229,526.134460449
35.4827642243,-83.777669723,526.73034668
35.4828437233,-83.777694623,528.261047363
35.4829255234,-83.777708323,529.367797852
35.4830051234,-83.777691223,529.431518555
35.4830799234,-83.777658523,528.676818848
35.4831496244,-83.777612923,527.960327148
35.4832173234,-83.777564123,528.593811035
35.4832795234,-83.7775246229,528.861999512
35.4833451235,-83.7774914229,528.92175293
35.4834208235,-83.7774705229,529.018310547
35.4834990225,-83.7774636229,529.607788086
