lat,lng,ele
35.4604866278,-83.5474281543,653.214050293
35.4604736278,-83.5473568543,653.73828125
35.4604716278,-83.5472844542,653.876403809
35.4604859268,-83.5472012542,654.66418457
35.4605111288,-83.5471204542,656.214172363
35.4605397278,-83.5470442542,657.786804199
35.4605409268,-83.5469891542,655.715820312
35.4605150268,-83.5469332541,657.057128906
35.4604522278,-83.5468960541,658.089050293
35.4603811268,-83.5468739541,656.658630371
35.4602934288,-83.5468324541,656.744689941
35.4602210268,-83.5467697541,657.258666992
35.4601952278,-83.5467138541,657.867004395
35.4601963288,-83.546658754,658.097900391
35.4602331268,-83.546626954,658.621582031
