lat,lng,ele
35.4827243368,-83.4112086157,647.574890137
35.4826955388,-83.4112959157,647.016052246
35.4826760388,-83.4113725157,648.253112793
35.4826368378,-83.4115256158,650.625549316
35.4825985378,-83.4116347158,652.497253418
35.4825337377,-83.4117209158,654.516662598
35.4825053377,-83.4117862158,655.973083496
35.4824675377,-83.4118732159,657.063659668
35.4824300367,-83.4119492159,658.004089355
35.4823735377,-83.4120688159,660.372192383
35.4823175367,-83.4121663159,662.657043457
35.4822348377,-83.412241016,665.049255371
35.4821533376,-83.412260616,665.303405762
