lat,lng,ele
35.6681827692,-83.5914496795,653.468261719
35.6682158692,-83.5915250795,653.051513672
35.6682583692,-83.5915955795,652.988098145
35.6682934682,-83.5916409796,653.33770752
35.6683129682,-83.5916902796,653.832519531
35.6683273682,-83.5917414796,654.538146973
35.6683456692,-83.5917967796,655.503662109
35.6683609692,-83.5918529796,656.61126709
35.6683694702,-83.5919303797,657.326843262
35.6683756692,-83.5920080797,657.066162109
35.6683917692,-83.5920969797,655.937316895
35.6684176692,-83.5921530797,655.410827637
35.6684341692,-83.5922199797,655.381774902
