lat,lng,ele
35.6719816714,-83.5805377765,697.94732666
35.6720473704,-83.5805524765,698.276550293
35.6720727714,-83.5805707765,698.922363281
35.6720816704,-83.5806201766,699.147155762
35.6720924704,-83.5807187766,699.480407715
35.6720885704,-83.5807735766,698.633605957
35.6720847704,-83.5808284766,697.770446777
35.6720958694,-83.5808780766,697.323547363
35.6720965704,-83.5809274767,697.762390137
35.6720774704,-83.5809462767,697.51751709
35.6720406704,-83.5809989767,697.453369141
35.6720079694,-83.5810544767,697.444641113
35.6719813714,-83.5810939767,697.246704102
35.6719468714,-83.5811664767,697.350402832
35.6719277694,-83.5812267767,697.597045898
35.6719123714,-83.5812880767,697.898376465
35.6718925713,-83.5813642768,697.993896484
35.6718766693,-83.5814412768,698.496582031
35.6718682713,-83.5815074768,698.887634277
35.6718641693,-83.5815740768,699.25994873
35.6718646703,-83.5816395768,699.849060059
35.6718638693,-83.5816980769,700.302307129
35.6718641693,-83.5817564769,700.53503418
35.6718677703,-83.5818212769,701.129943848
35.6718766693,-83.5818855769,701.619262695
35.6719032703,-83.5819751769,702.202026367
35.6719276713,-83.582033177,702.852416992
35.6719561713,-83.582089177,703.306945801
35.6719840703,-83.582137877,703.886901855
35.6720152713,-83.582184577,704.52947998
35.6720666703,-83.582249177,705.335571289
35.6721290694,-83.5823028771,705.86126709
35.6721932714,-83.5823306771,706.648742676
35.6722718714,-83.5823166771,707.676025391
35.6723355694,-83.5822837771,708.558837891
35.6723936714,-83.5822435771,708.822631836
35.6724629714,-83.5822153771,708.990783691
35.6725317694,-83.5822058771,709.61932373
35.6725671714,-83.5822467771,709.926208496
35.6725772704,-83.5823078771,710.693969727
35.6725553714,-83.5823544771,711.344482422
35.6725257704,-83.5823974771,711.266601562
35.6724980704,-83.5824739771,711.565734863
35.6724766704,-83.5825524772,712.066162109
35.6724577704,-83.5826288772,712.611328125
35.6724409714,-83.5827056772,713.781555176
35.6724260704,-83.5827776772,713.925292969
35.6724262714,-83.5828547772,713.948974609
35.6724399714,-83.5829300773,714.476867676
35.6724493704,-83.5830238773,714.844970703
35.6724511714,-83.5831151773,715.728820801
35.6724103694,-83.5831512773,715.646057129
35.6723437714,-83.5831420773,715.848266602
35.6722874704,-83.5831297773,716.242004395
35.6722317703,-83.5831150773,716.842651367
35.6721578693,-83.5830939773,717.482421875
35.6720774703,-83.5831054773,718.61138916
35.6720441703,-83.5831464773,718.998474121
35.6720060693,-83.5832316773,719.517211914
35.6719962703,-83.5833000773,720.258728027
35.6719935693,-83.5833692774,720.92376709
35.6719877713,-83.5834529774,721.446838379
35.6719880713,-83.5835368774,721.639648438
35.6719997703,-83.5836204774,722.22088623
35.6720226693,-83.5837015775,722.898254395
35.6720661693,-83.5837878775,723.58404541
35.6720954713,-83.5838367775,723.82800293
35.6721284693,-83.5838832775,724.053771973
35.6721672703,-83.5839261775,724.281982422
35.6722101713,-83.5839648775,724.726501465
35.6722659703,-83.5839995776,725.887695312
35.6723208693,-83.5840356776,726.390441895
35.6723654703,-83.5840715776,726.738586426
35.6723929713,-83.5841197776,726.887512207
35.6723849703,-83.5841575776,727.551147461
35.6723358693,-83.5842202776,728.452026367
35.6722870703,-83.5842712776,729.190673828
35.6722454703,-83.5843196777,730.263061523
35.6721865713,-83.5843966777,730.957946777
35.6721603713,-83.5844634777,731.632629395
35.6721407703,-83.5845325777,732.374023438
35.6721162713,-83.5845993777,732.372436523
35.6721020703,-83.5846686777,732.959594727
35.6721125703,-83.5847391778,733.347229004
35.6721468703,-83.5848015778,733.980712891
35.6721810703,-83.5848786778,734.27746582
35.6722053703,-83.5849231778,734.711547852
35.6722292703,-83.5849679778,735.398010254
35.6722491713,-83.5850180779,735.954406738
35.6722676703,-83.5850686779,736.620422363
35.6722851703,-83.5851181779,736.928344727
35.6723060713,-83.5851662779,736.975463867
35.6723388703,-83.5852124779,737.108093262
35.6723781703,-83.5852533779,737.127929688
35.6724461703,-83.585305278,737.007324219
35.6725314693,-83.585331278,737.840942383
35.6725924693,-83.585350278,738.156188965
35.6726546703,-83.585364578,738.047546387
35.6727107694,-83.585366478,738.210693359
35.6727668704,-83.585365278,738.793518066
35.6728620704,-83.585368378,739.607666016
35.6729316704,-83.585353078,741.156982422
35.6729812704,-83.585375078,741.49206543
35.6730156704,-83.585437678,742.452453613
35.6730357694,-83.585499578,743.01184082
35.6730608704,-83.5855530781,742.655273438
35.6731006704,-83.5855864781,742.068054199
35.6731503704,-83.5856085781,742.747924805
35.6731760694,-83.5856749781,743.368591309
35.6731854704,-83.5857469781,743.756286621
35.6731981704,-83.5858127781,744.614990234
35.6732065704,-83.5858792782,745.455993652
35.6732044694,-83.5859683782,746.013366699
35.6731979704,-83.5860572782,746.45135498
35.6731956704,-83.5861200782,746.977416992
35.6731952704,-83.5861828783,747.337280273
35.6732003694,-83.5862735783,747.96862793
35.6732205704,-83.5863326783,748.68170166
35.6732503704,-83.5863978783,749.459899902
35.6732797704,-83.5864631783,749.910827637
35.6732993714,-83.5865198784,750.224121094
35.6733130714,-83.5865782784,750.465515137
35.6733184704,-83.5866337784,750.671569824
35.6733154704,-83.5866893784,750.409484863
35.6732909704,-83.5867586784,750.741882324
35.6732529714,-83.5868218784,750.843139648
35.6732127694,-83.5868775785,749.769348145
35.6731625714,-83.5869241785,750.335632324
35.6730689694,-83.5869562785,751.708984375
35.6730068704,-83.5869570785,751.345153809
35.6729112703,-83.5869656785,752.087280273
35.6728588703,-83.5869757785,752.41809082
35.6728150703,-83.5870034785,752.646484375
35.6727994703,-83.5870643785,753.379760742
35.6727851693,-83.5871212785,753.835449219
35.6727684703,-83.5871773785,754.094360352
35.6727332703,-83.5872580785,754.698181152
35.6727116693,-83.5873113786,755.296203613
35.6726904703,-83.5873648786,755.85144043
35.6726707693,-83.5874121786,756.163269043
35.6726526703,-83.5874600786,756.488708496
35.6726362693,-83.5875204786,756.614868164
35.6726237712,-83.5875818786,756.923828125
35.6726135692,-83.5876485787,757.252197266
35.6726065692,-83.5877157787,757.544128418
35.6726024702,-83.5877710787,758.134216309
35.6726017692,-83.5878265787,758.689086914
35.6726048712,-83.5878768787,758.975158691
35.6726139702,-83.5879263787,759.350585938
35.6726412702,-83.5879886788,759.880432129
35.6726872702,-83.5880661788,760.41998291
35.6727145692,-83.5881131788,760.901489258
35.6727328702,-83.5881640788,761.066955566
35.6727164692,-83.5882599788,760.926635742
35.6726907702,-83.5883497789,762.155395508
35.6726519692,-83.5883861789,762.20715332
35.6726081692,-83.5884172789,762.139343262
35.6725697712,-83.5884593789,762.849487305
35.6725324702,-83.5885024789,763.370544434
35.6724701702,-83.5885684789,763.826660156
35.6724033702,-83.5886297789,764.49005127
35.6723281691,-83.5886828789,765.271911621
35.6722866691,-83.5887253789,765.057373047
35.6722453711,-83.588767979,765.832092285
35.6721895701,-83.588809979,766.169921875
35.6721511691,-83.588852579,766.351013184
35.6721207691,-83.588901279,766.713439941
35.6720980691,-83.588961879,767.375305176
35.6720835701,-83.589025479,767.840270996
35.6720714711,-83.589089679,768.211730957
35.6720582701,-83.5891464791,768.285705566
35.6720428701,-83.5892026791,768.594055176
35.6720242691,-83.5892518791,769.022766113
35.6720049701,-83.5893008791,769.600585938
35.671984271,-83.5893611791,769.893676758
35.67196657,-83.5894223791,770.399963379
35.671949071,-83.5895061792,771.045715332
35.671938969,-83.5895910792,771.629089355
35.67193717,-83.5896785792,772.00189209
35.67193617,-83.5897428792,772.316467285
35.67193207,-83.5898069792,772.879272461
35.67192317,-83.5898596793,773.26184082
35.67191067,-83.5899115793,773.83190918
35.67188597,-83.5899902793,774.621032715
35.67185017,-83.5900644793,775.220458984
35.67181087,-83.5901157793,775.423400879
35.671754569,-83.5901812793,776.061279297
35.671703069,-83.5902283794,776.500976562
35.6716570689,-83.5902803794,777.25201416
35.6716244689,-83.5903581794,777.575256348
35.6716180689,-83.5904134794,777.674804688
35.6716196689,-83.5904691794,777.968322754
