lat,lng,ele
35.5893211447,-83.8198579416,533.946289062
35.5893077447,-83.8196588416,534.520935059
35.5892828447,-83.8195697416,534.992736816
35.5892308437,-83.8194796415,535.494262695
35.5891606437,-83.8193999415,536.414916992
35.5890538437,-83.8193410415,537.380065918
35.5889653437,-83.8192717414,537.711608887
35.5889488447,-83.8192049414,538.233764648
35.5889684427,-83.8191394414,538.800109863
35.5890065437,-83.8190524414,540.03302002
35.5890538437,-83.8189548414,541.785705566
35.5891478437,-83.8187926413,545.304138184
35.5892764448,-83.8186867413,547.766906738
